Plate	Inplatecount	Sample	IgG2_RBD alpha	IgG2_N	IgG2_RBD beta	IgG2_RBD omicron	IgG2_RBD lambda	IgG2_RBD gamma	IgG2_zebra	IgG2_Eadp501	IgG2_RBD delta	IgG2_RBD wuhan	IgG2_AMA1	IgG2_MSP1	IgG2_HRPII	IgG2_Tetanus	IgG2_HCoV-229E	IgG2_HCoV-NL63	IgG2_HCoV-OC43	IgG2_pp28	IgG2_pp65	IgG2_EBNA1	IgG2_VCA	IgG2_FL spike	IgG2_BSA	IgG2_CelTos	IgG2_CSP	IgG2_HCoV-HKU1
PLATE1	1	BACKGROUND0	28	24	22	38	31	60	49	24	51	25	31	39	78	25	71	88	62.5	67	47.5	8	16	43	31	91	111	31
PLATE1	1	AF-MIX-S1	-56.5	-89.5	-88.5	-99.5	-96.5	-61.5	-74.5	-92.5	-31.5	166.5	1297.5	845.5	-28.5	829.5	3413	1488.5	3130.5	1128.5	471.5	210	486	972.5	179.5	213.5	619.5	1142.5
PLATE1	1	AF-MIX-S2	-8.5	-25.5	-21.5	-32.5	-22.5	2.5	-5.5	-34.5	21.5	79.5	807	475.5	31.5	565	2222.5	1011.5	1816	737.5	312	96.5	240.5	646.5	106.5	118.5	317.5	720.5
PLATE1	1	AF-MIX-S3	15.5	-0.5	7.5	13.5	9	28.5	24	9.5	33.5	35.5	404.5	219.5	70.5	318	930.5	484.5	888.5	360.5	187.5	37.5	131	288.5	64.5	91.5	191.5	366
PLATE1	1	AF-MIX-S4	5.5	11	31	13	19	38.5	35	5.5	33	14	118.5	66	64	49.5	276	201	256.5	145	87	11	35.5	115	49	86	116.5	114
PLATE1	1	AF-MIX-S5	22.5	22.5	26	32.5	35	60	51	22	53	24	77	64	77	52	167.5	154	152.5	96.5	60	5.5	23	76.5	35	93	99	71.5
PLATE1	1	AF-MIX-S6	36	37	37.5	41	33.5	69	56	36	61	27	76.5	57	86	32.5	134	130.5	124	96	68	16	27	61	29	94	100	73
PLATE1	1	AF-MIX-S7	29	32	26	36	40	52	53	30	48	20.5	71	43	80	29	106	97.5	96	84	48	10	30.5	64	31	83	95	45
PLATE1	2	BACKGROUND0	26.5	3.5	20	32.5	19	54.5	48.5	18	52.5	15	113.5	36.5	71.5	10.5	78.5	96	70.5	59.5	51	-9.5	6	51.5	46.5	68.5	102.5	26.5
PLATE1	2	AF-MIX-S1	-110.5	-152.5	-147.5	-168	-159.5	-133.5	-126	-149.5	-99.5	223.5	1490.5	1094.5	-96.5	838.5	4008.5	1732.5	3800.5	1349.5	508.5	253.5	561.5	1136.5	252.5	255.5	785	1373.5
PLATE1	2	AF-MIX-S2	-41	-62	-55	-72.5	-79	-35	-48	-63	-30	98.5	1046	586.5	-10.5	735	2669	1173	2292	890	372.5	118	369.5	757.5	150	130	415.5	892.5
PLATE1	2	AF-MIX-S3	1	-4	19	-1.5	11	33	25.5	5.5	31	32	326	158	52	148.5	755	397	661	337	176	12	104	261.5	63	102	175	314
PLATE1	2	AF-MIX-S4	28	10	10	11	11	31	32	4	31.5	7.5	142	75	67	46	316	222	272.5	145	77.5	0	37	122	53	86	113.5	125
PLATE1	2	AF-MIX-S5	16	18	10.5	16	16	40	41	18	28	9.5	79	54	59	25	168.5	142	172	106.5	56	-5	14	77	49	82.5	97	60
PLATE1	2	AF-MIX-S6	25	24	16.5	31	33	55	42.5	16	41	16	57.5	39	78	25	120	104	98	72	56	-0.5	17	55.5	36	92.5	102	51
PLATE1	2	AF-MIX-S7	21	17.5	38.5	34	26.5	61.5	48.5	26.5	35.5	6.5	31.5	33.5	70	16.5	85.5	81.5	68	60.5	43.5	-0.5	18.5	55.5	36.5	83.5	104	32.5
PLATE1	3	BACKGROUND0	39	21.5	18	33	37	59.5	48	31	57.5	18.5	17	36	70	13	83	99	73.5	65.5	65	3.5	22.5	62	35	86	91	42
PLATE1	1	POST-VACC-S1	15822	-438.5	8247	2548	11679.5	6892.5	-412.5	-454	12385.5	14493.5	206.5	-80	-393.5	-393	461	258	886.5	354	755.5	-12	295.5	8323.5	546.5	394	-36.5	408.5
PLATE1	1	POST-VACC-S2	12879	-55	2478	196	3911	2533	-46.5	-51	9631.5	8400.5	112	13	0	-45	165	159	257.5	136	297	44.5	115	2209	127	173	81	110
PLATE1	1	POST-VACC-S3	1022	7	164	31.5	230.5	232	40	11	937.5	854	51	50	58	18	112	102	141	72	83	22	30	234.5	51	100.5	99	65
PLATE1	1	POST-VACC-S4	168	22	38	27	57	87	44	21	161	97	39	31	68	20	84	100	75	76	53	4	21	62.5	40	104	86	33
PLATE1	1	POST-VACC-S5	59	21	20	25	31	76.5	48	28	66	26	40	41	62	21.5	82	83	61	67.5	46.5	1.5	6	43	35	80.5	85	23
PLATE1	1	POST-VACC-S6	16	13.5	26	33.5	19	54	48.5	12	36.5	5	28.5	29	63	10	68	83	64	60	39	-7	7	35.5	41	87.5	93	23
PLATE1	1	POST-VACC-S7	15.5	14	26.5	35.5	25.5	49.5	50.5	24	42	11.5	69.5	44.5	72.5	11.5	77.5	87.5	82.5	71	38	-4.5	10.5	39.5	41.5	69.5	90	30
PLATE1	4	BACKGROUND0	55	23.5	36	47	36	53	57.5	20	62	35	138.5	71	59.5	11	102	112.5	91	75	54	6	8	61	37	95	105	43.5
PLATE1	2	POST-VACC-S1	11350	-555	7596	2911	8789.5	6009	-546.5	-571	9630	11103	332	-100	-523	-507	517	317	872	417	899	-108.5	197	8318	677	395	-127	460.5
PLATE1	2	POST-VACC-S2	13976	-115	3736.5	270	5688.5	3505	-77	-105	11916.5	10817	205	-35	-50	-88	158.5	135	269	133	357	48.5	128	3126	180	188	51.5	114
PLATE1	2	POST-VACC-S3	1924	7	258	37	365	381	43	13	1632.5	1384.5	90	52.5	60	4	109	113.5	124.5	98	104	21	30	373	53	122	111	54
PLATE1	2	POST-VACC-S4	123.5	4.5	28.5	22.5	46.5	76.5	45.5	7.5	172.5	85.5	34.5	53	59	12.5	71.5	91.5	78.5	65	44.5	-7.5	16.5	68.5	50.5	74.5	99	48.5
PLATE1	2	POST-VACC-S5	40	32	23	26	37	70	47	23.5	67	29	49.5	45.5	72.5	11	101	95	89	72.5	46.5	1	20	61	38	81	91	30.5
PLATE1	2	POST-VACC-S6	23	28	22.5	42.5	33	70.5	46	30	45.5	15	28.5	53.5	75	11	67	79	81	68	48	-2	12	47	35	77	110.5	31
PLATE1	2	POST-VACC-S7	34	26.5	36.5	45	26.5	73.5	56.5	30.5	50.5	19	30.5	32.5	75.5	23	84	92	69	61.5	50.5	1.5	19.5	46	27.5	105.5	92	26.5
PLATE1	5	BACKGROUND0	28	26.5	24	35.5	27	58	46	20	51	17	30	28	78	15.5	78	89	82.5	73	43	5.5	14.5	50.5	33	78	105	29
PLATE1	1	HCAM-002-S1	13263	-908.5	9574.5	5327	13149	7211.5	-890.5	-907.5	12855	16938	1048	-641	-854	-900.5	1403.5	1082	1394	1110	507	265	1143	11882.5	999	853.5	198.5	949
PLATE1	1	HCAM-002-S2	27488	-92	3748.5	954	8973	3499.5	-60	-93	20770	19878	738	-39	-36	-79.5	772.5	787	832	593	540.5	54	326.5	4715	161	150.5	166	658.5
PLATE1	1	HCAM-002-S3	3207.5	-0.5	190	56	600	250.5	22	-1.5	2376.5	2020.5	256	24.5	42.5	10.5	300.5	309.5	308.5	218.5	180	3.5	61.5	598	61.5	97.5	107.5	230
PLATE1	1	HCAM-002-S4	218	25	36.5	20.5	61	73.5	37	22	199	130	88	42	77	36	141	136	112.5	91	77	-4	19	115	40	83	92.5	75.5
PLATE1	1	HCAM-002-S5	39.5	4	22.5	26	35	60	47	20.5	67.5	29	38	35.5	68	21	84	100	74.5	57	49	2.5	5.5	56	42	79	98	31.5
PLATE1	1	HCAM-002-S6	39.5	24	20	28.5	35.5	61.5	51	30.5	49	19	44	36	78	22	82	104	66.5	65	55	5	15.5	38	33	77.5	109	33
PLATE1	1	HCAM-002-S7	20.5	21	27	38	28.5	57.5	53	21	36	13	45	35.5	76	15	67.5	87	59.5	70	36	4	8.5	53	37	86	92	36
PLATE1	6	BACKGROUND0	21	5	1.5	12.5	7.5	38.5	28	7	46	4	368	73.5	64	-2.5	108	110.5	127	100	60	-12.5	2	69	55	75	110	54.5
PLATE1	2	HCAM-002-S1	15418.5	-878	10059	5161.5	14688	8171	-858.5	-900	13682	17818	1170	-653	-831	-882	1268.5	1043.5	1423	952.5	354	176	1071	11130	976	596	201.5	869
PLATE1	2	HCAM-002-S2	26448	-120.5	3633	1075	9875	4032	-92	-120.5	21090	21226.5	818	-44	-77.5	-107	843	921.5	939	614	536	10	356	5314	195	174	145	791.5
PLATE1	2	HCAM-002-S3	1452	5	100	22.5	217.5	144	27	-6	1180.5	956	354	14	47.5	3	235	254	257	172	123	2.5	36	353.5	62	96	119	176
PLATE1	2	HCAM-002-S4	152.5	22	15	32.5	58	55.5	28.5	24.5	154	103	80.5	34.5	74.5	9.5	116.5	129.5	113.5	97.5	69.5	-1.5	14	99.5	42.5	95.5	101.5	65.5
PLATE1	2	HCAM-002-S5	47	42	31.5	37.5	27	73	55	25	59	35	72	64	78	20.5	112	119	108	77.5	66	6	18	71	37	94	96.5	64
PLATE1	2	HCAM-002-S6	20.5	36	19.5	31	18.5	63.5	32	16	34.5	6.5	49	48	58	11.5	118	90.5	108	60	45	-3	8.5	47	45	78.5	106.5	34.5
PLATE1	2	HCAM-002-S7	20	23	23	33.5	20	58.5	49	17.5	39.5	6	23	42	63.5	11	72	86	64	55	33	-9	0	44	40	78	106	43.5
PLATE1	1	HC-001K	4	19	-31.5	-10	-18	7.5	-16	-31	26	49.5	1469.5	2092.5	62.5	-4	1702	1607	1915	1529.5	552	2	103	1270	99	94	304	1513
PLATE1	1	HC-002K	66	11	8	11	5.5	42.5	369	11	45	21.5	637.5	441	69	25	711.5	561.5	1776	544.5	218	1	36	501.5	60	91	336.5	541
PLATE1	1	HC-003K	68.5	41	22.5	43	29	50.5	51.5	23	48.5	35	71	150.5	72.5	26.5	2164.5	864.5	1906.5	110.5	66.5	13.5	45.5	78.5	37.5	92	310	60.5
PLATE1	1	HC-004K	14.5	-1.5	19.5	22.5	32	39.5	25.5	4	43.5	11	170.5	57	61.5	2.5	8114	5047.5	4119	204.5	1287.5	-10.5	32.5	160.5	55.5	79	88.5	162.5
PLATE1	1	HC-005K	315	22	24	28.5	30	52	42.5	28	44.5	211	121	583.5	80	82	894	401	1190	205	117.5	-1	32	167.5	44	83.5	92	77.5
PLATE1	1	HC-006K	1572	115	662	124	952	578	32	18.5	2866	1068	169	4050	86	112.5	1011	412	707	201.5	119	-4	42.5	384	49	102	162	143
PLATE1	1	HC-007K	78.5	20	41	29	38	67.5	36	3	234	61	221	342	58	22	787	424	659	367	191	3	38	348	55	108	128.5	274.5
PLATE1	1	HC-008K	215	47	61.5	7	100.5	91.5	3	-25	543	166.5	173	566	13	-21	826	572	678	337	135.5	3.5	60.5	352	95	104	109	215
PLATE1	1	HC-009K	51	38.5	18	20	29.5	59	55	13	57	31	813	647.5	73	21	388	363.5	477.5	356	184	17	52	284.5	51	121.5	127	281.5
PLATE1	1	HC-010K	53	37.5	-6	4	0	23	8	-6.5	39	64	1132	604.5	75	2802	5066	3116.5	5961	1612	547.5	3.5	47.5	985	93	144.5	6213	1319
PLATE1	1	HC-011K	146.5	25.5	34.5	36.5	37	57.5	51	29	162	28.5	15661	249	83	87	265	177.5	324	122	82	8	18	109	42	99.5	657.5	81
PLATE1	1	HC-012K	31	-8.5	17	10	5.5	37	25	-2.5	45	19	317	90	51	24	345	397	367.5	232	189	-12	24	312	66	68	540	307
