Plate	Inplatecount	Sample	FcR2A_N	FcR2A_zebra	FcR2A_Eadp501	FcR2A_RBD wuhan	FcR2A_AMA1	FcR2A_MSP1	FcR2A_HRPII	FcR2A_FL spike	FcR2A_pp28	FcR2A_EBNA1	FcR2A_VCA	FcR2A_BSA	FcR2A_CelTos	FcR2A_CSP
PLATE1	1	HC-047K	4543.5	2157.5	233.5	11345.5	4693	23769.5	3874	7781.5	938.5	13391	4844	112.5	213.5	2292.5
PLATE1	1	HC-048K	6926	13.5	4.5	20293	22996	45487	3438.5	12988.5	22688	25835.5	10108	167.5	825.5	9133.5
PLATE1	1	HC-049K	112.5	2180.5	63.5	160.5	18971.5	58068.5	2867.5	3.5	4296.5	30593.5	29304.5	97.5	360	189.5
PLATE1	1	HC-050K	274.5	942.5	772.5	278.5	53657	66659	7856	122	4045	63397	40062.5	220	767	4836.5
PLATE1	1	HC-051K	28466.5	67	33	1152	1577	20118	206	980	1470.5	24988	19628	103	81.5	101
PLATE1	1	HC-052K	1246	27	6.5	17299	8385.5	22978.5	3151	15440	124	18028.5	5825	128	136	104.5
PLATE1	1	HC-053K	315.5	177.5	93.5	1268	7035.5	43247.5	1041.5	285	40601.5	975.5	2019	296.5	1449.5	426.5
PLATE1	1	HC-054K	39430	36373	125	34787.5	34548	72846	2765.5	35791.5	27112	13806	20589	351	202	1251
PLATE1	1	HC-055K	21510.5	14017	-16	24830	13866	33942	2815	21214	11303	16789	16789	193	315	62
PLATE1	1	HC-056K	10786	89	8	12936	10053	16426	4345	11650	3353	8465	6990.5	157	1783	2062.5
PLATE1	1	HC-057K	10076.5	60.5	25.5	15336	11372.5	19559.5	3579.5	14545.5	8902	17483.5	8687	148.5	138	183.5
PLATE1	1	HC-058K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLATE1	1	HC-059K	60827	56	-217	77479	7173	97301	1524.5	28574	13293.5	89842	88724	600	374	111.5
PLATE1	1	HC-060K	967	-583	-648	3223.5	18468.5	37059	7144.5	-526.5	1438	19130	13507	920	1	10861
PLATE1	1	HC-061K	6494.5	5233.5	175.5	3457	40693	56363.5	22855.5	3471.5	16423	37066.5	22673.5	182.5	553.5	9664.5
PLATE1	1	HC-062K	36366	67	22	42912	3130.5	44885	1245	35499	736	289.5	20205	119	134.5	100
PLATE1	1	HC-063K	30116	10238	35	30755	1995	38909.5	397	17069	7407	210	11170	130	836	102
PLATE1	1	HC-064K	226	2649.5	-28.5	876	22518	64135	20545	46	6108	35018	28539.5	178	16770	9858
PLATE1	1	HC-065K	13380.5	35246	2222	11367.5	9553.5	37333	514.5	10981	40058.5	30581	33866	258	1167	589
PLATE1	1	HC-066K	5289	400.5	-56.5	727	29650	45104	1475	161	23229	42594.5	33528	231	962	4840
PLATE1	1	HC-067K	10697.5	519	52.5	11371.5	34533.5	42654.5	5670.5	10090.5	546	24474.5	16537.5	114.5	488.5	1080
PLATE1	1	HC-068K	1478	8.5	42.5	16528.5	2868.5	27067.5	2035.5	11032.5	8804.5	11636	9936.5	236.5	83.5	171.5
PLATE1	1	HC-069K	6778	42.5	-26.5	16425.5	7457.5	17190	1018	8427	923	8982	7765.5	397	-15	-4
PLATE1	1	HC-070K	15709.5	3810.5	95	25085.5	20489	27446	11948	19052	6280.5	16252	13406	268	19645	3920
PLATE1	1	HC-071K	4948	149	-27.5	4369.5	756.5	10967	206	7048	6761.5	11377	10059.5	270	165	49
PLATE1	1	HC-072K	2428.5	85	52	6792	8775.5	35050	676.5	1884.5	11414	22014	15754	191.5	374.5	1789.5
PLATE1	1	HC-073K	3334	-152	-158	2105	1612	37233	555	1082	2886	19715	11481	392	213	461
PLATE1	1	HC-074K	171	57	69	818	22064.5	51660	11703	33.5	451	143	23262	187	355.5	5964
PLATE1	1	HC-075K	4181.5	166.5	-85.5	3422.5	16084.5	21408.5	10495.5	790	2894.5	13723.5	9909.5	352.5	1617.5	686
PLATE1	1	HC-076K	11916	73	11	2075	45563	77782	30428.5	6221.5	5583.5	50592	35926	251	329	133.5
PLATE1	1	HC-077K	5730.5	9.5	-25.5	19164.5	583	17989.5	145.5	12522.5	7146.5	20852	17955.5	224.5	99	90.5
PLATE1	1	HC-078K	17043.5	3069	17	12608	16362.5	33090.5	3948	8901.5	11178.5	13984	9472	201	426.5	86
PLATE1	1	HC-079K	2315.5	12	-3.5	11183	13650	16363.5	6546	7361.5	612	6012	7142.5	164.5	262.5	482.5
PLATE1	1	HC-080K	14014	3990	13	20522	1190.5	21184	232	12047.5	5614.5	18606	11435.5	121	189	153
PLATE1	1	HC-081K	13617.5	4065	1.5	23559	14608	23741	407	12029.5	832	15757	12344.5	118	194	2709
PLATE1	1	HC-082K	16857.5	18044	-6	12168	59102	48130	296	10678	10661	52042	53958.5	227	132	206
PLATE1	1	HC-083K	74.5	22286.5	104.5	2092.5	25046.5	30578	2189.5	28.5	1848.5	14986	25833.5	238.5	168	895.5
PLATE1	1	HC-084K	293	15	10.5	18952	6135.5	26844	1182	19522.5	6582	3850.5	10591	254	366	907
PLATE1	1	HC-085K	76.5	-4.5	-2	403.5	8631.5	33068	2388	63	2595.5	10947	10088	303	207.5	92
PLATE1	1	HC-086K	707.5	12407	-22	111	41168	100941.5	2278.5	-14	90517	112791	24129	415	1721	234.5
PLATE1	1	HC-087K	580	2123	-7	19455.5	32458	59510	18703	12167.5	10350	33814.5	23117	731	2604	162.5
PLATE1	1	HC-088K	6816	57161.5	-1.5	15209.5	92562	138285	13882.5	11257	4858.5	90190	68874	274.5	430.5	51344.5
PLATE1	1	HC-089K	4344.5	7201.5	-60	15132.5	23439.5	120929.5	12392	1478.5	5025.5	70633.5	44310.5	670.5	191	48.5
PLATE1	1	HC-090K	127.5	83.5	35.5	8780.5	36931.5	124224.5	3667	869.5	21967.5	74693	33463.5	340.5	137	50.5
PLATE1	1	HC-091K	463.5	15303	5	19640	37249.5	74726	13292	7849	1019	52099	32322.5	387	1726	120
PLATE1	1	HC-092K	2168	66.5	14.5	18198	21095.5	50748.5	2486	9613.5	869	21529	18700	255	185	400
PLATE1	1	HC-093K	13822	38145.5	-302	62757.5	54318	109039	37985.5	29797	10777	98661	44350	563	723	916
PLATE1	1	HC-094K	13528	92.5	49	12205	21020	66401	8468.5	12546	5901	46659	12210	170	2046	425.5
PLATE1	1	HC-095K	435	102	104	59	20963	30212.5	15418.5	112	6521	25719	12027	113	741	117
PLATE1	1	HC-096K	62810	436.5	256	33419.5	80625	172481	35963	52181	17669	105146	88312	282	1078	8276
PLATE1	1	HC-097K	27233	186	58	29103	28921	49769	12722	19044	3015	20800	18063	162	998	12776.5
PLATE1	1	HC-098K	78085	2720	-192	84106	54202.5	95854	37209	80982	59791	61707	42809	473	10015	13253
PLATE1	1	HC-099K	20093	154	3	11039	7952.5	24529	4267	10244.5	1466	16181	4679	117	1366.5	1258
PLATE1	1	HC-100K	10539.5	244.5	-19.5	19756.5	18684.5	24729.5	2994	7545	3509.5	19003.5	14219.5	293.5	126.5	795.5
PLATE1	1	HC19-KC005	1118.5	48	525	177	24908.5	46498	6516	9	16754	15	18761	399	281	695
PLATE1	1	HC19-KC006	191	2081	31	382.5	19822	30246	759.5	-57	7951.5	20073	10965	342	108.5	1533
PLATE1	1	HC19-KC007	36	8948	17	264	18005	18712.5	17252	45	289.5	20674	16796	220	153.5	4393
PLATE1	1	HC19-KC008	891.5	-20	-5.5	1608	44240	73242.5	30439.5	353	15342	33986	39324	411	2132.5	2211.5
PLATE1	1	HC19-KC012	23.5	28.5	25	232	14621.5	15252.5	14146.5	-10	4603	5494.5	6599.5	210.5	80.5	75.5
PLATE1	1	HC19-KC015	3543	2585.5	1143.5	497.5	20342.5	15830.5	18277.5	313.5	12116.5	12409.5	10533	289.5	1344	11941.5
PLATE1	1	HC19-KC016	1209.5	122.5	95.5	410	17706.5	19577.5	20581.5	30.5	2055.5	8358.5	10837.5	244.5	1560.5	2455.5
PLATE1	1	HC19-KC017	22857.5	453.5	638.5	1837.5	26255.5	44093.5	3497.5	90.5	3473.5	8765.5	16177.5	340.5	7812	14412.5
PLATE1	1	HC19-KC019	292	17	53	64.5	11068	9744	7752	1196	7282	6026	3407	194	99	271
PLATE1	1	HC19-KC021	4455	545	346	230	25915.5	25482	5284.5	57	7980	14912	4409	202	338	9810
PLATE1	1	HC19-KC022	637.5	4731.5	2101.5	877.5	10626	15906.5	13985	-51	6798	4825.5	12593.5	501.5	360.5	8806.5
PLATE1	1	HC19-KC024	219.5	490.5	249.5	3427	39974.5	68316.5	17963	150.5	25855	1248.5	825	159.5	1889	7459.5
PLATE1	1	HC19-KC025	1309	663	671	1242	16462	34231	30787	12	10406	10839.5	10117	326	4325	1370
PLATE1	1	HC19-KC026	7666.5	78	-181	873	37971.5	56345	54657	144	7123.5	12232	26441	452	1917	20487.5
PLATE1	1	HC19-KC027	29.5	-8.5	-26.5	32.5	11083	21787	18947.5	37.5	466.5	10959	11300.5	190.5	217	4105.5
PLATE1	1	HC19-KC028	2071	-136.5	-109	3193	69542.5	101363	1420	-154	766.5	66155.5	30879.5	849	974	27344
PLATE1	1	HC19-KC029	3345	82434	-705	1439	89300	86118	21759	-571	25113	69729	63730	1712	2450	53283
PLATE1	1	HC19-KC030	-881	-981	-1059	91.5	44067.5	88341.5	3067	-889	3942	38057	20653	1313	-536	8938.5
