Plate	Inplatecount	Sample	IgG3_RBD alpha	IgG3_N	IgG3_RBD beta	IgG3_RBD omicron	IgG3_RBD lambda	IgG3_RBD gamma	IgG3_zebra	IgG3_Eadp501	IgG3_RBD delta	IgG3_RBD wuhan	IgG3_AMA1	IgG3_MSP1	IgG3_HRPII	IgG3_Tetanus	IgG3_HCoV-229E	IgG3_HCoV-NL63	IgG3_HCoV-OC43	IgG3_pp28	IgG3_pp65	IgG3_EBNA1	IgG3_VCA	IgG3_FL spike	IgG3_BSA	IgG3_CelTos	IgG3_CSP	IgG3_HCoV-HKU1
PLATE2	1	BACKGROUND0	32.5	33.5	35	35.5	32.5	59	51.5	18	40.5	9.5	23.5	52.5	79.5	17.5	70.5	87.5	54.5	58.5	37.5	0.5	5	42	41.5	82.5	101	22.5
PLATE2	1	AF-MIX-S1	250	224.5	-5	-72	37.5	129	24	3	83	71.5	4803	26050	10184.5	259	533	800	1679	584	213	352	508	96	193	464	1017	222
PLATE2	1	AF-MIX-S2	127	150.5	15.5	-21	39	93	63	47	72.5	47	2617	14591.5	6563	235.5	350	478	1033	330	141.5	199	306	75	122	273	547	116.5
PLATE2	1	AF-MIX-S3	58	57.5	36	6	24	59	53	37	52	32	743	4783.5	2339	113	164	189	355	142	72	51	183.5	56.5	80	112.5	309	45
PLATE2	1	AF-MIX-S4	59	50	41	27	36	63	62	35	70	20	347	2124	1053	68.5	108.5	132	182	110	61	20	94.5	51	53	117	200	45.5
PLATE2	1	AF-MIX-S5	38	43	43.5	34	40	63	61	29	58.5	26.5	124	811.5	449.5	41	85	104.5	104	78.5	61	16	52	55	41	104	145	43
PLATE2	1	AF-MIX-S6	31.5	24.5	33.5	38.5	32.5	60	55	18.5	40	7.5	68.5	336.5	224.5	19.5	69.5	92.5	72.5	62	39.5	-3.5	19.5	43.5	46.5	69.5	106	26.5
PLATE2	1	AF-MIX-S7	32.5	26	29	31	44	62	58	21.5	49	17	55	232	171	21	72.5	92	80	67	52.5	0	20	40	40	77	105	28
PLATE2	2	BACKGROUND0	30	29.5	24.5	35.5	33.5	49.5	46.5	28	52.5	14.5	24	30.5	79.5	17.5	64	81	58.5	61.5	46.5	0	7.5	32.5	52.5	81	88.5	32
PLATE2	2	AF-MIX-S1	296	240	17	-88	34.5	139	11	-17	85	83	5118	29398	11037.5	253.5	555.5	873	1875.5	671.5	202.5	372	532	101.5	214	530	1108.5	238
PLATE2	2	AF-MIX-S2	147.5	173.5	23	-11.5	36	103.5	61	35	82	63	2667	15324.5	6966	234	377	483	1040	355	153	202.5	358	91	121	290	583	140
PLATE2	2	AF-MIX-S3	52.5	79	34.5	9.5	28	62	66	40.5	67	33	808	4901.5	2524	127	182.5	200.5	339	143	89	58	189.5	59.5	72	119	343	65
PLATE2	2	AF-MIX-S4	34	48	31.5	26	31	66	54	28	50	27	302	1844	1010	60.5	111	127	172.5	96	54	16	90.5	49	57	89	212	35
PLATE2	2	AF-MIX-S5	45.5	41	31	41.5	38	66	63	22.5	55	24	106	697.5	396.5	35	85.5	98	95.5	77	50	13	36.5	50	43	100	124	30
PLATE2	2	AF-MIX-S6	30	44	26	43	42	66.5	53	24	56.5	21	76.5	372.5	227	28	86	98	84.5	69	51	5	19	45	40	84	112	29
PLATE2	2	AF-MIX-S7	31	43.5	38	44	42.5	63	58	21	59	7.5	42	165	145	22	73	82	62.5	69.5	51	3	16	42	38	82	109	20
PLATE2	3	BACKGROUND0	34.5	32	41	46	47.5	62.5	60	32	64	17	27	40	78.5	22.5	79	82	62	66	55	8	12	54	33	90	93.5	40
PLATE2	1	POST-VACC-S1	235.5	3218	160	142	194	170	79	50	279.5	183.5	55	75	96.5	50	348	186	736.5	95.5	86	799	4503	239.5	52	95	121	37.5
PLATE2	1	POST-VACC-S2	196.5	866	96.5	61	107	119	71	38	181	112	56.5	49	84.5	36	128.5	96	215	65.5	57	277	1109	94	42	86	116	40
