Plate	Inplatecount	Sample	FcR3A_N	FcR3A_zebra	FcR3A_Eadp501	FcR3A_RBD wuhan	FcR3A_AMA1	FcR3A_MSP1	FcR3A_HRPII	FcR3A_FL spike	FcR3A_pp28	FcR3A_EBNA1	FcR3A_VCA	FcR3A_BSA	FcR3A_CelTos	FcR3A_CSP
PLATE2	1	BACKGROUND0	7.5	18	-4	19	32	8	46	14	21	33.5	24	68	78	93
PLATE2	1	AF-MIX-S1	644	10589	79	411	17019	40261.5	11009.5	83	3658.5	24287.5	13133	96	455	1314
PLATE2	1	AF-MIX-S2	152	3696	44	58	7093	22776	3183	51	836	14994.5	10621	67	174	485.5
PLATE2	1	AF-MIX-S3	93.5	2086	36	56.5	3854.5	18789.5	1706.5	42	402	10827.5	5223	83	123.5	350.5
PLATE2	1	AF-MIX-S4	34	473	12.5	24.5	627.5	3517.5	433.5	27	120.5	3048.5	1395.5	73.5	98.5	171.5
PLATE2	1	AF-MIX-S5	11	53	22.5	26	33	52	48.5	29	21.5	63	47	47	97.5	110
PLATE2	1	AF-MIX-S6	11	129	17	19	107	480	95	29	39	482.5	234	54	74	120.5
PLATE2	1	AF-MIX-S7	11	67.5	5.5	1	48	126.5	68.5	8.5	20.5	191.5	110.5	64.5	56.5	85.5
PLATE2	2	BACKGROUND0	20	55	8.5	27.5	38	32	44	20	36.5	48.5	67	56	90	109
PLATE2	2	AF-MIX-S1	802.5	13217.5	110.5	151.5	30841.5	56868	16419.5	58.5	6417	37277.5	22444	170.5	664.5	2252
PLATE2	2	AF-MIX-S2	373	6430	70.5	94	14835.5	34470.5	8449.5	41.5	2072.5	21896.5	13059	90.5	211.5	705.5
PLATE2	2	AF-MIX-S3	112	2792.5	27	64	6424	20898	2625	70	439	12323	9774.5	74	122.5	474
PLATE2	2	AF-MIX-S4	44.5	784.5	21.5	51	1633.5	9836	675	35.5	155.5	5861.5	3303.5	78.5	109	222.5
PLATE2	2	AF-MIX-S5	17	324	22	27	512	2414	182.5	7	73	1939	943.5	69	82.5	146
PLATE2	2	AF-MIX-S6	8	156.5	5	10.5	169.5	880	114	20	37	876	556	62	85.5	142
PLATE2	2	AF-MIX-S7	24.5	79.5	15.5	31.5	77.5	187	70.5	24.5	34	279.5	184	52.5	86	132.5
PLATE2	3	BACKGROUND0	35	44	24	27	82	39	80	23.5	38.5	32.5	46	42	99	102
PLATE2	1	POST-VACC-S1	17658	356.5	-74.5	17612.5	-24.5	4712	-8.5	16768	-36.5	18422	7612.5	187.5	1147.5	35.5
PLATE2	1	POST-VACC-S2	4143.5	54.5	-1.5	28538.5	52.5	516.5	62	12271	13.5	17425.5	2180	77.5	223.5	99
PLATE2	1	POST-VACC-S3	136.5	32	7	12928	32	37	54	1792	4	4882	207	71	92	96.5
PLATE2	1	POST-VACC-S4	18.5	24.5	5.5	4048.5	14.5	2.5	53.5	347.5	12.5	1052.5	86	65.5	67.5	100
PLATE2	1	POST-VACC-S5	1	27.5	10.5	91	21	9	52.5	25	30	45.5	41	58	66	107
PLATE2	1	POST-VACC-S6	19	35	5.5	41.5	25.5	32.5	68	23	32.5	28	34.5	51	98.5	84
PLATE2	1	POST-VACC-S7	20	46	4	62	503	10054.5	98.5	17	24	330	118	52	90.5	116.5
PLATE2	4	BACKGROUND0	23	42	12	60	176	1030	62	35	30	44	70	55	88	103
PLATE2	2	POST-VACC-S1	36560	1292	-12	22080.5	-66	10756	103	28025	-10	14860	11679	249	3560	-46.5
PLATE2	2	POST-VACC-S2	14825.5	69	-9	42969.5	15	1230	28.5	16339	18	32266.5	6702	92	495	79
PLATE2	2	POST-VACC-S3	722.5	49	15.5	30228.5	13	63.5	73.5	5221	21.5	9925.5	596	53.5	119.5	123
PLATE2	2	POST-VACC-S4	52	41	8	7121.5	29	213	59.5	456	33	1595.5	310.5	51	108.5	107
PLATE2	2	POST-VACC-S5	26	49	23	318	33.5	45	75	60	39	178	71.5	42	102.5	125.5
PLATE2	2	POST-VACC-S6	22.5	33	0	88.5	10.5	4	54	16	13.5	10	21.5	61	75	93
PLATE2	2	POST-VACC-S7	5	44	20	12.5	22	20	61	17	14	-3	37	49	82	93
PLATE2	1	HC-101K	6513	2690	405	2950	21935	57352	18398	7385	3591.5	31588	13399	109	1648	3812.5
PLATE2	1	HC-102K	261	275	31	58	4017	27209	290	27	3206	29240	9886.5	61	358.5	193.5
PLATE2	1	HC-103K	64.5	100.5	75.5	903.5	14557.5	56630	1953.5	449.5	3465.5	144	18143.5	89.5	348.5	275
PLATE2	1	HC-104K	4908.5	32	14	1405.5	1853	50491	161	584	563	36.5	10226.5	78	143	120
PLATE2	1	HC-105K	12529	979	26	7687	240	62064	256	5770.5	830	21170.5	20155	75	235	1146
PLATE2	1	HC-106K	7941.5	2259.5	2519	774.5	12963	48963	9250.5	148.5	1885.5	17619.5	13055	88.5	1390	766
PLATE2	1	HC-107K	15939	967.5	436	38477	28082.5	39184	2122	14501	1159	28071.5	12625	66	818	270
PLATE2	1	HC-108K	10976.5	309.5	295	5359	19832	50799	2294	2610	407.5	23243	12753	90	136.5	219
PLATE2	1	HC-109K	21272	2061	12	47675	33732	77774	4024.5	37930.5	9928	243	17347	133	1676.5	13620.5
PLATE2	1	HC-110K	10444.5	116	48	12413	1125.5	52566.5	893	6717.5	827	740	10973	79	204	122
PLATE2	1	HC-111K	6140.5	519	99	176	21391	35562	1847	634	479	40297	27917	83	223	454
PLATE2	1	HC-112K	4960.5	186.5	96.5	18467.5	669.5	37909.5	1714.5	4975.5	2808	18729.5	15022.5	85.5	707.5	117
PLATE2	1	HC-113K	4509	207	92	178.5	6219	51290	3859.5	214.5	1784.5	19707	30968.5	78	205	386
PLATE2	1	HC-114K	349	107.5	26.5	738.5	3767.5	57781.5	940	926.5	9340.5	38612.5	26289.5	67.5	3527	91
PLATE2	1	HC-115K	9468	285	237	26655	3212	36696	2468	9397	212	19443.5	10492	90	218.5	358
PLATE2	1	HC-116K	192	7356.5	80	4	529	30019.5	744	17	1961.5	19796	10339.5	80	202.5	94.5
PLATE2	1	HC-117K	15454.5	197.5	155.5	22343.5	20198.5	36697.5	857.5	3625.5	4831	36127	5443.5	65.5	1753.5	7075.5
PLATE2	1	HC-118K	1322	751.5	58.5	16281.5	21129.5	36156.5	707	6209.5	623.5	23069	14418.5	70.5	709	305
PLATE2	1	HC-119K	345	531	394	302.5	21334.5	32904	1194	12	1488	48296	19851	71	3126.5	2446.5
PLATE2	1	HC-120K	28186	4305	37.5	21842.5	1084	15717	157	16440.5	1684	12214	6720	65	115.5	251.5
PLATE2	1	HC-121K	67.5	411	57	117	14517	40680	12075	142	1091	17723	19708	77	284	530
PLATE2	1	HC-122K	10525.5	278.5	109.5	5233	688.5	26364.5	441.5	15655.5	775	29148.5	6617.5	61.5	188	200.5
PLATE2	1	HC-123K	87	9301	6	9498.5	923.5	33239	292	69.5	16451.5	22730	9012.5	90	105	74
PLATE2	1	HC-124K	1701	65.5	35	69.5	1120.5	57095	901	84.5	5699	22853.5	12291	69	227	195
PLATE2	1	HC-125K	33093.5	37	-31.5	46603.5	4115.5	77227.5	1345.5	21432.5	2926.5	32614.5	9972.5	109.5	150.5	79.5
PLATE2	1	HC-126K	584.5	33944.5	50.5	630	25410	55737.5	20298	19	12599	60	16693	103	518	2777
PLATE2	1	HC-127K	21973.5	114	117	33223.5	16130	48330.5	889.5	22532.5	6964	20752	16034	105	620	1386
PLATE2	1	HC-129K	49270.5	2216	837	28002	15039	45962	3130	19171	13644	20791	10053.5	112	2904	1139
PLATE2	1	HC-130K	422	1269	618	32	2050	64961.5	3352.5	8	1232	28266.5	14596.5	87	650	1137
PLATE2	1	HC-131K	15219	838	554.5	1128.5	26450.5	69352	33912	1258	2517.5	30797	15721	78	2880	6280
PLATE2	1	HC-132K	3245	5242	16	23339	3769.5	35457	960	13930	3378	16267	8672	97	179	179.5
PLATE2	1	HC-133K	1284	18523	2450.5	84.5	32100.5	56085	6031	17	2601.5	18500	21353	121	1053	310
PLATE2	1	HC-134K	464	2780.5	-2	1155	7018	37824	619	84	79	33192	19328.5	80	119	294
PLATE2	1	HC-135K	4182.5	61.5	-4.5	23669	1991	25494.5	227.5	4769	4051	31644.5	14521.5	109.5	989	208.5
PLATE2	1	HC-136K	85	729	57	28	4737	56692	4305.5	12	166	22417	12185	61	105	119
PLATE2	1	HC-137K	55	109	36.5	1440	16447	25995	4927.5	15	15188.5	18031	7361	88	463	150
PLATE2	1	HC-138K	1346	166	101	1820.5	16578	39495	25780	1488	1873	16680	9959	75	1151.5	1195
PLATE2	1	HC-139K	692.5	749.5	499	74	18772.5	53847.5	5749	28.5	2218.5	17084.5	9342.5	76.5	350.5	514.5
PLATE2	1	HC-140K	2562	528.5	257	17801	20813	39970.5	1633	9813	1326	18154.5	11888	90	421.5	1720.5
PLATE2	1	HC-141K	2038	611	247	25696	11058	45697.5	7214.5	10891	601.5	29392	13234	91	684.5	1094
PLATE2	1	HC-142K	82	249	-32.5	1352	11095	64728	328.5	1346	17411	40345	26675.5	138	496.5	185
PLATE2	1	HC-143K	32631	178	252	1782	3826	80451	1071	819.5	15715	48263	22054	104	1449	237.5
PLATE2	1	HC-144K	18369.5	5067.5	-3.5	32632	28137	55132.5	16182.5	20012.5	16840.5	16530	19693.5	114.5	266.5	581
PLATE2	1	HC-145K	2101	924	534	2350	25756	72537	2904	2856	2759	30046.5	11657	99	414	1331.5
PLATE2	1	HC-146K	981	929	35	9010	6142.5	88077	4171.5	4978	3792.5	47777.5	7204	122	127	105.5
PLATE2	1	HC-147K	1337.5	108.5	190.5	4837.5	17129.5	48450	11830.5	431.5	266.5	27216.5	12670.5	76.5	283	1448.5
PLATE2	1	HC-148K	34029	54.5	31.5	11928	17313	40989	788	7969	5730	928	2604	144	3635	1172.5
PLATE2	1	HC-149K	28985.5	388.5	56	15979	5254.5	68909	1857.5	8501	181	25881.5	11724	64.5	416.5	116.5
PLATE2	1	HC-150K	589.5	8246	303.5	241.5	16749	48012.5	25466	50.5	1586.5	15345	15579	92	901.5	5579
PLATE2	1	HC-151K	117	72.5	45.5	15.5	3514.5	55825	17156.5	14	172	31430.5	6601.5	72.5	485.5	110
PLATE2	1	HC-152K	19909	461.5	532.5	1173	1256.5	23572	2546.5	1058.5	252.5	20776.5	13919.5	58.5	1386.5	138.5
PLATE2	1	HC-153K	21495	104	30	15809	1436.5	37936.5	529.5	6598	8983	22294	9302	70	108.5	132.5
PLATE2	1	HC-154K	411	128.5	36.5	12300.5	1043.5	81728.5	4068.5	7993.5	4463	34023	22601.5	81.5	254.5	115.5
PLATE2	1	HC-155K	2528.5	11823	90	561	801	46085	1218	377	3768	19180	7309	80	178	122.5
PLATE2	1	HC-156K	14463.5	51	43.5	3817.5	11987.5	24398.5	310.5	1379.5	1862.5	20906.5	8339.5	87.5	151	71.5
PLATE2	1	HC-157K	19795	4492	31	8741	1122	31307.5	283	10378	2846	14149	8659.5	70	452.5	165
PLATE2	1	HC-159K	2427	1123	552	22846	34290	56631	33697	21899	2572	28745	24820	145	2785	1314.5
PLATE2	1	HC-160K	1931.5	7076.5	2974	81.5	27096	58222	5897	15	3875	22349.5	15271	174	1383	85
PLATE2	1	HC-161K	27	2541	57.5	88	7638	58454	644	48	3727.5	35075	15135	102	91.5	594
PLATE2	1	HC-162K	19833	199	48	20483.5	5940	43885	2326	5198	1176.5	21020	12960	66	202.5	1623
PLATE2	1	HC-163K	15487	1003	-78.5	17582	980	35313	366	14388.5	5707	15640.5	15325	195	1515.5	655.5
PLATE2	1	HC-164K	118	46	7.5	1290	762	53820	697	2521	2637	27771.5	11036	69	179.5	130
PLATE2	1	HC-165K	2116	290	145.5	279.5	19723	77628.5	18342	549.5	279.5	35457	18821.5	73.5	2874.5	133
PLATE2	1	HC-166K	647	1087	32	545	10621	57419	348.5	192	8930	26966	23269	76	228.5	206
PLATE2	1	HC-167K	3348	22	22.5	6813	60.5	33536.5	273	5174	1837.5	25332	13414	89	228.5	75
PLATE2	1	HC-168K	7967.5	231	340	23631.5	14287	53377.5	7016.5	13642	1037	18291.5	7334	67	9131	200.5
PLATE2	1	HC-169K	357	219.5	37.5	8659.5	572.5	43496.5	763.5	9770.5	4341	28709	10539	55.5	315.5	118
PLATE2	1	HC-170K	421	126	37.5	8078	1675	49627.5	1197	3425	561	27686.5	12280.5	63	841	129
PLATE2	1	HC-171K	171.5	596	120	91	22206.5	63202.5	23279	18.5	1116	5993.5	14279	66	191	192.5
PLATE2	1	HC-172K	38.5	27	8.5	61	9006	47371	166.5	6.5	400.5	31476.5	15199.5	83.5	154.5	107.5
PLATE2	1	HC-173K	15944	46	13	7655	6236	41422	308	5783	536.5	20986.5	12054	65	2693	140
PLATE2	1	HC-174K	2416.5	624.5	334	423.5	20295.5	59272.5	36771.5	137.5	5214	27278.5	14483.5	82.5	1462	4420.5
PLATE2	1	HC-176K	35258	973	28.5	28366.5	6240.5	47798	241	10046.5	13715	40392.5	11987	90	156	144.5
PLATE2	1	HC-177K	14977.5	2033	149	2362	15355	69451	16999	3347	478	34091	11660.5	59	669	7042
PLATE2	1	HC-178K	2879.5	438.5	23	9158.5	55.5	36350	222	2661	98.5	21300.5	16362	59.5	920	110.5
PLATE2	1	HC-179K	86	82.5	70	1298	7120	48176.5	7622	147.5	3358	35728.5	12244	76	388	187
PLATE2	1	HC-180K	11007	76	20	1305	18577	42743	977	2176.5	651	17732.5	13471.5	90	373	387
PLATE2	1	HC-181K	26403.5	192.5	38.5	18302.5	652.5	43439	505.5	6495.5	1900.5	20607.5	16956.5	67.5	216.5	140
PLATE2	1	HC-182K	6199.5	43	4	14321	112	55435	320	8606	7518	204	75	86	304	114
PLATE2	1	HC-183K	36	54	-8	35	814	50948.5	648	11	460	16399	13259	77	117	108.5
PLATE2	1	HC-184K	265.5	504.5	312	39	13730.5	47781.5	8073.5	28	2201.5	24961.5	11493.5	72.5	1054.5	2575.5
PLATE2	1	HC-185K	43129	1817	30	47350.5	6133	25249	703	28854.5	12670	17947	47978	81	208	145.5
PLATE2	1	HC-186K	187	216	6146	131.5	17072	45586	27033	76	725	18795	10329	100	845.5	1288.5
PLATE2	1	HC-187K	592	254	169.5	236	2775	51783.5	3667	79	4981	19801	14510.5	75	577	92
PLATE2	1	HC-188K	16191.5	75	366	11454.5	33045.5	60611.5	35692.5	10043.5	436.5	20665.5	19512.5	89.5	2563	2605.5
PLATE2	1	HC-189K	6862	1591	2	3348.5	13897	44104	517	4290	14504	17347	10994	87	564	139.5
PLATE2	1	HC-190K	6476.5	2683.5	305.5	21887.5	18852.5	19719.5	1981.5	8312.5	3285.5	13533.5	11054.5	179.5	2996	7538
PLATE2	1	HC-191K	353	1258.5	853	307	19882.5	40421	2215	-5	2235	25930	4739	85	6560	1868.5
PLATE2	1	HC-192K	28176	827	659.5	38467.5	13441	64163	7219.5	17234	6687	1176	12678	121	1050.5	798
PLATE2	1	HC-193K	27561	220.5	41	8166	21354	66675	18114	1596	12097	979	168	74	236	599
PLATE2	1	HC-194K	4650.5	82	24	20352.5	630.5	24141	309	8863	1107	15535.5	9992	71	467	143
PLATE2	1	HC-195K	814	5698.5	68	8110.5	15173	55174	6116	2804	1284	25782	11121	73	142.5	129
PLATE2	1	HC-196K	11182	8925.5	138	30999	8127	45204.5	4226	12343	1087	15544	10961.5	82	4814	410.5
PLATE2	1	HC-197K	59	398	70	499.5	927.5	49988.5	270	13.5	930.5	41431.5	16580.5	78.5	285.5	137.5
PLATE2	1	HC-198K	25570	501.5	279	3587	12103	59925.5	1236	1476	1176	19842.5	8002	91	242.5	871.5
PLATE2	1	HC-200K	59429.5	702.5	12.5	38172.5	116.5	37590.5	246	28725	15121	31976.5	18901	74	111.5	107
PLATE2	1	HC19-KC098	946	198	891	154	26234	53595	2335	37	2063.5	24614	18806.5	123	589	4552.5
PLATE2	1	HC19-KC099	572.5	2610	154	54	19222.5	35310.5	4163.5	40	1379.5	13974	13670	106.5	1179	1309
PLATE2	1	HC19-KC100	712.5	7445.5	819	140	15411	37676	3794	86	8742	16680	12272	91	5316.5	1587.5
PLATE2	1	HC19-KC101	914	1026.5	15284.5	186	5884.5	40291.5	1195.5	67	1032	21237.5	7169	99.5	495.5	3212.5
PLATE2	1	HC19-KC102	1249	629.5	577	37	9971	59847	2086.5	14	1126	27853.5	5989.5	101	1051	8134
PLATE2	1	HC19-KC103	259.5	3339	188	134	9966	37859	7532.5	26	1151	8725	11656.5	68	497	352
PLATE2	1	HC19-KC104	915.5	932	1110	148	1806	55764.5	9779	-3	831	50424	12832	99	826	100.5
PLATE2	1	HC19-KC105	27	805	25	29	11830.5	92	69	26	43	25	179	42	101	137.5
PLATE2	1	HC19-KC106	2594	44307.5	2619.5	9513	27432	63088	8800.5	-37	3213.5	29851	22571	203	3131	4651.5
