Plate	Inplatecount	Sample	IgA1_RBD alpha	IgA1_N	IgA1_RBD beta	IgA1_RBD omicron	IgA1_RBD lambda	IgA1_RBD gamma	IgA1_zebra	IgA1_Eadp501	IgA1_RBD delta	IgA1_RBD wuhan	IgA1_AMA1	IgA1_MSP1	IgA1_HRPII	IgA1_Tetanus	IgA1_HCoV-229E	IgA1_HCoV-NL63	IgA1_HCoV-OC43	IgA1_pp28	IgA1_pp65	IgA1_EBNA1	IgA1_VCA	IgA1_FL spike	IgA1_BSA	IgA1_CelTos	IgA1_CSP	IgA1_HCoV-HKU1
PLATE2	1	BACKGROUND0	2.5	-3	9	13	-2	26	20	-9	18	33	32.5	-1	35	-11	40	72.5	50.5	20	14	-3	5	1	73	103.5	86	-5
PLATE2	1	AF-MIX-S1	-1561	264.5	-2852	-2752	-2653	-2444	-2738	-2426	-1788	830	1191	-1500.5	-2524.5	-1813.5	4260	2675.5	5767.5	1426.5	-924.5	1499	4814	-449	3239	960	-192.5	3121
PLATE2	1	AF-MIX-S2	-495.5	-8.5	-768.5	-770.5	-756	-633	-653.5	-555.5	-550	169	360	-398.5	-500	-348	1212.5	592	1640.5	287	-72.5	186	1685.5	-171.5	936.5	161.5	-26	509.5
PLATE2	1	AF-MIX-S3	-681	-70.5	-1018	-1032.5	-999	-866	-910	-710	-749	267	407	-534	-665	-408	1696.5	852.5	2306	438	-26	264	2099	-243	1237	325.5	-97	829.5
PLATE2	1	AF-MIX-S4	-207	7	-248	-259	-245	-204.5	-191	-154	-175	63	121	-126	-107.5	-114	415	245	557	76.5	-37	47	503	-82	365	111	21	148
PLATE2	1	AF-MIX-S5	-52.5	8.5	-83	-97	-82	-43.5	-41.5	-42.5	-44.5	72	95.5	-38.5	-3.5	-33	192.5	144.5	253.5	63.5	28.5	53	187.5	-13	178.5	164.5	89.5	70.5
PLATE2	1	AF-MIX-S6	-47	-2	-64	-55	-48	-29.5	-20	-54	-23.5	54.5	64	-37.5	8.5	-38	95	109	122	50.5	4	12.5	91	-20	146	149	61	23
PLATE2	1	AF-MIX-S7	-50	-32.5	-42	-40.5	-45	-23	-37	-54	-30	15.5	53	-51	0	-51	44.5	64	63	4	-16	-2	24	-26	132	133	52	-21
PLATE2	2	BACKGROUND0	-8.5	-11	-8.5	-17.5	-1	15.5	6.5	-21	18	9	28.5	-15	31	-28	26	47	31	-5	-6	-5	-9	-4	88	95	89	-12
PLATE2	2	AF-MIX-S1	-1673.5	-231	-2729	-2692	-2598.5	-2357	-2652.5	-2334.5	-1808.5	794	1181.5	-1502.5	-2407	-1854.5	4161	2585.5	5772	1158	-847	1297	4269	-444	3159	590	-494	2920
