Plate	Inplatecount	Sample	IgG1_RBD alpha	IgG1_N	IgG1_RBD beta	IgG1_RBD omicron	IgG1_RBD lambda	IgG1_RBD gamma	IgG1_zebra	IgG1_Eadp501	IgG1_RBD delta	IgG1_RBD wuhan	IgG1_AMA1	IgG1_MSP1	IgG1_HRPII	IgG1_Tetanus	IgG1_HCoV-229E	IgG1_HCoV-NL63	IgG1_HCoV-OC43	IgG1_pp28	IgG1_pp65	IgG1_EBNA1	IgG1_VCA	IgG1_FL spike	IgG1_BSA	IgG1_CelTos	IgG1_CSP	IgG1_HCoV-HKU1
PLATE1	1	HC-222K	40728	28504	37723.5	36090	42305	35667	58.5	55	61087.5	41357	121	27224	290	1086.5	32856.5	23408	58757	13980	125	53867	36786.5	36444	59	453	128	627
PLATE1	1	HC-223K	13940	4621	7061	669	8209	6165.5	47	49	18806	8937	665	12357	140	249	25204	36126.5	89504	1341	115	53378	37828.5	5230	68	205	138	71681
PLATE1	1	HC-224K	59948	56612	47152.5	37167	34310.5	37304	90.5	43.5	86009	46489.5	1718.5	35613.5	206	688.5	1313.5	29169.5	57869.5	294	160.5	60062.5	56270	46615.5	78.5	1852.5	195	1854.5
PLATE1	1	HC-225K	497	77.5	35	2604	52	78	222	60	239	241	518	46620	342	2664	69950.5	38440	131668	3801	330	78907	97850	452.5	85	233	816	10018
PLATE1	1	HC-226K	26801	6043.5	18278	13954.5	15026.5	10834	1656	52	66833.5	18917	223	22539	183	400	1062	37472	111551	10888	123	10292	86633.5	19374	71	223	204.5	3630
PLATE1	1	HC-227K	50863	4211	26928	1098	26757	22895	64	22	45516.5	29179	542	90371	258	63716.5	4128	22187	77187	3836.5	163	27682	73576	23878	115	1336.5	307	3199
PLATE1	1	HC-228K	35444.5	5190.5	37821	14909.5	16890.5	32897	111.5	17	75181	20397.5	299.5	25642	158	48058	29664	23414	114711	37844	282	59585.5	47052.5	25642	110	146	893	32097
PLATE1	1	HC-229K	6132	14495	2757	416.5	1447	2086	1012	13	22430	3889	1138	29011	130	32667	1824	5864	131927	15257.5	797	83268	75053.5	3594	100	221	549.5	5879
PLATE1	1	HC-230K	52778	5311.5	37469	12443.5	31962	32716	334	41	47819.5	39662	854.5	15142.5	194	3895	31185	10602	62124	7487	105	30030.5	28854	24650	74	162	177	38794
PLATE1	1	HC-231K	295	70	57	49.5	65	89	1712	90	276	166.5	1700	36294	237.5	579.5	1736	27714	105690	942	194	94402	82154	206	83	254	386	1981.5
