Plate	Inplatecount	Sample	IgA1_RBD alpha	IgA1_N	IgA1_RBD beta	IgA1_RBD omicron	IgA1_RBD lambda	IgA1_RBD gamma	IgA1_zebra	IgA1_Eadp501	IgA1_RBD delta	IgA1_RBD wuhan	IgA1_AMA1	IgA1_MSP1	IgA1_HRPII	IgA1_Tetanus	IgA1_HCoV-229E	IgA1_HCoV-NL63	IgA1_HCoV-OC43	IgA1_pp28	IgA1_pp65	IgA1_EBNA1	IgA1_VCA	IgA1_FL spike	IgA1_BSA	IgA1_CelTos	IgA1_CSP	IgA1_HCoV-HKU1
PLATE1	1	HC19-KC036	-342	-1149	-1593	-1650.5	-1051	-831	-1584.5	-1625.5	6311	822	-108.5	-633	-1540	-1018	9831	7010	17180.5	627	-935	-32	2732	-86	2179	1266	787	-495
PLATE1	1	HC19-KC038	-298	4151.5	-1272	-1307	-1041.5	-953	-1318	-1362	-531.5	1170	69	593.5	-1117	-1295	78	620	1959.5	2779	-488	-282	2296	516.5	1854	729	1346.5	1678
PLATE1	1	HC19-KC039	467	1295.5	-706	-303.5	-329	-502.5	-844.5	-815.5	302	526.5	57.5	-600.5	-767.5	-720.5	1448.5	2008.5	2829.5	1532	-433	146	5373.5	-234.5	1161.5	924.5	455.5	501.5
PLATE1	1	HC19-KC040	2319.5	328	-207	-84	1544	-14	-267.5	-163	1634.5	1202	1005	879	-239	-233.5	784.5	2165.5	1570	5393	-79	70	93	-38	670	214.5	228	1329
PLATE1	1	HC19-KC041	-235	198.5	-1423	-1471	-1225	-921.5	-1761	-1589	-156.5	916	273	-20	-1550	-1641.5	3371.5	1766	6337	1426	-881	-12.5	4691	6.5	2257	895	-48	544
PLATE1	1	HC19-KC047	1354	-64.5	-780	-446.5	-642	-597	-624.5	-622	179	705.5	-28	-376.5	-679.5	-645	165	1443	22123.5	692.5	-160	19.5	1492	-15	1124	540.5	8552	9782
PLATE1	1	HC19-KC048	-7976	-8090.5	-9313	-9170	-9378	-9033	-9544.5	-9423.5	-8327	1090.5	-1696.5	-9339.5	-9893	-9551	-6177.5	2011	-497	-4727	-8512	-2316	901	-3356	10956	3612	-1185	-5065
PLATE1	1	HC19-KC049	-384	-435	-672.5	-754	-623	-606.5	-880.5	-884.5	-433	710	452.5	454	-746	-842	485.5	621	4440	2111	131	76	2821	-218	1228	349.5	73.5	-116
PLATE1	1	HC19-KC050	-724	-811.5	-1108.5	-923	-982.5	-883.5	-1133.5	-985.5	-839.5	213.5	-72	-609.5	-1091.5	-902.5	-22.5	1298.5	12643.5	755.5	-660	20	939.5	-172.5	1443.5	603.5	-106.5	6634
PLATE1	1	HC19-KC051	-401.5	2	-1225.5	-640	-1023	-935	-1246	-1094	186	581	775	-79	-1175	-1173	697	1743	7662	539.5	-471	377	2710.5	-9.5	1632	638	-159	2103
PLATE1	1	HC19-KC057	-1246.5	-1493.5	-1744	-1804.5	-1577	-1515.5	-1897.5	-1804.5	-1270.5	753.5	-76	-541.5	-1745.5	-1843.5	56.5	5492.5	11250.5	-198.5	-1332.5	-41	3034.5	-457.5	2196.5	1052	-124	4604.5
PLATE1	1	HC19-KC058	-646	2344.5	-843	-886	-766	-656	-812.5	-811	-692.5	159	-109.5	-766	-819.5	-655	145	671.5	29116	791.5	-504	30.5	537	-77.5	1210	356	-241	326
PLATE1	1	HC19-KC059	371	807	-620	-448	411	-381	139	-427	614.5	332	21	251	-507	-505	192	973.5	10199	355.5	-384	158	39804.5	-132	984	444.5	15.5	289
PLATE1	1	HC19-KC060	-115.5	1157.5	-543.5	-472.5	-386	-341	-647	-582.5	63.5	693.5	239.5	-350.5	-507.5	-540	303.5	627	2214.5	935	-191	116.5	1681	150	991.5	710	1081.5	298
PLATE1	1	HC19-KC063	-199	-314.5	-624.5	-582	-555	-153	-610	-588.5	-72.5	227	96.5	33	-600	-472	396	1289.5	9829	2309	62	-66	66866.5	-120.5	1023	822	-89	973
PLATE1	1	HC19-KC064	-1710	-1055	-2305	-2317.5	-1999	-1880	-1917.5	-2206.5	-1808	484	-337	-1972	-2160	-2016.5	1999	191.5	3818.5	735	-1023	-733	18790	-722	2708	429	-1319.5	507.5
