Plate	Inplatecount	Sample	IgG3_RBD alpha	IgG3_N	IgG3_RBD beta	IgG3_RBD omicron	IgG3_RBD lambda	IgG3_RBD gamma	IgG3_zebra	IgG3_Eadp501	IgG3_RBD delta	IgG3_RBD wuhan	IgG3_AMA1	IgG3_MSP1	IgG3_HRPII	IgG3_Tetanus	IgG3_HCoV-229E	IgG3_HCoV-NL63	IgG3_HCoV-OC43	IgG3_pp28	IgG3_pp65	IgG3_EBNA1	IgG3_VCA	IgG3_FL spike	IgG3_BSA	IgG3_CelTos	IgG3_CSP	IgG3_HCoV-HKU1
PLATE1	1	BACKGROUND0	33	27	33	36	36	61	37	16	43	26	32	68	84	18.5	59.5	73	45	54	24	-3	15	21	51	91	92	16
PLATE1	1	AF-MIX-S1	256.5	378.5	74.5	40	100.5	182.5	82.5	53	143.5	143.5	2758.5	24707.5	8376.5	247.5	442.5	571	1074	548	156.5	218.5	251	96	93.5	163.5	930.5	184.5
PLATE1	1	AF-MIX-S2	125	211	40	30.5	62.5	118	77	72	98.5	103	1754	11876	5343	205	306	382	697	285	131	124	214	65	69	102	573	117.5
PLATE1	1	AF-MIX-S3	86	128	36.5	37	64	99	66.5	53	71	85	801	5240	2463	116	188.5	209	380	150	81	56	128.5	57	57	118	309	70
PLATE1	1	AF-MIX-S4	55	66	34	20.5	32	66	46	27	64	52	389	2642	1400	69.5	121.5	138	195.5	90	58	22	71	32	56	92.5	208	29
PLATE1	1	AF-MIX-S5	36	41	16	16	37.5	59	50	21	57	41.5	345	2162	1079	42	104	111	200.5	79	55	23	77	39.5	59	87	197.5	33.5
PLATE1	1	AF-MIX-S6	29.5	29.5	24.5	14	26.5	49.5	43.5	24.5	48.5	53	88.5	497.5	275.5	31.5	84.5	82.5	79.5	44.5	34.5	7.5	30.5	29.5	47.5	77.5	108	24
PLATE1	1	AF-MIX-S7	35	31	36	35	37.5	59	48	25	69	39	77.5	319	201.5	13	67	83.5	57	60	44.5	1	34	32.5	45	84.5	112.5	14
PLATE1	2	BACKGROUND0	16.5	19	22	39	34.5	51	40.5	9.5	26	36	64	311	177	15	75	97	62	44	32	-1	39	31.5	52	81	113.5	21
PLATE1	2	AF-MIX-S1	315	458.5	88	31	117	225	113	82	188.5	185.5	3774	31010	10361.5	315	539.5	711	1407	702	238	317	350.5	114.5	88	200	1246	238
PLATE1	2	AF-MIX-S2	141	230.5	37	16.5	58	114.5	75	71	104	107.5	1850	13216	5314	206	294	355	733	310.5	135	136	232	69.5	72	121.5	534	121.5
PLATE1	2	AF-MIX-S3	81	134	26.5	43	40	82.5	67	41	73.5	89.5	1167.5	7591	3545	142	207	250	482	212	106	75	148	46	68	105	356	88
PLATE1	2	AF-MIX-S4	39	48	33	16	39	53.5	47.5	27	50	54.5	257	1803	865	50	90	108	159	71.5	65	25.5	66	24	52	59	173.5	41
