"Sample","TotalIgG_AMA1","TotalIgG_pp28","TotalIgG_Schisto","TotalIgG_pp65","TotalIgG_BSA","TotalIgG_MSP1","TotalIgG_HRPII","TotalIgG_CelTos","TotalIgG_CSP","TotalIgG_PfGarp","Plate_TotalIgG"
"RCC-058-T01",1547,2784,0,0,150,810.5,832,146,133.5,117,"Chul_TotalIgG_2"
"RCC-058-T07",284,2474,69,33,39,136,375.5,60,26726,89,"Chul_TotalIgG_2"
"RCC-058-T08",199,2281,78.5,36.5,41.5,110.5,446.5,65.5,17604.5,89.5,"Chul_TotalIgG_2"
"RCM-059",16320,1109.5,18,51,43,189,4276,45,3937,175,"Chul_TotalIgG_2"
"RCC-059-T01",1479.5,618.5,76,16,38,22,308,37.5,67,31,"Chul_TotalIgG_2"
"RCC-059-T07",304,364,51,97,24,35,227.5,25,28344,59.5,"Chul_TotalIgG_2"
"RCC-059-T08",186,486,76,115,30,69,267.5,59,18856,84,"Chul_TotalIgG_2"
"RCM-060",2536.5,3457,90.5,71,44,110,448,96.5,40,117,"Chul_TotalIgG_2"
"RCC-060-T01",155.5,61.5,0,0.5,54.5,10,201.5,42,108.5,34.5,"Chul_TotalIgG_2"
"RCC-060-T07",83,60,7,37,31,35,125,25.5,26151,44,"Chul_TotalIgG_2"
"RCC-060-T08",190,115,0,62,119,79,308,140,12931.5,257,"Chul_TotalIgG_2"
"RAM-001",17926,2153,645.5,189,243,11057,8052,215,2105.5,1184.5,"Chul_TotalIgG_2"
"RAC-001-T01",792,1454,39,64,41,228.5,323,103,142,96,"Chul_TotalIgG_2"
"RAC-001-T06",366.5,944,0,49,45,81,227.5,94.5,17812.5,148,"Chul_TotalIgG_2"
"RAC-001-T08",145,365.5,30.5,40.5,36,57.5,192,70,16260,125.5,"Chul_TotalIgG_2"
"RAM-005",22683.5,3688,133.5,1773,45,14211,2151.5,893,157.5,147.5,"Chul_TotalIgG_2"
"RAC-005-T01",13802,391,9.5,76,55,9235.5,473.5,183,170,210,"Chul_TotalIgG_2"
"RAC-005-T06",2449,146,18,20,20,1764,478,21.5,26651,66,"Chul_TotalIgG_2"
"RAC-005-T08",1755,263.5,29,33.5,20,1653,420,36,16327,118,"Chul_TotalIgG_2"
"RAM-006",9406,303.5,10148,37,42,16026,13330.5,81.5,5308.5,197,"Chul_TotalIgG_2"
"RAC-006-T01",321.5,47.5,238.5,69,15.5,629,466.5,21.5,195,31,"Chul_TotalIgG_2"
"RAC-006-T06",176.5,48,70,33,23,144,205,63.5,27373,72,"Chul_TotalIgG_2"
"RAC-006-T08",76,29,55,21,16,142.5,138,30,16788,40,"Chul_TotalIgG_2"
"HCAM-001",247,7.5,151,10,69,50,188,75,154,210,"Chul_TotalIgG_2"
"HCAM-001",177,10,171,19.5,56,44,125,54,123.5,167.5,"Chul_TotalIgG_2"
"RAM-012",16516.5,1044.5,45.5,6.5,50.5,79.5,7357.5,9.5,1237.5,118,"Chul_TotalIgG_2"
