Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE2	1	HC19-KC105	-335	-348.5	-398	-393	-386	-349	-382	-387	-296	218	-20.5	-389	-316	-383	-233	71.5	-188	35	-245	-32	385.5	122	483	267.5	-390	-157.5
PLATE2	1	HC19-KC106	35.5	-84.5	-105.5	-113	-29.5	-57.5	74	-140	192.5	83.5	68.5	295.5	-81.5	-135.5	-11.5	125	-7	14.5	-65.5	35.5	68.5	-28.5	201.5	168	-71.5	-75.5
PLATE2	1	HC19-KC107	-109	-195	-225	-218.5	-219.5	-186	-214	-247.5	-144	76	-35	-213	-194	-241	-26	55	1551.5	12.5	-162	3	30	-53.5	314	150	-196	-57
PLATE2	1	HC19-KC108	-66	-126	-201	-195	-172	-147.5	-172	-213	-99	65	23.5	-110	-134	-218	51	87.5	1926	-1	-117	34	86	-60.5	293	151	-170	22
PLATE2	1	HC19-KC109	-46.5	-146	-197	-211	-152	-97	-186	-217.5	167	124.5	53	-115	-166	-222	-31	120.5	330.5	72	38	27	72	-50	304	178	-155	-53.5
PLATE2	1	HC19-KC110	0	-50	-52.5	-55	-53	-8	-46	-82	17	47	41	-12	-29	-78	0	75	40	67	-22	7	-16	-21	146	122	-15	-18
PLATE2	1	HC19-KC111	-15.5	9	-91.5	-79	-94.5	-60.5	-97	-127.5	-12.5	34.5	34	74.5	-71.5	-130.5	18.5	743.5	139	160.5	-56.5	485	129	-26	199.5	131	-38.5	-64.5
PLATE2	1	HC19-KC112	1169	-118	-119	-122.5	-80	-87	-118	-159	-12.5	318.5	111	59	-102	-161	-62	100	86	-15	4	105	152	-48	226	262.5	29	-127
PLATE2	1	HC19-KC113	-174	-232	-231	-235	-202	-199	-212	-253	-3	149.5	78.5	-192	-202	-251	-91	134.5	91	-26	-149	28	752	-82	316	283	-145	-156.5
PLATE2	1	HC19-KC114	-86	-132	-171.5	-151	-135	-117	-138	-166	50	55	41.5	-142	-129	-171.5	2	121.5	5132	42	-75	-15.5	43	-69	249	152	-107.5	306
PLATE2	1	HC19-KC115	-409	-469	-472	-467.5	-459	-432	-444	-490	-369.5	131	64	-251.5	-424	-504	-195	75	338	-23	-341	49	1296	-203	573	272	-417	-214
PLATE2	1	HC19-KC116	-125.5	-250.5	-251	-188	-191	-130	-261	-284.5	488	169	118	-239	-221.5	-270	-116	75.5	51.5	959	-110.5	35.5	298	-94.5	361	232	-209.5	-51
PLATE2	1	HC19-KC117	-562	-589	-663	-373.5	-634.5	-612	-642	-654	-482.5	366	-65.5	-591	-621.5	-677	-580	86	-448	-328	-534.5	-155.5	712	-295	748	449	-573.5	-565
