Plate	Inplatecount	Sample	FcR3A_N	FcR3A_zebra	FcR3A_Eadp501	FcR3A_RBD wuhan	FcR3A_AMA1	FcR3A_MSP1	FcR3A_HRPII	FcR3A_FL spike	FcR3A_pp28	FcR3A_EBNA1	FcR3A_VCA	FcR3A_BSA	FcR3A_CelTos	FcR3A_CSP
PLATE1	1	MBL-131	307.5	51243.5	187	121	30283	92947	5023	34.5	10011.5	39731	29576	250	1902	7010.5
PLATE1	1	MBL-132	89	259	28.5	125.5	9001	57995	335	-16	6765	50875.5	23525.5	287	776	78.5
PLATE1	1	MBL-133	269	800	109	110	275	14423	192	20.5	5488	18530	11009	319	330	105
PLATE1	1	MBL-134	1237	3762	355.5	326.5	22115	38944.5	1054.5	40	1103	16124	22890.5	169	307	4017
PLATE1	1	MBL-135	187	188	66	453	11255	54632	823	57	22923.5	30739	22684	159	574.5	99
PLATE1	1	MBL-136	43	20451	9	42	169.5	45747	160	-25	19413	27993	23669	144	38	3654.5
PLATE1	1	MBL-137	72.5	7605.5	61.5	35.5	122.5	23951	153.5	20.5	6957	14642	9351	101.5	100.5	917
PLATE1	1	MBL-138	1014.5	48568.5	29.5	387.5	1165.5	25953.5	232.5	57.5	1104.5	34374.5	24687	243.5	685.5	112.5
PLATE1	1	MBL-139	84	51	21	19.5	25647	38723	5200	-2.5	17204	18	4705	185	289.5	1048.5
PLATE1	6	BACKGROUND0	64.5	71	56	51	64.5	52	152.5	32	62	-3	62	93	76	152
PLATE1	7	BACKGROUND0	-6	0.5	9.5	0.5	-3.5	9.5	37	-13.5	-11.5	-26	-18.5	99.5	34	85.5
PLATE1	8	BACKGROUND0	85.5	67.5	66.5	59	62	115.5	73.5	20.5	47.5	799	171.5	144.5	93.5	152.5
PLATE1	9	BACKGROUND0	62	57	30	36	114.5	504	83	34	23	4605	102	108	84.5	99.5
PLATE1	10	BACKGROUND0	14	7.5	22	18	21	13.5	57	5	-0.5	-6	11.5	104	72.5	90
PLATE1	11	BACKGROUND0	29.5	40.5	29	32.5	30.5	32	53	-4.5	7.5	-29.5	20	178.5	104.5	93
PLATE1	12	BACKGROUND0	37	27	26	15.5	68	86	65.5	8	41	404.5	251.5	97	78	136
PLATE1	13	BACKGROUND0	61.5	33	22	38	72	228	75	-3	31	348	337.5	141	52.5	111
PLATE1	14	BACKGROUND0	49	5	29	28.5	20	238.5	43	-4	25	122	92.5	148	70.5	97.5
PLATE1	15	BACKGROUND0	28	41	18.5	16.5	30	64.5	72	-17	18	15.5	35.5	133	77.5	99.5
PLATE1	16	BACKGROUND0	15	36	-7	14	-10	-8	33.5	-11	-2.5	2.5	2	101	85	103
PLATE1	1	MBL-151	244.5	-53.5	-65	821	140	21652	477	250	17054	25509	9846.5	255	10	-40.5
PLATE1	1	MBL-152	1675	14337	83.5	10894.5	18012	63218.5	35754.5	2107	6913.5	19541	19872	107	2461	1163.5
PLATE1	1	MBL-153	1756	11924	175.5	1020	15508	29121	15004.5	95	2351	11345.5	7976	111	2598	911
PLATE1	1	MBL-154	589.5	1581.5	312.5	1175.5	17820.5	59261.5	29527.5	62.5	19578	29390.5	12697	138.5	905.5	2407
PLATE1	1	MBL-156	4531.5	425	231.5	14823.5	9185	38041.5	21108.5	17868.5	12839	9884	4065	182.5	1358.5	12096.5
PLATE1	1	MBL-157	7211	80.5	35	17797	12837	34912	8722.5	17728.5	1456	2022	6895	117	474	887
PLATE1	1	MBL-158	78.5	4302.5	234.5	36.5	10460	18455.5	3780.5	32	153.5	15563	6335.5	74.5	145	133
PLATE1	1	MBL-159	15681.5	45	33.5	13065	2113.5	64876	376.5	2423	7739	22545	36876	138	568.5	514
PLATE1	1	MBL-160	9	16027	-10	22.5	4087	51260.5	329.5	-7	23146	23420	10646	153	165	36
PLATE1	1	MBL-161	13665	8509	3.5	16268	41096	99458	31158	3100	1944	47154.5	30245	151	209	210
PLATE1	1	MBL-162	16120	278	96.5	11673.5	524	23673	342.5	1454.5	9495	18014	7695	105	261	97
PLATE1	1	MBL-163	256	113	72.5	282	19532.5	55542.5	18893.5	13.5	4890.5	19943.5	7126.5	92.5	702.5	6852.5
PLATE1	1	BL763	82	7381	71	25.5	13535.5	23918	174.5	16	370	21351	14146	100	155	105.5
PLATE1	1	BL764	42.5	24160.5	22152.5	110.5	375.5	79088.5	1178	141	4573	66080.5	34327	188.5	337	245
PLATE1	1	BL765	126	89	68	68	920	32369	841	18.5	11463	26299	3079	81	526	307
PLATE1	1	BL766	3215	221	117	15191	35239.5	68431	5942	56.5	10116	52161	27024.5	257	4978	1988
PLATE1	1	BL767	1129	3008	944	64.5	10014	52074.5	49211	119	616.5	1569	44213	149	668	3665.5
PLATE1	1	BL768	1321	37600.5	438	432	31941	85260	19025	146.5	34086.5	36619	24000	121	2722	4973.5
PLATE1	1	BL769	444.5	3437	14	45	18963.5	41281	3055	19.5	5482	17149	23755.5	137	306	12038
PLATE1	1	BL770	29	44354	210	5160.5	33583	80021	9836	71	30593	113	23998	168	916	18795.5
PLATE1	1	MBL-059	-257	-418	-409	680	18736	36901	10441.5	890	4821	16978.5	8755	684	540.5	1049
PLATE1	1	MBL-108	49	17851	25	27	16122	56702.5	1363.5	30	4286	25701.5	17292.5	108	102	108.5
PLATE1	1	BL739	2792.5	12569.5	2391.5	593	12507	29871.5	6926	-12.5	4939.5	13506.5	9800.5	136.5	2380	2263
PLATE1	1	BL654	700	20831	516	214	21949	39269	20831	114	1851	5934	12714	141	1661	20294.5
PLATE1	1	BL671	4500	883.5	11.5	80	12260.5	40176.5	15175	54.5	9619.5	15350	4461	101	256	6228
PLATE1	1	BL683	804	846	526	461	11081	36885	3330	172	3480	14783	21116	129	12466.5	5705
PLATE1	1	BL701	6083	2862	714.5	158	29505	79321	39397.5	152	3373	23572	17387.5	138	1311	3643
PLATE1	1	EBV-MALE-NEG	144.5	95	81	109	283.5	43864	223	56	628.5	1122	264	110	6436.5	222
PLATE1	2	EBV-MALE-NEG	146.5	60.5	79	78	183	38519	184	85.5	462.5	14	209.5	115	5145.5	221
PLATE1	1	EBV-FEMALE-NEG	39	27	19	28	68	1465	69.5	14	15854.5	6	121	119	105	503
PLATE1	2	EBV-FEMALE-NEG	35.5	22	21	49.5	102.5	4434	95.5	25.5	20309	27.5	98.5	103.5	102.5	1078.5
