Plate	Inplatecount	Sample	FcR3A_N	FcR3A_zebra	FcR3A_Eadp501	FcR3A_RBD wuhan	FcR3A_AMA1	FcR3A_MSP1	FcR3A_HRPII	FcR3A_FL spike	FcR3A_pp28	FcR3A_EBNA1	FcR3A_VCA	FcR3A_BSA	FcR3A_CelTos	FcR3A_CSP
PLATE1	1	HC-088K	4517.5	15838.5	76.5	13987	23745	48368.5	10945	13931	5829	28092.5	22970	284	612	13452
PLATE1	1	HC-089K	4807.5	5144	285.5	7708	9548.5	53005	5464	2025	2823	31987	9724	303	626	211
PLATE1	1	HC-090K	143	80	55.5	4437.5	10900.5	67464.5	2067	1338	4449.5	31614	16941	197	189	82
PLATE1	1	HC-091K	253	4850	164	7097	7597.5	24681.5	4008	2861	564	11600	13033	238	732	196
PLATE1	1	HC-092K	1171	165	98	16476	11160	32279.5	1511	7589	1495	14361	10689	365	187	690
PLATE1	1	HC-093K	4412	8195.5	133	21079.5	20327	54808	13198	13098	4434	41811.5	10554	314	374	1296
PLATE1	1	HC-094K	3195	99	62	5523.5	7446	25466	3356	6070	1812.5	10943	3178	275	645	458.5
PLATE1	1	HC-095K	80	43.5	47	67	156	7470.5	103	15	77	1797	121.5	170	98.5	126.5
PLATE1	1	HC-096K	11906	663.5	540	6311.5	13342.5	55126.5	11167.5	11616.5	4035.5	23817.5	13998	166.5	681.5	3554.5
PLATE1	1	HC-097K	39145	251.5	78	30964	19394.5	80392.5	12196.5	20056.5	1342.5	35938.5	20273	162.5	915	14831.5
PLATE1	1	HC-098K	18883.5	763	99	12065	6524	26734	5149	13521	8589	11802.5	6427.5	171	1240	1789.5
PLATE1	1	HC-099K	13123	172.5	98	3209	376.5	19870	263.5	579	101.5	17086	1412.5	189	99	141.5
PLATE1	1	HC-100K	5224.5	752.5	354.5	7475.5	6388.5	18651.5	1777.5	3999.5	1651.5	11722	3658.5	289.5	285.5	1119.5
PLATE1	1	HC19-KC005	638	252	1547	96	7867	37480	3167	66	4750	1014	6043	264	291	459
PLATE1	1	HC19-KC006	465.5	4381	189	225.5	11040	37589	1442.5	42	9804	16709	11558	201	309.5	2190.5
PLATE1	1	HC19-KC007	124.5	3988	160	240	9330.5	27100	7469.5	42.5	116	12284	7539	238	135	2852.5
PLATE1	1	HC19-KC008	129	69	95	106	14324	55328	2587	48	168	19090	2376	284	175.5	146
PLATE1	1	HC19-KC012	188.5	83.5	89.5	338.5	8124	22666.5	7006	20.5	5577.5	8636.5	5491	644	228.5	290
PLATE1	1	HC19-KC015	6426	2885	3957	1530.5	20298	23846	24200.5	713	13173.5	11823	9834	434	3098	10515
PLATE1	1	HC19-KC016	1518	360	186	306	11612	23079	14025	42	1586.5	11349.5	4356	186	2063.5	2450
PLATE1	1	HC19-KC017	3587	1065	1225	1732.5	8645	22588	3134	232	3413.5	7903	4913	300	5851	4449.5
PLATE1	1	HC19-KC019	174	90	92.5	72.5	11847.5	32676.5	3772.5	46.5	141.5	4549.5	513	275.5	39.5	200
PLATE1	1	HC19-KC021	5722	541	795	247	23026	40973.5	4862.5	98	7802	17548.5	3463	228	362	12224
PLATE1	1	HC19-KC022	1626	3492.5	2443	789.5	7214	21137	14240.5	122	5642	8070	6318	177	1345.5	10010
PLATE1	1	HC19-KC024	88	699	310.5	1159.5	12821	33301.5	12005.5	20	10688	1081.5	869.5	243.5	925.5	4438
PLATE1	1	HC19-KC025	1246	1640	1889	490.5	6354	22861	17692.5	200.5	3950.5	8730.5	4652	164	2133	1090
PLATE1	1	HC19-KC026	3734	771.5	182	895	6882	22811	24545	129	3405	8544.5	7677	192	1987	8030
PLATE1	1	HC19-KC027	98	185	137.5	53	4178	17026.5	12655	33	448	10602	5699.5	100	283.5	2082.5
PLATE1	1	HC19-KC028	2656	760	527	4554	33560.5	81106	3062	296	557	40270	12846	190	3194.5	10782
PLATE1	1	HC19-KC029	613	13101	194	154	7092	19917	4258	0.5	2789	12855	5579.5	165	1083.5	5599.5
PLATE1	1	HC19-KC030	560	710	399.5	461.5	24265	70680.5	5525.5	18	3052.5	26010.5	17007.5	175.5	1380.5	6444.5
PLATE1	1	HC19-KC033	118	213	78.5	20	7017	31498	4181	-9	5015	14380	4015	176	260.5	516
PLATE1	1	HC19-KC035	206	660.5	125.5	99	24613	87368.5	13599	5	18475	51358.5	16078	215	592	919.5
PLATE1	1	HC19-KC036	17348	10290	1099	170	14657	39118.5	8450	86	2393	17668	3827	269	1668	14138
PLATE1	1	HC19-KC038	25282	14696	2578	538	38073	106989	40948	122	12900	44508	31911	242	413.5	4959
PLATE1	1	HC19-KC039	7297	1631	475	467	8689	25057	2992.5	232	952	9163	4334	216	971.5	1531
PLATE1	1	HC19-KC040	275	278	1804.5	257.5	8027	54723	1929.5	336	5862.5	20504.5	20904	250	1481.5	870
PLATE1	1	HC19-KC041	4247.5	1652	1847	243	21463	39034	6931	37	3979	20071	15112.5	216	3960	1394
PLATE1	1	HC19-KC047	349	352.5	218.5	351.5	19690.5	51946.5	11298.5	-21.5	1408.5	18766	14941	265.5	9013	2317.5
PLATE1	1	HC19-KC048	193	6284	142.5	221.5	14324	45149.5	8617	267	9154	11852.5	5511	171	2533.5	6700.5
PLATE1	1	HC19-KC049	3041.5	17770.5	2954.5	1557.5	24993.5	21365	58276.5	335	6655.5	11118.5	18272.5	462.5	1808.5	25381
PLATE1	1	HC19-KC050	11307	1127.5	619.5	7041	6419.5	10122.5	14873.5	713.5	4003.5	3941.5	4645.5	142.5	841.5	3715.5
PLATE1	1	HC19-KC051	498.5	652.5	126.5	798.5	16828	37491.5	17239	483.5	3996.5	15980	10711.5	150	88.5	11365
PLATE1	1	HC19-KC057	64.5	208.5	142.5	184.5	10255	9895.5	29943.5	9.5	3831.5	7875	6781	110.5	2027.5	516.5
PLATE1	1	HC19-KC058	2567.5	16205.5	5065	2088	10077	12880	19834.5	-58	7572	10570	7294	738	1337	11633.5
PLATE1	1	HC19-KC059	6469	15984	1130	255	9709.5	17679	17417	78	2245	8610	3631.5	394	781.5	7767.5
PLATE1	1	HC19-KC060	12	987	8455	318	14390	34965	18752	270.5	1838	9531	12156	440	660	10049
PLATE1	1	HC19-KC063	2740.5	3622	858	206	9713	22248	11614	62.5	4013	4585.5	9384	287	4026	9528
PLATE1	1	HC19-KC064	2616	17219	4117	449	19455	23746	24750	99	8679.5	11149	11795	261	2651.5	2886
PLATE1	1	HC19-KC065	1832	490	213	394.5	11436	24538.5	20476.5	70	775	11947.5	4922	335	2442	6161
PLATE1	1	HC19-KC066	274	5823	178	357	14912.5	21187	28855	248	5123	14556	9876	218	326	8059
PLATE1	1	HC19-KC067	1902	11101.5	109.5	65.5	9600.5	31948	800	24	4228.5	12356.5	6353.5	205.5	642.5	4177
PLATE1	1	HC19-KC068	306	247	94.5	836.5	12557	45933.5	2269	25	802	25635.5	9236.5	220	119	316
PLATE1	1	HC19-KC069	417	436	340	210	6828.5	37690.5	6017	1297	960.5	12513.5	5162	168	680	5116
PLATE1	1	HC19-KC070	1190	4749.5	1516.5	434	22731	37061.5	21122.5	357.5	2317.5	11181	9491.5	351.5	1659.5	6371.5
PLATE1	1	HC19-KC071	586.5	6624	446	500	13698	27217	7565	70	1160	11047	8782	167	728	6277
PLATE1	1	HC19-KC072	869.5	125.5	46.5	211	10170.5	45278	6004.5	70	13140.5	12709.5	12221.5	133.5	187.5	1263.5
PLATE1	1	HC19-KC073	594	6787	472.5	210	6731	23155.5	12557.5	122.5	3643.5	9458.5	5533.5	120.5	3908	2772.5
PLATE1	1	HC19-KC074	886.5	1888	2151.5	1331	15084	45603	2795	58	10187.5	20273	11476	128	1134.5	8166
PLATE1	1	HC19-KC075	74	24	41	115.5	3185	22087.5	205.5	13.5	416	8558	2353	322	304	615
PLATE1	1	HC19-KC076	183	250	100	110	14555	37617	8870	-10	7601	12548	8558	173	351.5	7209.5
PLATE1	1	HC19-KC077	6425	1262	886	3955.5	21984.5	52004	27792.5	1010	21699	15179.5	15217	208	1736	28808
PLATE1	1	HC19-KC078	293	256	217.5	690.5	13058	22687	10249.5	57.5	3768.5	7987	8638.5	201.5	990.5	5173.5
PLATE1	1	HC19-KC081	528	3083	741	305	11316	35465	2491	155	5892	12520	7359.5	203	2400.5	11500.5
PLATE1	1	HC19-KC082	3688.5	1922	5439.5	288.5	17399.5	35153.5	1781.5	39.5	384.5	19499	18380.5	194.5	335.5	2190.5
PLATE1	1	HC19-KC083	202	11116	514.5	155.5	28927.5	91009	7048.5	-19	2079.5	47411.5	4496	419.5	475.5	27626.5
PLATE1	1	HC19-KC084	13965	455	661	1861.5	49641	91652	22645	231.5	17716	46549	22838.5	335	10445	13173.5
PLATE1	1	HC19-KC086	2828	231	534.5	2003.5	18221	44258.5	10137	109	5817	17239.5	9636.5	332	4410	11494.5
PLATE1	1	HC19-KC087	1792	1230.5	640.5	713	12105	30799.5	15651	468.5	4859.5	12906	4558.5	350	1122	12017.5
PLATE1	1	HC19-KC088	129.5	124.5	71.5	141.5	33202	37400.5	2288	57.5	99	9069	497	184	173.5	355
PLATE1	1	HC19-KC089	1486	7140	608	709	7358	15588	8075	622	3304	6428	2908	215	4619	7321.5
PLATE1	1	HC19-KC090	1147.5	1798	468	126	1406	77224	4812	24.5	21976.5	34984	27385	159	288.5	162.5
PLATE1	1	HC19-KC091	6284	11.5	-73.5	2438.5	19368.5	49080.5	9284.5	-249	7005.5	27241.5	8697.5	644.5	1527.5	7910.5
PLATE1	1	HC19-KC092	3203.5	435.5	196.5	173.5	15303.5	40491	16997.5	134.5	7921.5	11609.5	14007	185.5	15425.5	7583.5
PLATE1	1	HC19-KC093	85	3526.5	74	62	16229	63825	4323.5	36	2699.5	26023.5	18915	94	335	5404
PLATE1	1	HC19-KC094	1071	1276	1941	833	8205	27547.5	12094	339.5	7499	9133	4409	190	1704	5768.5
PLATE1	1	HC19-KC095	5745	2269.5	316	82.5	10580	17235.5	15548	7.5	3524.5	5206.5	9277	187.5	405	857
PLATE1	1	HC19-KC096	812.5	3086.5	700.5	112.5	14021.5	26974	13212.5	303.5	1362.5	11766.5	6011	227.5	678	4411.5
PLATE1	1	HC19-KC097	341.5	481.5	687	3284	15064	60569.5	32820.5	85.5	3616.5	15241.5	13418.5	108.5	7232.5	2047
PLATE1	1	HC19-NM031	360	46	31	49.5	1204.5	41331	407.5	19.5	740	21101	4896	156	1923.5	180.5
PLATE1	1	HC19-NM032	77.5	17	2	-35	1732.5	29154	209	-35	943	25686	6573	329	-12	40
PLATE1	1	HC19-NM033	107	73.5	98	67.5	3006.5	22355	380.5	-24	66	2490	643.5	305	69	131
PLATE1	1	HC19-NM034	147.5	192.5	53.5	339.5	8546.5	24325	708	41.5	5329.5	13779.5	13226	275	120.5	224
PLATE1	1	HC19-NM035	138	-6	33.5	67	8059.5	16635	724	-14	32	10182	2980	252	63	72
PLATE1	1	HC19-NM036	124.5	54	39.5	102	2236.5	25564	244	-6	895.5	13732.5	10161	245	146	413.5
PLATE1	1	HC19-NM037	108	122	388	1616	1565	37717	709.5	41	9376.5	25177	11059.5	176	112	168
PLATE1	1	HC19-NM038	11522.5	63.5	42.5	46	195	37755	730	3	1321	19065	9411	149	154.5	117
PLATE1	1	HC19-NM039	341.5	15	63	88	8011	30184	2275	0	117	8581	3812	486	27	38.5
PLATE1	1	HC19-NM040	141.5	8292	86	54	896	44881	508	24	245.5	19391	11305	166	210.5	111
PLATE1	1	HC19-NM041	67	37	25	9144	3194.5	31944	305	9.5	530	1477.5	149.5	164	431	80.5
PLATE1	1	HC19-NM042	152.5	1606	81.5	95	323	23126	234	31	829	12536	12401	276	270	85
PLATE1	1	HC19-NM043	35	3517.5	7	18	3885	13554	138	-30	3288	10878	7801	243	52.5	52.5
PLATE1	1	HC19-NM044	179	3600	33	75	8839.5	71156	1932	34.5	31129.5	47138	32042.5	111	352	146
PLATE1	1	HC19-NM045	342.5	596.5	445	57.5	386.5	45114.5	314.5	55	35.5	18517.5	21553	183.5	285	144.5
PLATE1	1	HC19-NM046	1729	29109.5	84	72	2745	45026	483	99.5	1060	46487	33137	180	286	280
PLATE1	1	HC19-NM047	84.5	3481	28	72	421	33374	155	20	20892	28445.5	15951.5	171	173.5	125
PLATE1	1	HC19-NM048	370.5	216	183	126	289.5	67685	860	60.5	11144.5	49566	5034	159	276	119.5
PLATE1	1	HC19-NM049	70.5	37	81.5	103	567	31547	170	-36.5	6955	20148.5	4959	264	61	191
PLATE1	1	HC19-NM050	2512	3411	1801	195	2165	63244.5	4229	43	3590	53512	11104	252	295.5	478.5
PLATE1	1	HC19-NM051	11999	2046	131.5	769	5737.5	13086	8693.5	177	706	7566.5	3422	224	4159	4671
PLATE1	1	HC19-NM052	510	1136	422	245	15523	52075	29939.5	131	3293	15854	10712	183	5955	3037
PLATE1	1	HC19-NM053	1018	259	296	465	22256	75837	18696	147	7222	24287	12327	199	4727	1757
PLATE1	1	HC19-NM054	195	697.5	65	184.5	892.5	66414.5	864	31.5	21368.5	37125.5	21413.5	219.5	292.5	157.5
PLATE1	1	HC19-NM055	230.5	53.5	66	1170.5	3781	39184	623	32.5	3730	21498.5	15467.5	294.5	483.5	201.5
PLATE1	1	HC19-NM056	-3564.5	-699	-3774	3547	-2287	59579	-3526	3037	25976	34842	22838	4249	370.5	-1827.5
PLATE1	1	HC-201K	379.5	10.5	65.5	39131.5	1412.5	51009	265.5	16973	25576	619	379.5	233.5	150	99.5
PLATE1	1	HC-202K	17971.5	52406.5	-27	29449.5	1376.5	41305	378.5	16659.5	35154.5	31446.5	38726	421.5	1406	606
PLATE1	1	HC-203K	108	28	12	23.5	338	37813	178	3	4818	29700.5	22216	148	133.5	118
PLATE1	1	HC-204K	20389	9414.5	27.5	10525	352.5	10579	162.5	4200	194	9152	6441.5	195	105	104
PLATE1	1	HC-205K	5334.5	73.5	-40	8080.5	350.5	18439.5	40.5	5028.5	15997.5	14793.5	10478.5	227.5	273	161.5
PLATE1	1	HC-206K	136	14043	3	954.5	118.5	43480.5	247	294.5	16735.5	34478	12245	208	98	87
PLATE1	1	HC-207K	53.5	44.5	60	109	166	37410	5508	33	6758	109	120.5	175	166	85
PLATE1	1	HC-208K	1197.5	59.5	55	20824	954	31298	366.5	11562	5119	21463	10831	216	780	95
PLATE1	1	HC-209K	1462	29745	36.5	1645	194.5	23458	147	2893	6252	20218	9521	206	85	91
PLATE1	1	HC-210K	1809.5	177.5	58.5	513	100	20612.5	171.5	2465.5	9957.5	23875.5	19871	176.5	132.5	117
PLATE1	1	HC-211K	14071	166	44	13130	164	21367.5	227	7023.5	5739	12345	14106.5	163	137	43
PLATE1	1	HC-212K	48397.5	502.5	4.5	20854	794.5	22360.5	121	22543	4997.5	13251.5	13137.5	231.5	550	395.5
PLATE1	1	HC-213K	260	144	26	5498	346.5	23290	174	3292	573	18749	9957	123	307.5	146.5
PLATE1	1	HC-214K	18021	53.5	38.5	25620	124	34737	233	17085.5	4954	22323	13163.5	155	123	100
PLATE1	1	HC-215K	206	9148	31.5	19899.5	209.5	53365	463	10766.5	472.5	21634	12677.5	136.5	8429	190.5
PLATE1	1	HC-216K	934	92	67.5	15869	656	20927.5	211	7654	168	13220	4845	158	103.5	75
PLATE1	1	HC-217K	31656.5	5286	33	16379	100.5	16014	136	7715.5	5787	13903	7768	143	99.5	108
PLATE1	1	HC-218K	3683	79	114	5471	252.5	15093	128.5	2738	2251	15528	7829.5	332	182.5	199
PLATE1	1	HC-219K	16544.5	318	5.5	14744.5	201	24360.5	162.5	1697	3998.5	19921.5	9278	217	35	40
PLATE1	1	HC-220K	542	57	51.5	82.5	336	14126	99	143	47	5580.5	654	179	92	134.5
PLATE1	1	HC-221K	13735.5	49	58	14103.5	121	44022	228.5	4606	2300	30855	7646	294	48.5	84
PLATE1	1	HC-222K	156.5	-6.5	20	6	22.5	191	66.5	7	14.5	68	50	170	62.5	32
PLATE1	1	HC-223K	235.5	55.5	55.5	52	56.5	158.5	102.5	41.5	58.5	132.5	76	133.5	79.5	148.5
PLATE1	1	HC-224K	79521	42	24.5	52844	309.5	62086.5	240.5	30366.5	54	40156.5	35615	212.5	821.5	85
PLATE1	1	HC-225K	214.5	1318	38	451	184	32501	343	36	1174	21159	15568	360	87	191.5
PLATE1	1	HC-226K	25425	9489.5	-76	37097.5	69	58674	83	20462	21306	26863	45119	407	923	407.5
