Plate	Inplatecount	Sample	IgG1_RBD alpha	IgG1_N	IgG1_RBD beta	IgG1_RBD omicron	IgG1_RBD lambda	IgG1_RBD gamma	IgG1_zebra	IgG1_Eadp501	IgG1_RBD delta	IgG1_RBD wuhan	IgG1_AMA1	IgG1_MSP1	IgG1_HRPII	IgG1_Tetanus	IgG1_HCoV-229E	IgG1_HCoV-NL63	IgG1_HCoV-OC43	IgG1_pp28	IgG1_pp65	IgG1_EBNA1	IgG1_VCA	IgG1_FL spike	IgG1_BSA	IgG1_CelTos	IgG1_CSP	IgG1_HCoV-HKU1
PLATE2	1	BACKGROUND0	50.5	16.5	33.5	24.5	30	60.5	58.5	13.5	64.5	25.5	154.5	100.5	80.5	170.5	156.5	135.5	262.5	63.5	41	143.5	258	48.5	56.5	81.5	118	82.5
PLATE2	1	AF-MIX-S1	112.5	1048.5	-123.5	-186	-84.5	178.5	5844.5	-81.5	168.5	6	76420.5	48018.5	1976.5	46190	36593.5	25579.5	80510.5	12495.5	212	73873	50280.5	203.5	332.5	313.5	4409.5	47881.5
PLATE2	1	AF-MIX-S2	73	331	18.5	-40	-13	129	2021	22.5	99	170	39096.5	24552	1556	30619	20588	14433.5	57925	4854	174.5	55320	49413.5	211	160	226.5	1429	21410
PLATE2	1	AF-MIX-S3	-20	80	-23	-68.5	-50	18.5	462	-24	32	54	13127.5	7066.5	464	11638.5	7089	3791	19204.5	1443	22	18153.5	30492.5	65	172	69	733.5	4953
PLATE2	1	AF-MIX-S4	32	75	12	-15	-6	59	440	23	75	54.5	4764	2710.5	342	4882	2733	1773	7682.5	514.5	74.5	5747.5	12209.5	89	111	85	470	1781.5
PLATE2	1	AF-MIX-S5	10	61.5	14	-7	10	51	314	12	41.5	36	3114.5	2282	249	3637.5	2064	1212.5	4312	379	60	3184	6221.5	64.5	96	85	273.5	1423
PLATE2	1	AF-MIX-S6	38.5	36.5	26	13	27	50	158.5	2.5	54	46	1378	895	131	1630	988	617.5	2034	220	53	1432	2863	55	72	96	169	600
PLATE2	1	AF-MIX-S7	24	17.5	13	12	20	40	96	8	40	12.5	765	484	98	929	545.5	375	1204.5	136	24	787	1332.5	47.5	74	71	117	341.5
PLATE2	2	BACKGROUND0	41.5	26.5	49	43.5	48.5	59.5	58.5	22.5	79.5	21.5	245.5	160.5	77	275.5	250.5	174.5	403.5	93.5	49.5	234.5	382.5	59.5	53.5	103.5	141.5	120.5
PLATE2	2	AF-MIX-S1	38	195.5	-40	-84	-69	39	2383.5	-34.5	79	70	38152	29606.5	935	19278	18456	14364.5	42654	8034.5	55	33651	27196	202.5	190	192.5	2065	25836
PLATE2	2	AF-MIX-S2	34	131	-24	-74	-39.5	50.5	1670	-28.5	43.5	66.5	30447.5	24655	929.5	23147	21090	13125	45837	3176	108	34960	37657	147.5	183	108	1073.5	18234
PLATE2	2	AF-MIX-S3	29	261	-12	-87	-51	72.5	1443	3	80	69	28256	12214	1060	20807	14822	8243	34391.5	2274	108.5	28371	55573.5	152	192	141	1008	11388
PLATE2	2	AF-MIX-S4	19	66	33	-7.5	4.5	51	361	27	98	76	5121	2843	302	5190.5	3291	1696	7308	561	43	6068	12685	68	107	86	435	2095
PLATE2	2	AF-MIX-S5	25	38.5	10.5	6.5	1.5	60.5	222	17.5	59.5	34.5	2353	1509	200.5	2845.5	1537	931	3594.5	320.5	47.5	2547.5	5209	56	83.5	76.5	229	1091
PLATE2	2	AF-MIX-S6	48.5	42.5	37.5	34	39	67.5	199.5	31.5	70.5	45.5	1600.5	1110.5	161.5	1817.5	1151.5	703	2488.5	251.5	55.5	1840	3479.5	75.5	61.5	114.5	206.5	790.5
PLATE2	2	AF-MIX-S7	41	39	30	32	39	59	116.5	29.5	54.5	39	763.5	519	125	959	552.5	367	1197	158	69	834	1483.5	59	52	99.5	135	385
PLATE2	3	BACKGROUND0	139.5	26.5	80.5	26	117	116.5	52	19.5	179.5	83.5	141	47.5	77	121	99.5	106.5	178.5	53.5	16.5	66.5	64	75.5	53.5	78.5	91.5	33.5
PLATE2	1	POST-VACC-S1	88628	28441	92627	16924.5	84584	75329	1937	474.5	104131.5	70770.5	-141.5	9903.5	347	57940.5	35479	26659	111649.5	462	960	80768	90353.5	43202	487	208.5	30	57849
PLATE2	1	POST-VACC-S2	56488.5	7258	39648	4852.5	45429	37386	468.5	168.5	66702	41453	78	2311	178	32336	7065.5	7091	36277	171.5	222	35432	26966	18991	157	101.5	126	9188
PLATE2	1	POST-VACC-S3	13281	1428	8197.5	772	11397	10279.5	92	5	18683	11737	41	463	65.5	7845	1527.5	1299	9475	54	33	7079	4726	4527	134	45	102	1534
PLATE2	1	POST-VACC-S4	6053.5	437.5	2425.5	181.5	3793.5	3348.5	79.5	29	6940.5	2704	51.5	174.5	77	2454.5	474	458.5	3283.5	74	47.5	1918.5	1151	1258.5	72.5	69.5	114.5	530.5
PLATE2	1	POST-VACC-S5	1450	151	609	75.5	851	761	65	37	1469	704	69.5	84	75	655.5	187	184	838	84	50.5	471	310	347.5	43	83	97.5	134
PLATE2	1	POST-VACC-S6	332	59	166	70	162	192	51	19	385.5	176	63	77.5	75.5	176.5	83	97.5	269.5	65	51	124.5	137	107	50	102	100.5	53
PLATE2	1	POST-VACC-S7	173	42.5	99	50	102	128	41	22.5	221	79	63	89	65.5	73	79	91	160	52	44	61	53.5	54	48	101	99	31
PLATE2	4	BACKGROUND0	619	85	369.5	58	389	376.5	55.5	21	718	346	56	67	63	331	113	129	379	69.5	53	213.5	168	207	52	60.5	103	73
