Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE1	1	BACKGROUND0	9	4.5	15	23	27	39	27	-3	31	35	27	9.5	51	0	46	81.5	33	12	22	1	4	19	64	110	18	2
PLATE1	1	AF-MIX-S1	-383.5	-328.5	-522	-521.5	-512.5	-469.5	-533.5	-553.5	-375.5	149	86	-494.5	-511	-542.5	50.5	164.5	225	27.5	-247.5	135.5	236.5	-150.5	666.5	143.5	-416.5	-12.5
PLATE1	1	AF-MIX-S2	-218	-193.5	-298.5	-307	-292.5	-250.5	-286.5	-291.5	-222.5	94.5	51.5	-265.5	-255.5	-303.5	83.5	125.5	213.5	73.5	-100	69.5	162.5	-93.5	398.5	103.5	-233.5	22.5
PLATE1	1	AF-MIX-S3	-89	-59.5	-117	-117.5	-119	-68.5	-99.5	-119	-73.5	36.5	27	-114	-81.5	-136	63	87	106.5	32	-16.5	0	67	-62	215	118	-54.5	13
PLATE1	1	AF-MIX-S4	-6.5	-9	-22.5	-6	-11	10	-4.5	-20	5	-2	17	-18	20	-32	43	78	39	9	2.5	-13	-3	-10	100	82	-4	-3.5
PLATE1	1	AF-MIX-S5	-11	-16	-10.5	-10.5	4	32	12.5	-12	14	12.5	21.5	-11.5	26	-15	37	60	36.5	-1	6	-9	4	-9	86	97	-2	-6
PLATE1	1	AF-MIX-S6	-4	-2	-7	22.5	6	20	22	-14	22	-9.5	19	6	46	-8	37	65.5	34	2	23.5	-6	-2	-5	76	93	-3	-1
PLATE1	1	AF-MIX-S7	11	1	13	17.5	13	37	19	-4.5	22	15	34.5	9.5	37	1	54	77	33	7	14	-9	-3	1.5	69	86	23	-13
PLATE1	2	BACKGROUND0	12.5	6	9	18.5	14	29.5	19	-13	24	19.5	31	-3	49	-9	29	74.5	24.5	0	16	-7.5	-15	-6	74	106	16.5	0
PLATE1	2	AF-MIX-S1	-301	-277	-431	-415	-406.5	-376	-409	-421	-304	77	70	-379	-380	-423	42	111	231	56	-208	58.5	261	-106.5	527	103	-317	-17
PLATE1	2	AF-MIX-S2	-246	-220	-323	-335	-313	-278	-324	-338.5	-263.5	46	28.5	-296	-291	-332	41	88.5	158	13	-131	77	122	-145	426	71	-238	-9
PLATE1	2	AF-MIX-S3	-90	-85.5	-119	-132.5	-121	-87	-120.5	-131	-89	14	27.5	-98	-86	-129	74	73.5	100	44	-21	8	62	-54	213	94	-85	11
PLATE1	2	AF-MIX-S4	-3.5	2.5	-11.5	-4.5	-1	22.5	1.5	-3.5	20.5	26	33	-8	26	-19.5	50.5	85.5	60.5	26	16.5	4	17.5	-10.5	88.5	114.5	12.5	19
PLATE1	2	AF-MIX-S5	9.5	11	3.5	8.5	2.5	32	19	1	22.5	21	29	10	40	-20	45	80	46	8	13	-2	-3	-9	73	90	10	1
PLATE1	2	AF-MIX-S6	11	14	16.5	6	27	37	37.5	-0.5	42.5	22	25	10.5	51	4	56	82	52	17	27	14	7	8	64	126.5	27.5	8
PLATE1	2	AF-MIX-S7	17	14	6.5	14	7	38	26	4	19	20	34	18	53	4	40	81	37	16	15.5	5	-9	5.5	64	97	22	5
PLATE1	3	BACKGROUND0	3.5	-10.5	8.5	12.5	15.5	42	33.5	-16.5	39	4.5	18.5	-5	37.5	1.5	29.5	77.5	34.5	11.5	-0.5	-4.5	0.5	10.5	76.5	97.5	11	-18
PLATE1	1	POST-VACC-S1	-710	-860.5	-749	-872.5	-735	-712	-861.5	-922.5	-724.5	-13.5	207	-878.5	-864.5	-923.5	-390.5	375.5	11.5	85.5	-397.5	-187.5	73	-199	1031.5	301.5	-649.5	-358.5
PLATE1	1	POST-VACC-S2	-85.5	-234.5	-177.5	-258	-152.5	-125.5	-248.5	-274.5	-57.5	72	52	-267.5	-228	-284.5	-38	165	195.5	24.5	-129.5	-14	16	-74.5	361.5	120.5	-165.5	-86.5
PLATE1	1	POST-VACC-S3	39	-4	-1.5	-20.5	7	40	-1	-10	49	37	32	-10	27	-24	39	69	63	27	8.5	0	-5	9	87	94	7	-7
PLATE1	1	POST-VACC-S4	22	2	13	19.5	34	39	29	-2	47	20	41	0	47.5	-7	43	75	33	29	18	-5	-4.5	0	65	103	25	11.5
PLATE1	1	POST-VACC-S5	2	-7.5	7	12.5	15	29	23	-9	20.5	2	22.5	9	45	-16	30.5	79	27	15	9	-10	-14	-5.5	76	77	14	-14
PLATE1	1	POST-VACC-S6	6	8.5	19	25.5	16.5	42.5	33.5	-4	22.5	14.5	45.5	-5.5	31	-13.5	29.5	57.5	31.5	12	13.5	-19.5	-10	-8.5	74.5	94.5	0.5	-15.5
PLATE1	1	POST-VACC-S7	8.5	-13.5	1	9	-5	21.5	13.5	-21	27	3.5	1	-3.5	25	-18	26	66	20	-1	-4	-16.5	-16	-13	83	96	3	-9
PLATE1	4	BACKGROUND0	15	5	-5	8	13	35	20	-2.5	28	19	48	3.5	45	-12	41	69	26	4	12.5	-6	-5	-4	74	91	21	6.5
PLATE1	2	POST-VACC-S1	-655	-810	-673.5	-858	-666	-649	-840	-893	-668	108	278	-832	-839.5	-898.5	-313	530	312	223.5	-381	-151	93	-183	1005	350	-594	-208.5
PLATE1	2	POST-VACC-S2	-77	-206.5	-126.5	-228.5	-118.5	-98	-210.5	-239	-8	101.5	69.5	-232.5	-189.5	-249.5	-6.5	243.5	204	40	-102.5	-9.5	14.5	-65.5	326.5	107.5	-113.5	-57.5
PLATE1	2	POST-VACC-S3	28	-3	14	-7	18	53	13	-19.5	67	40	27.5	-22	23	-15.5	43.5	85	62.5	28.5	16	15.5	-6.5	0	85	111	11	15
PLATE1	2	POST-VACC-S4	12	-16	6	27	8	38	15	-12	22	13	20	-7.5	44	-16	29	54	28	-5	1	-13	-12	5	77	83	9	-11.5
PLATE1	2	POST-VACC-S5	3	6	15.5	7	9	42.5	32	-3.5	35	12	22	3	40.5	-8	43	61	33	10	14	-10	-13	0	68	89	18	-8
PLATE1	2	POST-VACC-S6	6	7	0	-3	15	34	19	-10.5	19	21.5	21	1.5	38	-8.5	58	68	37	13	6	-11	-24.5	-4	70	89	13	-1
PLATE1	2	POST-VACC-S7	16.5	17	24	22	16	41.5	33.5	-2.5	21.5	31	39	4	48	-2	44.5	77	34	8	22.5	6	-5	-1	60	101	12.5	2
PLATE1	5	BACKGROUND0	16	-5.5	21	16.5	9	38	20	-5	37	11	28	9	37.5	-15	39.5	76.5	35	10.5	16.5	4	-1	-7	83	89.5	0	9.5
PLATE1	1	HCAM-002-S1	-825	-828	-819.5	-838	-817	-782	-823.5	-863.5	-783	-105.5	211	-757	-804.5	-860.5	-108	268	-35	774.5	-55.5	-51.5	603	-110.5	954	97	-602	-189
PLATE1	1	HCAM-002-S2	-117.5	-120.5	-145	-141.5	-111.5	-100.5	-130	-155.5	-97	36.5	37	-122.5	-104.5	-154.5	18.5	96.5	49.5	61.5	-22	-16.5	13.5	-36	231.5	119.5	-81	-30.5
PLATE1	1	HCAM-002-S3	0	7	0.5	2.5	-6	19	10.5	-22.5	17.5	32	34	-16	25.5	-22	54	87	49	28.5	14	15	7	9	87	111	19.5	-6.5
PLATE1	1	HCAM-002-S4	29.5	12.5	19.5	24.5	18.5	52.5	31.5	8.5	40.5	20.5	39.5	14.5	54	-10	48	85.5	40.5	23.5	23.5	15	-7.5	7	64.5	110.5	28.5	3.5
PLATE1	1	HCAM-002-S5	7	7.5	-0.5	15.5	11.5	32.5	17.5	-8	22	7.5	10	2	45	-2	38	66.5	41	10	22	-11	-8	-15	73	104	15	-5
PLATE1	1	HCAM-002-S6	13.5	-4.5	6.5	17.5	24.5	40.5	18.5	1.5	23.5	24	32	-0.5	48.5	2.5	50.5	77.5	42	14	14.5	3.5	-3	-2.5	62.5	102.5	20.5	-2.5
PLATE1	1	HCAM-002-S7	20	16	32	26	43.5	55.5	28	2	39	21	34	25.5	54.5	-6	50	80	36	9	35	29	6	11	64	127	19.5	5
PLATE1	6	BACKGROUND0	-1.5	-8	-6.5	18.5	-5	39	14.5	-13	20.5	6	15	-11	31	-17	29	79	29	7	6	-8	-13	-5	81	99.5	18	-18
PLATE1	2	HCAM-002-S1	-831	-822	-831	-829	-814.5	-800	-830	-872.5	-807	-82	232.5	-750	-821	-888.5	-115.5	271.5	10.5	865	-34	-20	316	-160	962	272	-571	-174.5
PLATE1	2	HCAM-002-S2	-121	-118	-122.5	-117.5	-121	-91	-108	-138.5	-102	38	30.5	-114	-84	-138	42	76	44	71.5	-30	-24	7	-25.5	217	93.5	-73	-37
PLATE1	2	HCAM-002-S3	5.5	6	-5.5	2.5	9	13	13	-13	33	14.5	35	-10	23.5	-25	38.5	75	27	8	10	10	-7	0.5	81	97	23.5	4
PLATE1	2	HCAM-002-S4	15	8	7.5	16.5	16	43	22	-5	46	11	23	9.5	51.5	-7	43	75	32	13.5	17	-8	-5	-3	67	110	18.5	5
PLATE1	2	HCAM-002-S5	26.5	8.5	22.5	25	30.5	49	38	12.5	43.5	23.5	41	19	61.5	3.5	50.5	77	42.5	25.5	20.5	5.5	-3	13.5	56.5	125.5	30	13.5
PLATE1	2	HCAM-002-S6	7.5	5.5	11	17	17	32.5	31.5	-1	41	15.5	28	14	58	-6	49	75.5	38	8	19.5	-0.5	-9	0	64	93	22	6
PLATE1	2	HCAM-002-S7	5	2	13	6	6	33	12.5	-2	29	17	18.5	-1.5	41.5	2	26.5	63	31.5	11	13	-10	-14	-1	71	88	10	-12
PLATE1	1	HC-001K	106	-227.5	-251.5	51.5	-160	-152.5	-258	-155	-78.5	168.5	34.5	-244.5	-218.5	-265	-132.5	54.5	491	-52.5	-208.5	32	339.5	-104.5	373.5	253.5	-256	-149
PLATE1	1	HC-002K	-664	-1678	-1660	-1729.5	-1667	-1644.5	-1668	-1755.5	-1449	788	-15	-1618	-1694	-1759	-1081	72	1459	-672	-1398.5	-317	1178	-595	1887	657	-1710	-755.5
PLATE1	1	HC-003K	-130.5	-307.5	-377	-386.5	-219.5	-348.5	-388	-405.5	-300.5	64.5	31.5	-349.5	-342.5	-407.5	-73.5	214	265	-38.5	-203.5	-101.5	897.5	-56.5	509.5	120.5	-343.5	26
PLATE1	1	HC-004K	-2709	-2787.5	-2787	-2728	-2749	-2676	-2805	-2836.5	-2571	902.5	187	-2704	-2787	-2830	-2263	-133.5	-2227.5	-1348.5	-1103	-214	777.5	-1231	2984	1627.5	-2778.5	-2361
PLATE1	1	HC-005K	-104	-170	-194	-199	-193.5	-171	-205.5	-224	-148	196	283	-137	-185.5	-241.5	-124	104	-12.5	-81	702	20	369.5	-58	345	228	-141.5	-149
PLATE1	1	HC-006K	-234	-493	-133	-321.5	-49	-115	-498	-523	-176	154	20	-513	-452	-509	-258.5	37.5	-153	-73	-339	-2	1033	-12	622	335.5	-448.5	-320
PLATE1	1	HC-007K	-219.5	-346	-151	-329.5	-208	-226	-347	-387	-237.5	276	125	-344	-338	-376	-226	25.5	-175	-110	-273	57	692	-10	472	341	-334	-264
PLATE1	1	HC-008K	-1201	-1200.5	-1200	-1191	-1214	-1160	-1224	-1248	-1206.5	508	-30	-1235	-1191	-1249	-16	1074	-873	-628	-1105	151	820	-409	1349	1105	-1198.5	-1121
PLATE1	1	HC-009K	-100.5	-119	-122	-109	-121.5	-72	-115.5	-119	23	31.5	57	-92.5	-90	-144.5	-35	52.5	-4	-2	-91	16	39	-61	228	108.5	-123	-48
PLATE1	1	HC-010K	-16.5	-298	-285.5	-298	-270.5	-230	-317.5	-325.5	-93	738	27.5	-206	-267	-335	-216.5	51	965	-45	-233	32.5	3034.5	-20	436	351.5	-279.5	-236
PLATE1	1	HC-011K	271.5	10	-0.5	21.5	3	53	-4	-3.5	72	67	45.5	13	14	-36.5	40	75	528	56.5	39	3.5	15.5	-17.5	128	113	-14.5	24
PLATE1	1	HC-012K	-44.5	-165	-156.5	-159.5	-100.5	-92.5	-147	-180.5	57.5	84	41.5	-157	-140.5	-173.5	-0.5	64.5	771.5	-9	-78.5	-13.5	60.5	-61.5	268.5	142	-159.5	-61.5
