Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE1	1	HC-013K	-49	-156	-161	-110	-160	-120.5	-168.5	-196	117	109.5	98.5	-119	-158	-200	-52	70	3895.5	33	165.5	-3	194.5	-32	295	192	-31	-68
PLATE1	1	HC-014K	48.5	-69	-66	-63	-55	-9	-59	-79	12	81	597.5	3201.5	-37	-93.5	-6	332	1369	1.5	-58	440	352.5	-35	172	161	-63	-24.5
PLATE1	1	HC-015K	-487.5	-565	-601.5	-602.5	-582	-569	-584.5	-603.5	-471	458.5	260	-596	-536.5	-594.5	789.5	638	1400	-6	-356	24.5	389	-89.5	728	364	-585	-318
PLATE1	1	HC-016K	703	-136	38	-131	278	-12.5	-143	-160	1099.5	474	75.5	-137	-110	-166	-17	119	693.5	21	-103	16.5	104	40.5	249	205.5	-73.5	-48
PLATE1	1	HC-017K	-51	-255.5	-230	-269.5	-220.5	-196.5	-261	-277	275	253	18	-253	-244	-316	-9	236	553	168	-141	-79.5	43	-47	415	146	-237	-44
PLATE1	1	HC-018K	38.5	17.5	10.5	29	19.5	43.5	20.5	-10.5	47.5	33.5	23	-15.5	54.5	-14.5	27.5	70.5	22.5	24.5	10.5	-5.5	-5	2.5	118.5	109	-24.5	3.5
PLATE1	1	HC-019K	2507.5	-78	453	-207.5	565.5	294	-226.5	-198.5	2016.5	1135	20	-228	-205	-261.5	-138	24.5	73	-11	-152	-42.5	313	124	360	211	-173	-169
PLATE1	1	HC-020K	531	-99.5	75	-87	-26	-3.5	-178.5	-195.5	2912.5	418.5	31	-198	-152	-229	-72.5	393	18	-33	19	-11.5	71.5	-8	328	154	-165	-136
PLATE1	1	HC-021K	-206	-489	-3	-482	-176	-198	-509	-528.5	-109	360	106.5	-511	-475	-540.5	350	632	426.5	-155	-410.5	-73	1810.5	-61.5	644	413	-507	-235
PLATE1	1	HC-022K	90.5	-78	-92	-61	-27	-8	-105	-104	410	114	17.5	-127.5	-62	-115	62	82.5	6144	69	22	2	36	-11.5	263	153	-81.5	765
PLATE1	1	HC-023K	-12	-53	-24	-52.5	-21.5	5	-62.5	-71	81	74	87	-33.5	-16	-68	-7	89	3989	6.5	96	52	318	-30	222	122	-68	592
PLATE1	1	HC-024K	48	153	-36.5	-2.5	15	29	-46.5	-49	238	81	100	6	1.5	-38	8	135	125	33.5	16	32	77	10	224	152	777	-35
PLATE1	1	HC-025K	15	-89.5	-74.5	-57	-53.5	-27.5	-114	-126	130	45.5	30.5	-106	-81	-152	15	84	91	126	-57	-37.5	-56	-51	260	109	-118	-40.5
PLATE1	1	HC-026K	476.5	-30.5	36.5	-16	66.5	59.5	-25.5	-40.5	451.5	163	46.5	-22.5	6.5	-61	25.5	50.5	-2.5	-3	-7.5	-5.5	58	-15.5	160.5	83.5	-42.5	-31.5
PLATE1	1	HC-027K	-8.5	-62.5	-34.5	-36.5	-0.5	20.5	-94.5	-64.5	26	27	48	-44	-58.5	-97.5	99	45.5	189.5	38.5	16.5	3.5	-26.5	-15.5	221.5	73.5	-82.5	29.5
PLATE1	1	HC-028K	112	-2.5	20	-13	11	55	-19.5	-42.5	117	0	16	9	-15	-51	-1	30.5	12	-2	-8	-41.5	-33	-49	157	78	-48	-60.5
PLATE1	1	HC-029K	11	83.5	11	31.5	6	34.5	9	-9	30.5	26	44.5	-3	29.5	-16	26.5	81.5	131	17	-1.5	-12	44.5	-7	124	91	-11	-9
PLATE1	1	HC-030K	-26.5	-115	-76	-95	-88	-34.5	-104	-116	18	49.5	42	-91	-83	-113.5	127	174	241	126	-42	-33	93	-10.5	219	86.5	-105	72
PLATE1	1	HC-031K	41	21	-3	13	25.5	42	9	-18	80	42	63.5	12	35	-22	62	84	242	24.5	26	8	11	12	100	115.5	1.5	22
PLATE1	1	HC-032K	-415.5	-454	-474.5	-462.5	-464	-433	-458.5	-479	-361	212.5	76.5	-439.5	-442.5	-485.5	-6.5	8.5	48.5	-6.5	-293.5	-30.5	234.5	-41.5	560.5	84.5	-460.5	-36.5
PLATE1	1	HC-033K	33.5	-2	12	11	7	35	-6	-27	57	66	46.5	-15	19	-28	46	84	990	37	1	30	59.5	2	147	121.5	-12	16
PLATE1	1	HC-035K	24.5	-79.5	-60.5	-63	-40	-16.5	-107.5	-114.5	157	65.5	-18	-90.5	-82.5	-143	18.5	54.5	289.5	11	-46.5	-6.5	-20.5	-73	242.5	66	-112.5	-13.5
PLATE1	1	HC-036K	1589.5	-45	627.5	-56.5	669.5	479	-43	-72	2131	583	26	-50	-28	-81	54	62	4330.5	16	-9	178	-35.5	27	173	96	-45	27
PLATE1	1	HC-037K	63.5	-91	-96	-97	-81	-25	-76	-109.5	-19.5	73	96	35	-51	-110.5	96.5	76	496.5	77	-46	8	3508	-34.5	203	134	-82	62
PLATE1	1	HC-038K	-54	-71.5	-44	-51	-52	-29.5	-86	-93	2.5	79	112	-68	-51	-119	-42.5	84	902	-6	-58	3	41	-28	249	165	-104	-73
PLATE1	1	HC-039K	-1029.5	-1287	-1359	-1339	-1288.5	-1212.5	-1359	-1391	-1200.5	1025.5	236	-1209.5	-1334	-1406	-911	157	-628.5	-533.5	972	-266	26	-603	1529	1091	-1322	-913
PLATE1	1	HC-040K	-71	-181	-170	-172.5	-178.5	-137	-198.5	-216	-21	39	57	-178	-191	-231	-75	81	572	-44	10	28	110	-98.5	347	203	-213	-132
PLATE1	1	HC-041K	412.5	-39	197	-35	249	147	-132	-96	751.5	210	76.5	28.5	-108	-110.5	326	364.5	5450.5	-5.5	-75	31	210	-46.5	278	1486	-90	361.5
PLATE1	1	HC-042K	-617	-636	-642	-676	-636.5	-590.5	-654	-680	-546	222	32.5	-545.5	-573	-665	-568	76.5	-388.5	-323	-132	57	941	-285	815	604	-653	-636
PLATE1	1	HC-043K	200	-491	17	-483.5	-68	-199	-521	-521	320.5	512	133	-224.5	-487	-535	365	603	491	-155	-105	142	821	-92	641	440	-167	-289
PLATE1	1	HC-045K	659	-77	65	-74	-40	99	-97	-121.5	1354	632	73	-59	-79	-129	9	129	28.5	180	-18	63	62	26	243	158	-103	45
PLATE1	1	HC-047K	3465.5	-102	1190	-42	1877	608.5	-132.5	-135.5	2955.5	1502	216.5	-94.5	-105	-160	-20	99	132	-1.5	25	42.5	245.5	67	276	125	-109	-43
PLATE1	1	HC-048K	5690	-55	1225.5	-24	3215.5	716	-80.5	-93.5	15921.5	1856.5	78.5	-88.5	-64.5	-119.5	8.5	135.5	13690.5	30	-31	27.5	155	129	202.5	192.5	-52	-6.5
PLATE1	1	HC-049K	-84.5	-176.5	-166.5	-176.5	-157.5	-126	-162	-184	-93.5	78.5	48.5	-185.5	-163.5	-203	69.5	322	105.5	19.5	-37.5	-42.5	257	-53.5	288.5	164.5	-129.5	-95
PLATE1	1	HC-050K	-63.5	-260	-256	-322	-286.5	-160	-367	-360.5	327.5	146	151	-305	-328	-367.5	-77.5	102	100	82	-145	-16	502.5	-46.5	493	93	190	-145.5
PLATE1	1	HC-051K	-108	-130	-120.5	-129	-126	-104.5	-129	-159	-95	72	82	-136.5	-116.5	-168	-67.5	93	-61	-61	-108	926	520	-59	242	186	-128	-126
PLATE1	1	HC-052K	3752	-99.5	293.5	-100.5	2167	332	-137	-140	4396.5	2030	123	-112	-126	-167	-70	74	740	68	-53	34.5	157	145	312	180	-158	-128
PLATE1	1	HC-053K	-178	-105	-225	-221	-203	-153	-181	-233	-166	74	154	-49	-89	-171	62	94.5	84	49.5	-80	-13.5	3	-72	416	93.5	-274	82.5
PLATE1	1	HC-054K	538.5	-106.5	147.5	-66	236	144.5	-105.5	-124	1884	377.5	43.5	-44.5	-70.5	-101	52.5	72.5	24.5	18	-65.5	-4.5	14.5	14.5	226.5	146	121.5	31
PLATE1	1	HC-055K	752	-91	5	-20	409.5	22	-95	-101	2031.5	474	39.5	-26	-51.5	-118.5	64.5	99	317.5	49	-62	-20	39	5	209	114	-91	-21.5
PLATE1	1	HC-056K	619.5	-474.5	369.5	-507.5	992	266.5	-574.5	-596.5	1717	901	138.5	-532.5	-533.5	-608.5	369.5	60.5	1035.5	570	-227	-163.5	-113.5	236.5	714.5	679.5	-503.5	449.5
PLATE1	1	HC-057K	472	-266	-150	-263.5	90	-109.5	-280.5	-301.5	1166.5	461.5	128	-212	-262.5	-312	616	273	6	53	-133	-11.5	94	15	409	174.5	-280.5	-113
PLATE1	1	HC-058K	170	-100	-138	-97.5	-98.5	-67	-169	-163	214.5	200.5	38	-172	-139	-186	-7	88	284	62	-84	-8	448.5	-32	315	223	-155	-36.5
PLATE1	1	HC-059K	-128	-307	-280.5	-302.5	-226	-134	-332.5	-331	-191	194	151.5	-331	-293.5	-336.5	-61.5	103.5	6320	51.5	-210	50	187	-40	504	147	-324.5	-14
PLATE1	1	HC-060K	-309	-398	-385	-360	-372.5	-375	-389	-449.5	-296	173	36	-414.5	-372.5	-466	-337	-39	6684	146.5	-166.5	11	-279	-33	603	603	-272	719
PLATE1	1	HC-061K	-419.5	-597.5	-544.5	-580.5	-576.5	-450.5	-652.5	-666.5	317.5	256	-23	-625.5	-592.5	-679.5	-183.5	72.5	14300	0.5	-420.5	-78.5	521.5	-156.5	791.5	169	-634.5	370
PLATE1	1	HC-062K	817	0	290	25.5	361.5	232	-38.5	-47	685	520	110.5	-14	-10	-57	22.5	141	1877.5	25	12	33.5	62	195	193	129	-26	-22
PLATE1	1	HC-063K	755	-149	-8	-94	241.5	-13	-149.5	-134	1431	502	80.5	-122	-128	-149	-66	53.5	-82	33.5	-110	31	68	-23.5	301	156	-154	-74
PLATE1	1	HC-064K	9.5	-192.5	-188.5	-176	-154.5	-154	-205	-217.5	-61.5	39.5	32.5	-184.5	-182.5	-237.5	-67.5	130.5	-56.5	7.5	-126.5	-28.5	103	-60.5	333.5	95.5	-180.5	-122.5
PLATE1	1	HC-065K	-65.5	-233	-225.5	-222.5	-207.5	-188	-187.5	-239	-138.5	71.5	91.5	-200.5	-190.5	-251	94.5	88.5	274.5	4.5	-58.5	3.5	430.5	-47.5	356.5	157	-224.5	102
PLATE1	1	HC-066K	-8.5	-2	-75	4	-77	-6	-96	-114	71.5	112.5	83.5	-23	-54	-34.5	16	80	3221	45.5	-25	170	156	-11	204	169	-71.5	-20
PLATE1	1	HC-067K	35	14	21	23	25	45	29	18	58	23	53	13	50	-8	47	80	133	3	10.5	18	17	8	77	129	21	11.5
PLATE1	1	HC-068K	-73	-514	-384	-522	-183	-336.5	-585	-562	1674	412	112	-461.5	-504	-549	-472	-32	-253.5	11264	-444.5	75	193	-215.5	716	514	-538	-491
PLATE1	1	HC-069K	-129	-328	-266	-321	-160.5	-236	-330	-378.5	-82	296.5	135.5	-359	-319	-366.5	-215	165.5	2685.5	4.5	-303.5	43.5	257.5	-115.5	502.5	321.5	-346.5	-61.5
PLATE1	1	HC-070K	-308.5	-309	-278	-297.5	-287.5	-260	-309	-339.5	-231.5	155	42	-272	-291	-350.5	42	73	-1	16.5	-260	-154.5	-66	-14	435	-31.5	-290	-56.5
PLATE1	1	HC-071K	4829	-100	-7	5202.5	-59	0.5	-124.5	-127	123	701	209.5	-121	-108.5	-132	35.5	130	496.5	146.5	-66.5	163.5	667	-30	273	101	-147	35
PLATE1	1	HC-072K	189	-286	-263.5	-258.5	-182.5	-207	-323.5	-291	169	300	70	-277	-312	-343	-80	162	71	102.5	-252	41	894	-86	499	240.5	-259	-161
PLATE1	1	HC-073K	-29	-57	-42.5	-59	-10	2	-87	-105	448.5	102	63.5	-60	-46	-144	15	152	47	131	-38	-12	3391.5	-35.5	261	139	13212	-20
PLATE1	1	HC-074K	-1185.5	-1250.5	-1227	-1267.5	-1284	-1225	-1327	-1318.5	-1193.5	636	390.5	-1318.5	-1306	-1313.5	-959	142	-273.5	-588	-1046.5	50	1611	-423.5	1515	977	-1325	-931.5
PLATE1	1	HC-075K	6402	-629.5	1169	-545.5	3088.5	759	-625	-630.5	16863.5	4004.5	-40	-618	-591	-649.5	-322	59	3659	-8	-378	-65	1311	95	829	352	-539	-247.5
PLATE1	1	HC-076K	47	-48	-2.5	-33.5	12	8	-95.5	-86	52	106	-15.5	-70.5	-41	-102	19	79	363	36	-51.5	-29	3813	-44	254	99	-62.5	10
PLATE1	1	HC-077K	977	-128	85	-183	77	106	-211	-221	989	784	96	-185	-201.5	-223	5	94	1030	149	-84	15	254.5	55	379	144	-150	7
PLATE1	1	HC-078K	-368	-481	-429	-510.5	-477.5	-423.5	-563.5	-579.5	-146.5	351.5	162.5	-304.5	-506.5	-579.5	-277	126.5	-6	-110	-426.5	8.5	2929.5	-129	719.5	407.5	-537	-365.5
PLATE1	1	HC-079K	-70	-193.5	-135	-172.5	-132	-102	-192	-214	-52.5	164	2	-163	-160	-205	1	18	4419.5	288	-108	0	239.5	-39	330	179	-138	107
PLATE1	1	HC-080K	20194	-355.5	326	-291	75	192	-374	-417	23586.5	11377	54	-310.5	-328	-392	52	147.5	6740.5	126.5	-243.5	-20.5	-18	193	527	180.5	-354	-78
PLATE1	1	HC-081K	2738	-150	1205	-105.5	1156	632	-215	-240	2908	1542.5	17	-202	-166	-224	-72	95.5	183	-22.5	-161.5	-11	51.5	16	335	234	-164.5	-63
PLATE1	1	HC-082K	265	-86	360	-63	-69	130	-113	-122	-3	170	90.5	-57	-85.5	-130	73	257.5	976	16.5	-64.5	-2	133.5	-50	233	191	-118	-53
PLATE1	1	HC-083K	352	-109	-130.5	-113	-92	-79	-181	-173	421	186.5	119	-135.5	-135.5	-183	-25	111	2059	91	-69.5	-2	226	-23	306	152	12.5	8.5
PLATE1	1	HC-084K	-34	-116	-101	-107.5	-108.5	-76	-222	-184	-15	37	51	-143	-141	-182.5	-110	-8.5	105	-33.5	-86	-69	-31	-111	436	71.5	-207	-140
PLATE1	1	HC-085K	-8.5	2365.5	-58	-52.5	-25.5	-31.5	-119.5	-101.5	320.5	46.5	38.5	-94.5	-78.5	-143	11.5	36.5	9207	87.5	-54	-48.5	58.5	-30.5	335.5	98	-116.5	95
PLATE1	1	HC-086K	5	-67.5	-59	-21	-63	-34.5	-49	-67	79	105	108	-55	-38	-97	40	110.5	8667.5	30	-16	30	84	8	218	185	-91	48
PLATE1	1	HC-087K	-100	-325.5	-366	-421	-304.5	-349.5	-477	-458	1540.5	335.5	92.5	-430.5	-435.5	-486.5	85.5	257	1208.5	54.5	-261.5	49.5	435.5	-26.5	646.5	283.5	-380.5	-225.5
PLATE1	1	HC-088K	201	-88.5	-42	-156	-78	-86	-139.5	-180	84	151.5	17	-165	-158.5	-193	-6.5	59	741	67	133	18	85	-62	362	186	-138	-106.5
