Plate	Inplatecount	Sample	FcR2A_N	FcR2A_zebra	FcR2A_Eadp501	FcR2A_RBD wuhan	FcR2A_AMA1	FcR2A_MSP1	FcR2A_HRPII	FcR2A_FL spike	FcR2A_pp28	FcR2A_EBNA1	FcR2A_VCA	FcR2A_BSA	FcR2A_CelTos	FcR2A_CSP
PLATE2	1	HC-102K	1333	913	-114.5	130	18502	77489	500	-62	29223	81355	39852	225	739.5	103
PLATE2	1	HC-103K	-1603	-1610.5	-1709	1626.5	14900.5	28508	293.5	-147.5	5054.5	267.5	13883.5	1829.5	-321.5	-1335
PLATE2	1	HC-104K	4915.5	-31	-58	2699	2680.5	33153.5	123	2315	2771.5	-56.5	13226	138	115	42.5
PLATE2	1	HC-105K	28884	7447	-99	30480	2765	99366	625	29659	8057.5	52879.5	38350	222	336	4188
PLATE2	1	HC-106K	9934	5598	4846	4554.5	26502.5	36163	23092	1134	5946	9762.5	23435	630	1404.5	11729.5
PLATE2	1	HC-107K	8443.5	557	9.5	8612.5	8354.5	17565.5	1240	7846	907.5	5699	5438.5	112.5	505	249
PLATE2	1	HC-108K	15069.5	-3797.5	-3978.5	11545.5	15742	37320.5	-640.5	7976	27.5	17157	15685.5	4136.5	-3759.5	-2748
PLATE2	1	HC-109K	26583	1062	-299	27222	27564	41044	5804	34931	10672	128	8631	447	2715	9980
PLATE2	1	HC-110K	26597	181	-15	28297	10962.5	58007	3192	24522	4288.5	4118	14916	136	364	114
PLATE2	1	HC-111K	1694	57	-222.5	40	27076.5	26745	925	1409.5	506.5	6745	16252.5	330	4.5	19
PLATE2	1	HC-112K	5228.5	127.5	-64.5	16457.5	2594.5	13256.5	1657.5	8110	3346	3386.5	8463.5	211.5	767.5	57
PLATE2	1	HC-113K	4564.5	-358.5	-508	894	9933.5	21564	4329	707	3594	15769	14640	607.5	-320.5	856.5
PLATE2	1	HC-114K	99.5	-257.5	-435	2183	10794.5	44245.5	480.5	2883.5	11535	19668	20659.5	530.5	7743.5	-258.5
PLATE2	1	HC-115K	13559	-217	-223.5	15270	10751	34464.5	2206.5	10658.5	489.5	12183.5	9708.5	434.5	-132.5	888
PLATE2	1	HC-116K	148.5	12277.5	-25.5	109.5	7787.5	34701.5	1077.5	-59.5	7467	5716.5	11993.5	163.5	54.5	46
PLATE2	1	HC-117K	31883.5	-40.5	-96	58719	32545	53222.5	1023.5	11870.5	19440.5	61125.5	16621.5	244.5	4510.5	18448
PLATE2	1	HC-118K	5813	722.5	-97	58498	63652.5	97263.5	1317.5	32836	3839	30418	51392.5	261	1143	999
PLATE2	1	HC-119K	41	89	48	699	30134	39691.5	622	19.5	1283	24945	16301	112	3960.5	2673.5
PLATE2	1	HC-120K	8229	3646	-166.5	7565	995	13402	-18	10307.5	2602	9813	4996	245	-26	-19
PLATE2	1	HC-121K	-365.5	-202.5	-381.5	-88	12668	11500.5	15696.5	-294	2973	16365	11827	469	-142	782.5
PLATE2	1	HC-122K	9834.5	456	55.5	9408.5	2852.5	28139.5	998	17590	3461.5	15163	9985	156	85	331
PLATE2	1	HC-123K	304	25906	-87	29840.5	5673.5	61489	568	681	31870.5	19154	25312.5	189	129	293
PLATE2	1	HC-124K	1715.5	-745.5	-798.5	-86.5	559.5	19345	365.5	-551.5	7637.5	14421.5	10344	887.5	-547	-546.5
PLATE2	1	HC-125K	12498.5	-1420.5	-1497	10444.5	6493.5	31225.5	-200.5	17540	2760.5	8491	5726.5	1620.5	-1242.5	-1320.5
PLATE2	1	HC-126K	-65	31230	-260	1513	19369	23361	17350	264.5	17875	204.5	18536.5	430	514	3971.5
PLATE2	1	HC-127K	6486.5	33.5	8	12709	10203	12581	215	7908	1916	8698	5169	74	114	372.5
PLATE2	1	HC-129K	11829	501.5	57	7631	5839	12329.5	976	9335	5582	5367	3405	135	782	599
PLATE2	1	HC-130K	122	788	174.5	139	10239	75701.5	6717	-202	2568	18403	23877	347	760	2587
PLATE2	1	HC-131K	15185	668	328	2484.5	26514.5	23880	38455.5	1553	5790	11534	18850	413	3454	7503
PLATE2	1	HC-132K	5481	12598.5	-195.5	19700	5212	30956.5	1052.5	26725	6279	7915.5	12404	282	107	178.5
PLATE2	1	HC-133K	-301	13616	321.5	77	14020.5	24818	2020	-317.5	2445	14485.5	10084.5	729	-116	-159.5
PLATE2	1	HC-134K	320.5	9066	-312	5947	5811.5	40275.5	143.5	559.5	251	21776	18503	395	-165	463
PLATE2	1	HC-135K	2514	-898.5	-967	23175	5246	21681	-649	7216	7133	9335	11701	1049	-53	-539.5
PLATE2	1	HC-136K	-9	1939	-51.5	25.5	21541.5	37086.5	11724	-24	120.5	20834	27757	151	116	74
PLATE2	1	HC-137K	170	-209.5	-424.5	6914	17917	34283.5	8012.5	-315.5	17438	7102	11187	559	45	-50.5
PLATE2	1	HC-138K	2128	1	-22	4230	19552.5	22621	21822	4728	7624	15104	14171	121	1058.5	1822
PLATE2	1	HC-139K	475	76	-274	256.5	36044.5	44815	14835.5	-386.5	8884	15632.5	29053	737	237.5	534
PLATE2	1	HC-140K	1790	-1335.5	-1827.5	32834.5	24805	32366.5	208	18304	2645	6069.5	32001.5	2179	-1703	1356
PLATE2	1	HC-141K	2391	1113	266	18561	24332	26203	12663.5	21150	1612	35315	11554	143	431	2891
PLATE2	1	HC-142K	36	338	-51	1812	12382.5	32947	237	1819	12346.5	17181.5	13474.5	150	493	115
PLATE2	1	HC-143K	19886.5	-51	-78	2293	3771	30892	705.5	1346	13269	8193	13836.5	175	1263	180
PLATE2	1	HC-144K	13276	5204	-1358.5	19158.5	22249	31795	12839	16125	19147	19991.5	23755	1473	-819.5	-147.5
PLATE2	1	HC-145K	-12	-561	-805	2149	18288	31906	830	4153	1211	22645	12483	986	-527.5	2020.5
PLATE2	1	HC-146K	186.5	-267.5	-340	7090.5	3991.5	33725.5	1744	3174	2553	16415	4944	421	-175.5	-212
PLATE2	1	HC-147K	9115.5	-444	-506	25472.5	36421.5	69108.5	20500.5	3378	1450.5	33878.5	30799	667.5	-22.5	6842
PLATE2	1	HC-148K	22675.5	-201	-241.5	19710	22664	37844	363	12925	9535	1958	2358	340	3149	2136
PLATE2	1	HC-149K	19530	239	-38	19427.5	9565	25484	2184	13134	376	18880.5	11683.5	109	403.5	122
PLATE2	1	HC-150K	114	4848	-49.5	271.5	7430	15097	9814	-80	1193	1921	9280.5	234	154	4455
PLATE2	1	HC-151K	16	16	-21	17.5	7053	22031	10268.5	9.5	118	5109	6663	95	652	113
PLATE2	1	HC-152K	17851	388	-98	2544	2774	25047.5	2049.5	1566	707.5	6548	11008	762	1578.5	-477
PLATE2	1	HC-153K	12604	46.5	6.5	11490.5	872	19601	285.5	5730	6946	5583.5	6905.5	84	86	109.5
PLATE2	1	HC-154K	115	7.5	-43	6131	2552	19919	2503	7043	3389	5067	11139	131	162	103
PLATE2	1	HC-155K	2251	8857	-66	948.5	1079	34631.5	932	582	5938.5	6725.5	8657.5	222.5	20	-36.5
PLATE2	1	HC-156K	32007.5	-267.5	-280	7982.5	21777	42968	172.5	4836	8225.5	22552.5	15256	417	78.5	-157
PLATE2	1	HC-157K	20862.5	3555	-819.5	15063.5	4767.5	43558.5	-290.5	16174.5	8084.5	6617.5	16186.5	921.5	-345.5	-621.5
PLATE2	1	HC-159K	326.5	395.5	13.5	13446.5	9073.5	8127.5	15212.5	12871.5	1226.5	2639.5	9245	164.5	815	1032
PLATE2	1	HC-160K	503.5	3219	1280	25	14213	23752	2311.5	-600	2672	10754	11451	1065	49	-491
PLATE2	1	HC-161K	-167.5	1461	-187.5	169	17375	54761	459	-110	5370.5	15501	19622	280	-71.5	200.5
PLATE2	1	HC-162K	16060	5	-52	19604.5	6832	26037	1298	7494	537	9829	13193	126	84	617
PLATE2	1	HC-163K	26318	1849	-697.5	41954.5	4986	43562	508.5	36822	14100.5	9814	20148	803	2374.5	228
PLATE2	1	HC-164K	-1974	-1978	-2074	4649	3828.5	48078	-88.5	11031	9668	20375.5	16384	2195	-418	-1198
PLATE2	1	HC-165K	1200	-989.5	-1138	1138	39870	50135	31704	1563.5	1076	23196	29298	1279	4118	-903.5
PLATE2	1	HC-166K	1588	3380	-109.5	2020.5	34223	74563	328.5	1030.5	37759	25498.5	40405	220	210.5	368
PLATE2	1	HC-167K	8198	-323.5	-353.5	9658.5	-17.5	15335.5	-140.5	8444.5	4950.5	3083	11053.5	437.5	554.5	-227
PLATE2	1	HC-168K	9241	452	106	11037.5	11202	10678	5698	12710.5	2239	2885.5	7446	434	6681	136
PLATE2	1	HC-169K	1050.5	268	-13	10252	179.5	18681.5	302.5	7945.5	5663.5	3141	6046.5	91.5	179.5	144.5
PLATE2	1	HC-170K	2114.5	66.5	-76	25326	10234.5	35955	2357	15217	2400.5	12744.5	11567	244	1954	32.5
PLATE2	1	HC-171K	64	214.5	69.5	125	14617	16279	14957.5	-17	3354	10141	8370.5	129	219	227.5
PLATE2	1	HC-172K	-111.5	-82	-143	280	16879.5	37203	425	-37	1749.5	10114.5	9527	228	-33	15
PLATE2	1	HC-173K	9035	-53.5	-90	6097.5	6455.5	11749	120	6451	767	5013.5	5788.5	169.5	1127.5	107.5
PLATE2	1	HC-174K	1737.5	236.5	130	1285.5	11678.5	10446.5	14137.5	111.5	4546.5	6679.5	6157.5	167.5	953.5	5258.5
PLATE2	1	HC-176K	28169.5	364.5	-75.5	22946.5	349.5	33529.5	192.5	14270.5	19798.5	13959	9436.5	160.5	183	136.5
PLATE2	1	HC-177K	18027.5	3183.5	-389	6583	22030	32158	16008.5	10753.5	980	17149	15710	506	1371	6232
PLATE2	1	HC-178K	10340.5	2976.5	-64.5	40486	278	69089.5	362.5	16150.5	556.5	53351	22283.5	161.5	1900.5	42.5
PLATE2	1	HC-179K	-49	-73	-91	3230	20998	54860	10652	337	10641	28309	18489	192	531	319.5
PLATE2	1	HC-180K	15364	-67.5	-143.5	5107.5	22600	50314.5	1957.5	7963.5	2729.5	5141.5	13298	255.5	742.5	1172.5
PLATE2	1	HC-181K	28543.5	-48.5	-322.5	35933	8833.5	40883.5	666.5	19111	7957.5	12280.5	26011	448.5	69.5	-28
PLATE2	1	HC-182K	20148.5	-234	-274	47281	213	74197	321	31051.5	29489.5	507.5	190	369	149	140
PLATE2	1	HC-183K	-121	-99	-182	257	4578.5	83966.5	556.5	-69	1718	34514.5	42133	271	86	-16
PLATE2	1	HC-184K	284.5	367	311	113.5	10465	14302.5	5681.5	-33.5	3488	7416	8638.5	142.5	166.5	3168.5
PLATE2	1	HC-185K	6780	361	-212	5953	1298	2861	-103.5	10707	7902	3546	12112	289	-36	-41
PLATE2	1	HC-186K	-343	-195	14557	424	14922.5	39090	19542	-165	1076.5	10108	17854	599	749.5	1232
PLATE2	1	HC-187K	574.5	167	16.5	568.5	4549.5	26567.5	7895	108	12356.5	3312	9736.5	268.5	458	-49
PLATE2	1	HC-188K	7534	-35	-41.5	8432.5	14470	24424	14642	6586	547	12747	11487	211	2289.5	2653.5
PLATE2	1	HC-189K	7930	311.5	-200	3588	959	45419	62	3293	16029	28836	16610	292	292.5	-46
PLATE2	1	HC-190K	2178.5	409.5	-181	10510.5	10346.5	10306	377	3598.5	1220.5	10280.5	8874.5	308.5	664.5	3156.5
PLATE2	1	HC-191K	-886	-449.5	-720.5	231.5	14229.5	26412.5	795.5	-762.5	2076.5	11249	8627	1050.5	6319	-236.5
PLATE2	1	HC-192K	19107	742	95	18834	19039	21559.5	8515	22004	10291	1381	11307	167	289.5	475
PLATE2	1	HC-193K	10969.5	153	-110	7511.5	20305.5	14231	10693	2043	12159	1235.5	1364.5	212	-3	163
PLATE2	1	HC-194K	7031	-23.5	-62	16335	3269	18979.5	254	14947	883.5	4426	6942	147	213.5	277
PLATE2	1	HC-195K	244	3882	-92	9019	16228	20271.5	5173	4218	2569.5	8472	7900	189	42	50.5
PLATE2	1	HC-196K	9211.5	9692.5	-321	15896.5	15175	26340	4275	18333	2392.5	8012	12389	485	8171.5	545
PLATE2	1	HC-197K	-106	491	-119.5	387.5	4876	65946	283	-77	2419.5	23656	31434	203	186.5	15
PLATE2	1	HC-198K	33549.5	-777.5	-963.5	5620.5	29740	76135.5	1413.5	3781.5	4221.5	44863.5	22212.5	1167.5	-609	664.5
PLATE2	1	HC-200K	45682.5	372.5	-101.5	18105	1014	35098.5	377.5	34847.5	16599.5	8616	13180.5	188.5	58.5	-3.5
PLATE2	1	HC19-KC098	-161.5	-37	344	176	11782	15166.5	3611	31.5	2712	4245	9576	339	691	4730
PLATE2	1	HC19-KC099	-285	11835.5	-588	140	20788	34451	10182	-286	1919	14362	16219.5	779	284.5	2353
PLATE2	1	HC19-KC100	51.5	9038	56.5	262.5	20337.5	62422	3354	-59	13404	16530	21056	260	4950.5	2603
PLATE2	1	HC19-KC101	55	-26	6345.5	46.5	2894.5	20257	166	-68	228	11585	7135	181	47.5	314
PLATE2	1	HC19-KC102	136	-34	-92.5	45	12968	39898	984	-58	1155.5	18171.5	4652.5	202	769	6463
PLATE2	1	HC19-KC103	177	2335	-53.5	221.5	19003	45610.5	9409	-16	599	13420	14710	135	126	112
PLATE2	1	HC19-KC104	1204	497	1410	32	2845.5	72087.5	16058.5	-177	1743	33037	11284	357	2629.5	-112
PLATE2	1	HC19-KC105	1049.5	-24	-109	146.5	25345	48155	2303.5	-60	19563	14193	19209.5	225	4859	3781.5
PLATE2	1	HC19-KC106	1010.5	13160	725	5250.5	11461.5	23579	6219.5	47.5	1999	9672	6192	98	1074	2605
PLATE2	1	HC19-KC107	1576	51	-39.5	558	13065	19890.5	2358	782	9233	14135	8411.5	205	6033.5	7954
PLATE2	1	HC19-KC108	223	4669	212	422.5	9662	15711	3208.5	-16	3226.5	5601	6151	211	2883	257
PLATE2	1	HC19-KC109	-191	-51	-161.5	118.5	24478	26349	11145	-198	6103	27820	9686	339	93	-45
PLATE2	1	HC19-KC110	-60	18140	-55	-0.5	7365	50929	9389	-24	13783	8039	17239	165	4999	201
PLATE2	1	HC19-KC111	697	2285	244	128	9432	28713.5	2306	40	14510	12002	11825.5	164	852	4346
PLATE2	1	HC19-KC112	-2393.5	32186	-2408.5	108	18043.5	36975.5	-173.5	-1696	4393.5	12966.5	9000	2622.5	-1747.5	-2095.5
PLATE2	1	HC19-KC113	-87.5	-55.5	-124.5	2047	21680	87658	1416	-51.5	14014	71383	35502.5	286	7557	7426.5
PLATE2	1	HC19-KC114	24192	-333.5	560.5	322.5	62570	95188	6777.5	-261.5	3056.5	52248	38174.5	625.5	144.5	361.5
PLATE2	1	HC19-KC115	2029	737.5	45	822.5	11322.5	14708.5	7915.5	41.5	3919.5	5197	6598.5	194.5	570.5	4106.5
PLATE2	1	HC19-KC116	60.5	200.5	52	152.5	13593.5	36965.5	1191.5	14.5	10288.5	13990	7242.5	146.5	553.5	205
PLATE2	1	HC19-KC117	14197.5	62	-332.5	52.5	21486.5	25729.5	1231.5	-265.5	2129	17267	12141.5	479.5	981.5	772.5
PLATE2	1	HC19-KC118	548	-1305	-1484	676.5	28576	49515	2381	-950	7713	25348.5	14867	1944	-117	5820
PLATE2	1	HC19-KC119	835	-94	-119	32.5	11410	46987	18406	-85	2066	8098	14595.5	207	2942.5	77
PLATE2	1	HC19-KC120	59	72	30	94	15068	29875.5	3939	-183	3575	14346	7280	496	1002	10318.5
PLATE2	1	HC19-KC121	228.5	259	336.5	373	30782.5	34181.5	1485.5	-46.5	5035.5	13103.5	14457	421.5	3125	3608.5
PLATE2	1	HC19-KC122	1299	57.5	-44	596	22268	33958.5	6702	26	9096	30046.5	12770.5	245	373	1873
PLATE2	1	HC19-KC123	25	28.5	4	196	12215	29704.5	1230.5	-28.5	1117.5	6078.5	6930	120	101	3212
PLATE2	1	HC19-KC124	-304.5	572.5	-220.5	1333.5	9936.5	15892	15732.5	-910.5	3485	4845.5	9507.5	1751.5	2023.5	2066.5
PLATE2	1	HC19-KC125	-420	4041	-320	-163.5	24316	29277	12654	-299.5	1118.5	8213	15448.5	570	-236	-289
PLATE2	1	HC19-KC126	780	186	-57	1787	23858.5	34180	4685	-174	23129	752	14.5	320	905	184.5
PLATE2	1	HC19-KC127	-260.5	17012	-334	5140	4398	22281.5	67	-187	624	7765	8941	426	-3	-132.5
PLATE2	1	HC19-KC128	-1815	6749.5	-2422	2707	20845	21666.5	28304	-2243	7269	5007.5	19249	3014	240.5	19020
PLATE2	1	HC19-KC129	-229	36582.5	301	334.5	21413.5	41007	18163	-595.5	16463.5	19451.5	20649	803.5	1685	-250
PLATE2	1	HC19-KC130	-63	37302	-108	378	24996	91966.5	1451.5	-109	13462.5	74289	60009	323	2190.5	86.5
PLATE2	1	HC19-KC131	1056.5	-341.5	-397.5	150.5	4659.5	82387	53.5	-221.5	1152.5	30289.5	36151.5	504.5	-97.5	-268
PLATE2	1	HC19-KC132	-133	85	-234.5	3287.5	23741	63191	8772.5	-236	7540	16676	22554.5	415	577	155
PLATE2	1	HC19-KC133	-304	2538	-305.5	2078.5	25926	47972	1259	-263	26701.5	13781	14879	431	-48	200
PLATE2	1	HC19-KC134	-97.5	73.5	15	-4	14286	44288	1591	-62	8927	16847	12474	192	22.5	1273
PLATE2	1	HC19-KC135	-366.5	115.5	-406	-87.5	13126.5	41748	1309.5	-314	5500	28380.5	13911.5	496.5	-198.5	-300.5
PLATE2	1	HC19-KC136	1030	20200	15490	2214	1625	44059	4006	-142	6140	17714	7143	557	2193	-237
PLATE2	1	HC19-KC137	-82.5	-69	-107.5	49	6040.5	36797	468.5	-97	536	6192.5	13209.5	189.5	-3.5	-10.5
PLATE2	1	HC19-KC138	-282	1614	-328	15584	58393	79378	1691	-23.5	6015	52052	20506	434	445	-8
PLATE2	1	HC19-KC139	4280	29384	4860	5586.5	52011	88336	10998	210	7369	30650	30775.5	235	3036	16530
PLATE2	1	HC19-KC140	48728	252	27	924	45432	44645	34301	2982	18243	32419	25313.5	222	8342	1341.5
PLATE2	1	HC19-KC141	15225	561.5	-865	571	50216	60389	53375.5	-642	18898	28170	22410.5	1289	17427	8591
PLATE2	1	HC19-KC142	126	76919.5	-69	44	35223	83740	1466	-82.5	20054	58078	32793.5	224	221	490.5
PLATE2	1	HC19-KC143	-59	-84	-155	53.5	41633.5	52434	737	-95	32201	35497.5	26841	280	-1	461
PLATE2	1	HC19-KC144	93	65284	-39	33	2395.5	75298	1725	-19	8431.5	38505	15900	135	624.5	6410
PLATE2	1	HC19-KC145	-120	-86.5	-142.5	496.5	36444.5	74412	6201.5	-125.5	20340.5	55149	18493	256.5	547.5	37
PLATE2	1	HC19-KC146	-12	-5.5	-65	139	24443	43945.5	855	-16	4148	9022	11291	169	8538	4856
PLATE2	1	HC19-KC147	127.5	-20	-53.5	235.5	21910.5	24009.5	18375.5	-12.5	1498.5	22549.5	12386	169.5	471.5	2049.5
PLATE2	1	HC19-KC148	1131.5	4442.5	-79	1283	18839	39812.5	5735.5	-112.5	2266	885	9863.5	310	4504	2856
PLATE2	1	HC19-KC149	-261	-462	-540	-126	6676	38441.5	-117.5	-414	1644	4876.5	11018.5	632	-295	493
PLATE2	1	HC19-KC150	136.5	290.5	25	247	21470	47519	2467	-39	11100	9433	16395	177	3157	111.5
PLATE2	1	HC19-KC151	292	9.5	-151	7941	19691	20523	35258.5	-178.5	3017.5	14406	10120.5	382	394	331
PLATE2	1	HC19-KC152	-947	-931	-995	-157.5	5318	43601	-433.5	-826.5	609	14128	21954.5	1084	-792	-624
PLATE2	1	HC19-KC153	-472	-814	-857	1125	17277	28248.5	1619.5	-649	2532	5314.5	8995	971	-478.5	-541
PLATE2	1	HC19-KC154	1437	866.5	453.5	1780	30418	25365.5	32083	84.5	12675.5	21213.5	9845	341.5	1198.5	18009
PLATE2	1	HC19-KC155	807	-496.5	-548	19.5	17106	30849.5	2151.5	-461.5	8764.5	22580.5	9868.5	765.5	544	4601.5
PLATE2	1	HC19-KC156	-681	-93	-435	769	17866	23660.5	28906.5	-546	2691	13797	16406.5	1043	138	1429.5
PLATE2	1	HC19-KC157	-1845	-4612	-3167.5	-593	41308.5	52485.5	22513.5	-3929	2533.5	26687.5	7352.5	4904.5	-4003	2599.5
PLATE2	1	HC19-KC158	26.5	-378.5	-386	-21.5	19464.5	20069	511.5	-371	4028	15767	4763.5	688	-178	7047.5
PLATE2	1	HC19-KC159	-978	16812	-978	960	6776	30646	1096	-674.5	2641	10422.5	8154	1288	-113	-750.5
PLATE2	1	HC19-KC160	-2411.5	-2439.5	-2446.5	3556.5	54799.5	76913.5	12781.5	-1701	15612	26013.5	37292.5	2841.5	-1554.5	55529.5
PLATE2	1	HC19-KC161	5826	-418	-482	-83	23174	46988	10224.5	-382	3427	12041.5	18064.5	594	3598.5	-193.5
PLATE2	1	HC19-KC162	635.5	995.5	24	47.5	7283	31561.5	1244.5	34	14609.5	17122.5	12304.5	121.5	592	3413
PLATE2	1	HC19-KC163	372	-175	-224	182	65624.5	62693	1726.5	-112	4551.5	39324	32880.5	365	3709	2186
PLATE2	1	HC19-KC164	1690.5	37.5	-61	2861	33422	83489.5	4966	-60.5	28016	25826	13425.5	337	327	2477
PLATE2	1	HC19-NM057	-454	-329.5	-480	167.5	333	36195.5	-387.5	-218.5	16362.5	22429.5	20570.5	585.5	-273.5	-322.5
PLATE2	1	HC19-NM058	-1536	-1606	-1624.5	669.5	2009.5	41696.5	-1370.5	-1378	11065.5	46623.5	27485.5	1756.5	-79.5	2767.5
PLATE2	1	HC19-NM059	-393	-391.5	-693	-72.5	2611	41354	810	-41	12901	24543	15438.5	822	6572	-178
PLATE2	1	HC19-NM060	2288	177	-143	6733	34147.5	55566.5	29198	-45	12867.5	17314	14013	478	2555	11219.5
PLATE2	1	HC19-NM061	-523	380.5	-558.5	325	2097.5	50295	204.5	-322.5	9366.5	33335.5	18258.5	719.5	2103.5	-308
PLATE2	1	HC19-NM062	3080	-546	-681	-272	285	23420	-366.5	-408	2435.5	7952	10385	781	404	-217
PLATE2	1	HC19-NM063	-996	-682	-1674.5	-198.5	346	38005.5	-1220.5	-1336.5	23532	51668.5	34184.5	1775.5	106.5	-118.5
PLATE2	1	HC19-NM064	172	-3161.5	-3408	-331	-1629	25199.5	-3194.5	-2095	15767	26670	17638	3644	-498	-2753.5
PLATE2	1	HC19-NM065	-615.5	-673.5	-728.5	-86.5	1411.5	31579.5	-586	-451.5	7422.5	54047.5	17733.5	833.5	-449	-486.5
PLATE2	1	HC19-NM066	162	3649.5	-134.5	5	1240	35046	309	-59.5	17744	9982	14468.5	230	3.5	-28.5
PLATE2	1	HC19-NM067	-3495.5	-3847	-3916	-1158	-3094	38430	-3693	-3423	9173	41156	21551	4042	-3407	-3592
PLATE2	1	HC19-NM068	-1663.5	-1594.5	-1692	2048	-255	38811	-1175	-1449.5	2776	19741.5	13395	1791	-1451	-1439.5
PLATE2	1	HC19-NM069	-167	1475.5	-200	121.5	12401.5	53569	241	-129	30679.5	47558.5	14229	308	112	-10.5
PLATE2	1	HC19-NM070	-1250.5	5093	-1313	78	9094	74592	-981	-1012	1657	84320.5	48543	1411	-1098.5	-1089.5
PLATE2	1	HC19-NM071	-531	-611.5	-631.5	16.5	2281	30727.5	-399	-508.5	8391.5	47846	36384.5	727.5	178.5	-494
