Plate	Inplatecount	Sample	FcR2A_N	FcR2A_zebra	FcR2A_Eadp501	FcR2A_RBD wuhan	FcR2A_AMA1	FcR2A_MSP1	FcR2A_HRPII	FcR2A_FL spike	FcR2A_pp28	FcR2A_EBNA1	FcR2A_VCA	FcR2A_BSA	FcR2A_CelTos	FcR2A_CSP
PLATE2	1	BACKGROUND0	11.5	32	5	34	61	34.5	56	10	9	27	13.5	63	61.5	85
PLATE2	1	AF-MIX-S1	-333	4909	-539	26	20708.5	31441	8255	-239	1745	19625	10653	630	-152.5	242.5
PLATE2	1	AF-MIX-S2	-211	3177	-333.5	171.5	17868	21860	6387	-227.5	2406	27266	14649	448	-90	260
PLATE2	1	AF-MIX-S3	-95	546	-143	77	11818	19572	3975	-104	500	16310	12512	250	-15.5	124
PLATE2	1	AF-MIX-S4	-141.5	-40	-153	-51	6530	14270.5	1077.5	-130	129	13154	8424.5	254	-53.5	87
PLATE2	1	AF-MIX-S5	11	48.5	25.5	49	502	2000.5	167	21	68	1423	648	54	95	131.5
PLATE2	1	AF-MIX-S6	13.5	29.5	10.5	21	70	184	80	24.5	19.5	78.5	77.5	50.5	104.5	112
PLATE2	1	AF-MIX-S7	26	53.5	30.5	22.5	43.5	60	78.5	24.5	28.5	22	28	41.5	97.5	105.5
PLATE2	2	BACKGROUND0	29.5	50	27	38	52	36.5	71.5	43	35	22.5	28	36	108	97
PLATE2	2	AF-MIX-S1	-472	7212.5	-733	524	25576	40402.5	10710.5	-362	6962	22269	21607.5	838	-91	1230
PLATE2	2	AF-MIX-S2	-523	2881	-609	-256.5	21125	25254	6042	-508	1586	19802	12106	727	-370	218
PLATE2	2	AF-MIX-S3	-333	2088.5	-344	-17	20775	31108	6950.5	-256	1355	26375	20763.5	461	-164	95.5
PLATE2	2	AF-MIX-S4	-158	523	-206	61	16993.5	37260	3009	-103	801	27246	19354.5	308	-73.5	308.5
PLATE2	2	AF-MIX-S5	-2	22	-16	17.5	318	1968.5	117.5	5	40	417	402	73	90.5	92
PLATE2	2	AF-MIX-S6	12.5	41.5	14	29	156	1041	88	30	27	245	213.5	57	75	85.5
PLATE2	2	AF-MIX-S7	19	37.5	28.5	28.5	58	100	77.5	26	28	23	62.5	40	99	117
PLATE2	3	BACKGROUND0	5.5	54.5	9.5	28.5	29.5	17	73.5	27.5	21.5	8.5	14.5	41.5	98.5	114.5
PLATE2	1	POST-VACC-S1	9036	-1007.5	-1341	6013	-1190	5407	-1338.5	7854	-439	3756	3812.5	1575	849	-1153
PLATE2	1	POST-VACC-S2	7973.5	-474.5	-749	11873.5	-479	2208.5	-703.5	10735.5	4	8522.5	5915.5	885.5	795	-510.5
PLATE2	1	POST-VACC-S3	8058	-415	-569.5	20560	-343.5	2202	-501	12176.5	-133	16386	4546	676	870.5	-367
PLATE2	1	POST-VACC-S4	9925	-138.5	-192.5	38733.5	72.5	1148.5	-150.5	20291.5	215	25640.5	3910	271.5	559.5	-7.5
PLATE2	1	POST-VACC-S5	2095.5	12.5	-14	33617.5	93.5	144.5	19.5	11532	67.5	11939.5	667.5	95.5	113.5	90.5
PLATE2	1	POST-VACC-S6	26	22.5	-1.5	7219.5	25.5	2	43.5	501.5	9.5	158.5	11.5	61.5	75	99.5
PLATE2	1	POST-VACC-S7	26.5	28.5	15	4181.5	31.5	7.5	54	132.5	20.5	70.5	24.5	52.5	93.5	117.5
PLATE2	4	BACKGROUND0	30	48.5	16.5	34.5	24	27.5	64	30.5	16.5	1.5	11.5	40.5	92.5	122.5
PLATE2	2	POST-VACC-S1	33224	-653	-2752	28001	-2008.5	10920.5	-2628	30487.5	-248	14862	13348.5	3112	3757	-2483
PLATE2	2	POST-VACC-S2	19484	-532	-723.5	34516	-364	4418.5	-653.5	20464.5	301	22106.5	11882	840	1948	-531
PLATE2	2	POST-VACC-S3	9824.5	-134.5	-178.5	60535	80	936	-139	19534	123.5	28567	4724.5	265	558	-26
PLATE2	2	POST-VACC-S4	2262	-33.5	-56	38755	20.5	66.5	-14	13969.5	31	12279	753	136	135.5	65
PLATE2	2	POST-VACC-S5	80	-8	-24.5	25340	28	4	31	7699	15	4541	111	93	75	68.5
PLATE2	2	POST-VACC-S6	193.5	21.5	5	31326	36	41	42.5	6734	18.5	4789	84	72	82.5	99
PLATE2	2	POST-VACC-S7	38.5	41	20	14581	52	29.5	54	1184.5	38	588.5	47	45	93	127
PLATE2	1	HC-101K	18725.5	1873	-514	11536	45779	65281	38114.5	21805	9357	38183	28705.5	731	4379	6995
