Plate	Inplatecount	Sample	IgG2_RBD alpha	IgG2_N	IgG2_RBD beta	IgG2_RBD omicron	IgG2_RBD lambda	IgG2_RBD gamma	IgG2_zebra	IgG2_Eadp501	IgG2_RBD delta	IgG2_RBD wuhan	IgG2_AMA1	IgG2_MSP1	IgG2_HRPII	IgG2_Tetanus	IgG2_HCoV-229E	IgG2_HCoV-NL63	IgG2_HCoV-OC43	IgG2_pp28	IgG2_pp65	IgG2_EBNA1	IgG2_VCA	IgG2_FL spike	IgG2_BSA	IgG2_CelTos	IgG2_CSP	IgG2_HCoV-HKU1
PLATE2	1	BACKGROUND0	17.5	26	23.5	27.5	38	52.5	49.5	10.5	52	10.5	17.5	35.5	70.5	11	61.5	74.5	49.5	45.5	33.5	1	8.5	24.5	49.5	81.5	79.5	13.5
PLATE2	1	AF-MIX-S1	-386	-392	-397.5	-430.5	-404	-391.5	-392.5	-400	-354	49	1078.5	757	-343.5	419	3248	1279	2984	914	148	274	364	695	520	63	273	901
PLATE2	1	AF-MIX-S2	-200	-207.5	-219	-214	-215.5	-182.5	-189.5	-212	-158	-28	614	460	-153	339.5	1814	771.5	1678	540	162	98	227	431	300	26	158	528
PLATE2	1	AF-MIX-S3	-137.5	-140	-133.5	-134.5	-126	-98	-112	-134	-89	-41.5	342.5	195	-80	138.5	1016	421.5	846	312.5	96	27	96	216	219	6	82	288.5
PLATE2	1	AF-MIX-S4	1	0	-3.5	-8	-3.5	21.5	31	-12	23.5	5	84.5	48	34	8	175	126	181	96.5	54	6	9	64	81	63	98	66
PLATE2	1	AF-MIX-S5	14	11.5	13	24	22	51	38	10	56.5	26.5	41.5	40	56	11.5	115	115.5	103	86	56	15	20.5	60	58	85	92	41.5
PLATE2	1	AF-MIX-S6	6.5	2.5	9	22.5	11.5	27	33.5	-7	32.5	-2.5	7.5	5.5	54.5	6	68.5	71.5	63.5	46.5	22.5	-10.5	16.5	23.5	68.5	66.5	76.5	11.5
PLATE2	1	AF-MIX-S7	21	23	30.5	33	39.5	49	55	17	42	14	26.5	30	74	15	72	79.5	60.5	56	28	4	20	34	46	92	100.5	26
PLATE2	2	BACKGROUND0	34.5	21.5	29.5	30.5	43.5	51.5	46.5	14.5	51.5	4	19.5	17.5	73.5	11.5	64	84.5	59	59.5	37.5	-0.5	6	33.5	46.5	92.5	99.5	18
PLATE2	2	AF-MIX-S1	-468.5	-481.5	-492	-515	-489	-483	-474	-494	-416	164	752	609	-439.5	10	2505	879	2280	669	96.5	353.5	573	675.5	602	18	363.5	523
PLATE2	2	AF-MIX-S2	-247	-245	-270	-265	-259	-240	-256	-262	-206	36	588	488	-215	204	1726.5	768	1653	610	153	38	343.5	489	359	9	144	557
PLATE2	2	AF-MIX-S3	-85.5	-97.5	-79.5	-88.5	-85.5	-63.5	-69.5	-101.5	-42.5	-2	247	142	-46.5	125	657.5	325	546.5	242.5	88.5	23.5	110.5	186.5	180.5	41.5	78.5	193.5
PLATE2	2	AF-MIX-S4	-6.5	-27.5	-21	-14.5	-16	0.5	-4.5	-24.5	15.5	-6.5	47.5	19	26.5	-6.5	152.5	111.5	140.5	82.5	47.5	-7.5	16.5	56.5	94.5	67.5	54.5	36.5
PLATE2	2	AF-MIX-S5	0.5	-0.5	-4.5	-6	2.5	21.5	21	-15.5	33.5	4.5	41.5	27.5	43.5	-10.5	101	72	105.5	66.5	45.5	0.5	5.5	26.5	75.5	64.5	93.5	24.5
PLATE2	2	AF-MIX-S6	12	11	9	12	15	49	29	3	35	0	15.5	18	57.5	-2	66	75	66	60	29	11	9.5	27	64	69	71	17
PLATE2	2	AF-MIX-S7	16.5	1	20	12	24	37	27	-1.5	36	6.5	-2	14	53	-2	48.5	73	42	34	27	-12.5	38	23	62	60	90	11
PLATE2	3	BACKGROUND0	37.5	-0.5	12	5.5	24	53	5	-3.5	75	19.5	20.5	3	43	-3	57	89.5	73	53	40.5	-6.5	-7	43	71	50	85	9
PLATE2	1	POST-VACC-S1	10913.5	-1445.5	6675.5	1257.5	6843.5	4335.5	-1444.5	-1478	10111.5	8750.5	-839	-1024	-1414.5	-1433	-698	-845.5	-263.5	-555.5	-417.5	-35.5	-526.5	5398.5	1590.5	-778.5	-1090.5	-766.5
PLATE2	1	POST-VACC-S2	12451.5	-196	3475.5	29	4523.5	2627	-203.5	-213.5	11273	7662.5	-19.5	66.5	-184.5	-204.5	51.5	11.5	143	62.5	176.5	45.5	28.5	2668.5	304.5	11	-70	-11
PLATE2	1	POST-VACC-S3	930	0.5	138	10	208	272	25.5	-17	1119	534	30	66	31	-11	75	96	86	62.5	57.5	-4	15	191	79	47.5	65	12.5
PLATE2	1	POST-VACC-S4	114	14.5	39	22.5	55.5	81.5	37.5	9.5	168	89.5	26.5	45.5	58.5	5.5	68	77.5	60	62.5	33.5	-9	8.5	66.5	54.5	85.5	87.5	19
PLATE2	1	POST-VACC-S5	44	32.5	35.5	39	49	59	61.5	30	67	21	40	36	72.5	25.5	72	78	64	65	54	9	24	49.5	39	86	107	26
PLATE2	1	POST-VACC-S6	33.5	28.5	31.5	51	43.5	60.5	53.5	25.5	55.5	20	14	33.5	81.5	11.5	65.5	79.5	65.5	57	42.5	-0.5	0.5	39	40.5	70	86	25.5
PLATE2	1	POST-VACC-S7	38	37	36	49	41	66	55	38.5	58	24.5	40	36.5	73	23.5	71	85	63	59	56	7	11	43	34	83	98.5	26
PLATE2	4	BACKGROUND0	40.5	30	42	46	43	69	51	23	76	26.5	32	29.5	78.5	26.5	75	92	73	69	51	4	28.5	43	36	76	112	29.5
PLATE2	2	POST-VACC-S1	9181	-1362	5414	1018	7943	4424	-1376	-1393	8219	8929.5	-781	-878	-1340	-1351.5	-557	-695	-347	-342	73.5	-409	-589.5	5557	1520	-583.5	-1049	-664.5
PLATE2	2	POST-VACC-S2	11274	-142	2452	-33	3030	2957.5	-137	-158	9111	6892.5	31	152	-112	-155.5	99.5	75	190	89	182.5	71	33	1881	248	90	-5	17.5
PLATE2	2	POST-VACC-S3	2068.5	-3.5	281.5	3.5	323.5	354.5	2.5	-13.5	2030	1111.5	34	100.5	29.5	-15.5	78.5	72.5	74.5	53	68.5	31.5	40.5	308	89.5	93	94	25
PLATE2	2	POST-VACC-S4	56.5	25.5	40	29.5	53	70.5	51.5	21.5	104.5	37.5	30.5	38.5	74.5	22.5	85.5	83	66	67.5	49	19.5	34	62.5	42.5	92.5	102.5	30.5
PLATE2	2	POST-VACC-S5	26.5	30.5	30.5	36	27.5	60.5	44.5	16	57.5	4.5	11.5	23	59.5	9	64	90.5	57	54	35.5	-1	27	37.5	47.5	71.5	106.5	22.5
PLATE2	2	POST-VACC-S6	29.5	25	38	43.5	32	64	46.5	14	51	14	22	29	67	14	67	86	60	53	44	-3	0	25	43	85	93.5	19
PLATE2	2	POST-VACC-S7	32.5	19	34.5	32.5	38.5	67.5	54.5	25.5	59.5	19.5	17.5	28.5	70.5	17.5	75.5	84.5	56.5	51.5	30.5	-5.5	9	43.5	43.5	71.5	104.5	23
PLATE2	5	BACKGROUND0	45	30	45	46	49	62	53	24	68	15	36	27.5	74.5	20.5	91	85	77	59.5	48	-3	9	50.5	39	76	119	37.5
PLATE2	1	HCAM-002-S1	30827	-972.5	12131	4203.5	16558	8793.5	-952.5	-968.5	23321	23321	738	-732	-937	-990.5	1080	992.5	1245	773	172	-14	785.5	10971.5	1094	309	387	874
PLATE2	1	HCAM-002-S2	22836	-103.5	3536	845	8488	3692.5	-93	-100.5	23361	16906.5	627	-78	-67	-100	680.5	720	839	522	496	38.5	372.5	3626	197	167.5	165	641.5
PLATE2	1	HCAM-002-S3	888	-17	54	2.5	204	98.5	-4	-29.5	878.5	517	133	-5	24	-21.5	172	181	196	121	98	-11.5	14	247	97	60	76.5	123
PLATE2	1	HCAM-002-S4	60.5	31.5	35.5	28.5	37.5	61.5	49.5	13.5	94.5	58.5	48.5	81.5	62	17	84.5	109	80	78.5	54.5	7.5	7.5	63.5	52.5	80.5	103.5	38.5
PLATE2	1	HCAM-002-S5	26.5	-1	10	15	21	36	31	7	39	5	14.5	17	55.5	-13	53	59	43	29	23	-9	17	17	66	57.5	82	4
PLATE2	1	HCAM-002-S6	33	12.5	24	24.5	16	48	43.5	12	43	16	34	62	65	11	67	70	51	48	40.5	3.5	14	38	50	82.5	109	19.5
PLATE2	1	HCAM-002-S7	26.5	17	33	29	32	59	55	32	66	13	30	47	73	12	79.5	87	59	47	38	1.5	7	46	42	83	98.5	24
PLATE2	6	BACKGROUND0	29	29	21	29	37.5	50	42	18	55	16	29	42	75	19	79	88.5	67	51	43.5	9	19	42	44	86	113	22
PLATE2	2	HCAM-002-S1	10925	-958	6085	3376	11137	5261.5	-954.5	-953	10910	12425	188	-815	-929.5	-978.5	785	351	883	302	370	347	797	5801	1073	729	141	283.5
PLATE2	2	HCAM-002-S2	20137.5	-120	2264.5	555.5	5063.5	1852	-113	-127.5	16973.5	11670.5	587.5	-100.5	-85	-141	685.5	695	711.5	503.5	478.5	83.5	400.5	3744.5	221.5	190.5	174	614.5
PLATE2	2	HCAM-002-S3	812	-22	45	11.5	126.5	70	1	-14.5	812	688	153	9	42	-17.5	214	181.5	195.5	118.5	137	19	32	241.5	91	116.5	78	144
PLATE2	2	HCAM-002-S4	64	10	32.5	21.5	37	51	30	11.5	106	40	20.5	10	48	-8	73	83.5	62	57	64	-5	-3	38	62	81	87.5	30
PLATE2	2	HCAM-002-S5	39	17.5	30.5	28.5	31	68	45.5	18.5	73.5	31.5	30.5	28	63.5	17.5	72.5	70.5	71.5	57	48.5	10.5	34.5	45	44.5	98.5	91.5	20.5
PLATE2	2	HCAM-002-S6	36	17.5	27.5	28	28.5	61.5	41.5	20	57.5	21.5	19	26	70.5	10	58.5	74.5	49.5	54	34.5	12.5	29	41	48.5	86.5	83.5	22.5
PLATE2	2	HCAM-002-S7	25	31	27	31.5	35	52	45	22	49	12	22	29.5	66.5	20	63	70	47	60.5	33	3	11	35.5	44	102.5	84	26
PLATE2	1	HC-101K	26.5	14	28	15.5	25	51	38	15.5	45	5	23.5	26	53	0	81	90	79	61.5	50	9	2.5	34	54	79	72	16.5
PLATE2	1	HC-102K	13.5	20.5	7.5	15.5	12.5	43.5	29.5	-6.5	36.5	16	814	292	33	91.5	7909.5	7765.5	7389.5	935.5	408.5	90.5	146.5	736.5	84.5	117.5	487.5	1424.5
PLATE2	1	HC-103K	-1298.5	-1338.5	-1330	-1321	-1318.5	-1321.5	-1331.5	-1354.5	-1266.5	-14	92.5	-939	-1288.5	-1198	2038.5	510	1844.5	741.5	-681.5	47.5	-625	815.5	1446.5	1119.5	-881.5	-209
