Plate	Inplatecount	Sample	IgG1bindingaffinity_RBD alpha	IgG1bindingaffinity_N	IgG1bindingaffinity_RBD beta	IgG1bindingaffinity_RBD omicron	IgG1bindingaffinity_RBD lambda	IgG1bindingaffinity_RBD gamma	IgG1bindingaffinity_zebra	IgG1bindingaffinity_Eadp501	IgG1bindingaffinity_RBD delta	IgG1bindingaffinity_RBD wuhan	IgG1bindingaffinity_AMA1	IgG1bindingaffinity_MSP1	IgG1bindingaffinity_HRPII	IgG1bindingaffinity_Tetanus	IgG1bindingaffinity_HCoV-229E	IgG1bindingaffinity_HCoV-NL63	IgG1bindingaffinity_HCoV-OC43	IgG1bindingaffinity_pp28	IgG1bindingaffinity_pp65	IgG1bindingaffinity_EBNA1	IgG1bindingaffinity_VCA	IgG1bindingaffinity_FL spike	IgG1bindingaffinity_BSA	IgG1bindingaffinity_CelTos	IgG1bindingaffinity_CSP	IgG1bindingaffinity_HCoV-HKU1
PLATE1	1	HC-048K	21192	2412	3849	223	11126.5	4014.5	100.5	88	42656	15533.5	34490	39189	845	8668	8227	22138.5	32597	24112	138	36087	24978	4796.5	181	347	14178	257.5
PLATE1	1	HC-049K	499	939	116	160.5	422	393.5	2603	188.5	119.5	703.5	69214	102984	3348	25715.5	9508	54399	114857	15399	433	60580.5	68940.5	329.5	174	691	2130	106542.5
PLATE1	1	HC-050K	228	183.5	81	75.5	158	172.5	201.5	168.5	135.5	561.5	108018	58691	913.5	26381	875	4874	63333	1284	329	110413	103593	314.5	147	295	7260	1611
PLATE1	1	HC-051K	2472	55974	786	526	1205	999	109	120.5	3152	1789.5	3519	17858.5	298	538	1620	23424	96872	10628.5	115	70253	79890	1915	116	122	159	2299
PLATE1	1	HC-052K	16846	488	8819	741	14820.5	9272	48	9	18477	13273	9561	22423	1003.5	1154	104	4177	20689.5	71	63	11221	10500	6647	79	94	59	9236
PLATE1	1	HC-053K	125	124	47	32	95	112.5	72.5	36	136	298	426	12321	223	5266	7634.5	53442	101240	31750	229	735.5	1330.5	133	116	246	93	17220
PLATE1	1	HC-054K	17989	5995	6955.5	1186	15225	7644.5	2108	70	24991.5	18377	37674.5	24171	300.5	6332	12868	8642.5	9533	362	127.5	24079	19141	2960.5	122	161	104	232.5
PLATE1	1	HC-055K	27452	4726	14821	2768	15359.5	21191	2262	21	17313	16674	4513	18545	276	3302	3978	7441.5	22217	5065.5	49.5	15036	14815	7201	114	124.5	69	947
PLATE1	1	HC-056K	21908	7259	17506	5554.5	16085	15026	91	21	22410	15048.5	8939	12765	175.5	859.5	276.5	8281	9926	1328	62	11399	4226	5942	81	106	339	158
PLATE1	1	HC-057K	16401	2380.5	9704	917	16407	9087.5	54	-11	35659	20582	10354.5	30150.5	818	2366.5	18917	24049	31257	3213	199.5	15709	22931	5766.5	107	64	82	1018
