Plate	Inplatecount	Sample	IgG1bindingaffinity_RBD alpha	IgG1bindingaffinity_N	IgG1bindingaffinity_RBD beta	IgG1bindingaffinity_RBD omicron	IgG1bindingaffinity_RBD lambda	IgG1bindingaffinity_RBD gamma	IgG1bindingaffinity_zebra	IgG1bindingaffinity_Eadp501	IgG1bindingaffinity_RBD delta	IgG1bindingaffinity_RBD wuhan	IgG1bindingaffinity_AMA1	IgG1bindingaffinity_MSP1	IgG1bindingaffinity_HRPII	IgG1bindingaffinity_Tetanus	IgG1bindingaffinity_HCoV-229E	IgG1bindingaffinity_HCoV-NL63	IgG1bindingaffinity_HCoV-OC43	IgG1bindingaffinity_pp28	IgG1bindingaffinity_pp65	IgG1bindingaffinity_EBNA1	IgG1bindingaffinity_VCA	IgG1bindingaffinity_FL spike	IgG1bindingaffinity_BSA	IgG1bindingaffinity_CelTos	IgG1bindingaffinity_CSP	IgG1bindingaffinity_HCoV-HKU1
PLATE1	1	HC19-KC038	167	6860	160.5	146	115	175.5	676	64.5	223	199	37286.5	23019	1129	144.5	25334	42156.5	28151	5097	108	38860.5	21297	133	99	165	4042	49022.5
PLATE1	1	HC19-KC039	476	1116	72.5	32.5	117	85	2050	43	1697	664	55667.5	94981	4016	2364.5	27087	43567	77577	855.5	120.5	51482	44616	112	137	402.5	6991	73288.5
PLATE1	1	HC19-KC040	121.5	71.5	73	46	70	86	32	40	92.5	560	11823.5	74455	220	542	5925	29941	85027	3792.5	306	62742	44323	397.5	134	528	592.5	76074
PLATE1	1	HC19-KC041	217.5	2047.5	47	13.5	115.5	95.5	55	32.5	315.5	293	46838.5	29388.5	292	80.5	29012.5	31920.5	74883	4007	78	19877.5	42390.5	79.5	104.5	2080	2472.5	50476.5
PLATE1	1	HC19-KC047	233	73	555	150.5	191	795	63	15	228.5	496	58790	104718.5	5615	3077.5	9583.5	16980	66591.5	991	146	58368.5	57479	124	105	10359	2445	24804
PLATE1	1	HC19-KC048	160	135	314	88	49	71	3058	24	82	236	100509	41477	635.5	1034	2418	45947	71551.5	5144	94.5	105527	11892	124.5	106	653.5	8905	23445
PLATE1	1	HC19-KC049	54	569	53.5	30	43.5	45	2593	53	56	288	53603.5	16504	889	35	48665	67575	73140	904	57.5	46510	48391	157	171	237.5	400	887
PLATE1	1	HC19-KC050	561.5	603.5	483	50	1073.5	147.5	19	10.5	372.5	22327	33219	49836.5	6774.5	528.5	20913.5	35352	48855.5	13064.5	161.5	34166	27619.5	391.5	140.5	194.5	578.5	41236.5
PLATE1	1	HC19-KC051	94	185	77	55	69	66.5	47.5	16	121	145	30464	44127	665	2780	29483	27761	39816	12699	66	59250	43717	66	147	93	9183	42473.5
PLATE1	1	HC19-KC057	58	50	32.5	15.5	15.5	43	30.5	6	125	103	47969	27167	1404	305	47046	59352	71281.5	5706	65	50843.5	457.5	49.5	114	112	401	8672
PLATE1	1	HC19-KC058	171.5	67	51	-2	55	68.5	737	50.5	1003	1578	99729	37093	1852	202.5	18776	21012	43000.5	21354	232.5	58420	96399	309	156	339	9777	746
PLATE1	1	HC19-KC059	122	1360.5	70	16	98	79.5	24279	26	179	207	66888.5	69751	969	2201.5	282.5	17230.5	55859.5	3478	81	78156	49564	96.5	139	1011.5	4887	338
PLATE1	1	HC19-KC060	803	211	278	111	525.5	310	128	656	1231	662	123142.5	20270	426	1413	45589	62753.5	122093	1471	456	126142	96546	466	191	1201	18718.5	16188
PLATE1	1	HC19-KC063	169	449	137	56	133	162	728.5	7	125.5	381	58994	58047	1218	1371	1067	15505	76796.5	3819.5	119.5	70786	50212	274.5	130	1578.5	6208	40517.5
PLATE1	1	HC19-KC064	229	260.5	120	29	146.5	197	9763	99.5	194	511.5	84548.5	117019	19871	17841	8005.5	30785.5	138106.5	5271.5	293	83214.5	55956	269.5	202	544	1594	88745.5
PLATE1	1	HC19-KC065	4100	1016.5	51.5	36	40.5	52.5	156.5	-1.5	2251	565.5	74676.5	36902.5	323	83.5	667	11704.5	79717.5	1848.5	113.5	66920.5	59598.5	237.5	140.5	262	11400.5	18461
PLATE1	1	HC19-KC066	387	604	86	201	249.5	134	5881	48.5	463	707	128077	83381	5794	744	3029	34419	94375	13827	237.5	78887	141729	943.5	218	308	35194.5	29640
PLATE1	1	HC19-KC067	154	581	-9.5	-7	35.5	81.5	24805.5	-5.5	169.5	343	64506	55952.5	309	793.5	372.5	30519.5	98037	10102	69	48015	69376.5	106	160	201	20483	1657
PLATE1	1	HC19-KC068	1013.5	4581	79	-28.5	53	23	156.5	-22.5	76	1564	23196.5	161984	581.5	1142.5	24371.5	23482	73185	2818.5	322	89209	128773	755	286	370	1610	57343.5
PLATE1	1	HC19-KC069	806	251	208	129.5	417.5	552	144	87	4918.5	1630	128692	157136	3072	610	4914	31338	186127	10226	417	140997.5	113078	2277	185	1103	132957	153440
PLATE1	1	HC19-KC070	971.5	2482.5	266	67.5	669.5	621.5	4292.5	49	535.5	540.5	79515	83266.5	705	2111.5	11883	16687	86095	5712.5	369.5	77222.5	66478.5	319.5	126.5	1181.5	20562.5	21041.5
PLATE1	1	HC19-KC071	419.5	302	102	16	130	204	11476	-5	271	758.5	139750	174045.5	20716.5	1900.5	17124	23818.5	87059	5713	275.5	129565.5	112298.5	631.5	189	821	100026.5	61900
PLATE1	1	HC19-KC072	519	2571	36	24.5	77	129.5	176	-2	396	1271	25692	148022	2828.5	4446	38397	69179	135407.5	51444.5	630	127903.5	110659	931.5	152	430.5	2121.5	65267
PLATE1	1	HC19-KC073	963	33	266	23	661	1122	9683	-38	950	872	105666.5	111642	458	6879	25660	52610	140862	13797	165.5	96656	102461	528.5	195	11150	3017.5	23413
PLATE1	1	HC19-KC074	105	56.5	81	17	85.5	87	130	36.5	103	231	118747	18121	121.5	2459	463.5	5490.5	56419	12750	106	73367	54400.5	137	150	355.5	49051	3029
PLATE1	1	HC19-KC075	6	64	13.5	2	21.5	24	5	-9.5	75	370	29701	47904	317	417	18775.5	12419	38803	4158.5	68.5	43421.5	50903.5	114	134	139	8886.5	52523
PLATE1	1	HC19-KC076	16	57	26	-11	24	35	12	-5.5	33	192	34638	54392	1778	164	20473	17052	38447	5496	53	43215	20268	66	170	79	3464.5	24465
PLATE1	1	HC19-KC077	596.5	966	73.5	16	44.5	117.5	75	45	205.5	764	39627.5	67467.5	678.5	3779	270.5	7711.5	27048	19840.5	139.5	65631	45729.5	153	141.5	281	5722.5	24835.5
PLATE1	1	HC19-KC078	92	88.5	58	84.5	60.5	95.5	47.5	19.5	142.5	448.5	78711.5	97495.5	3242.5	6122	2157.5	16087.5	28689.5	2741.5	126.5	86033.5	79031.5	200.5	142.5	285.5	3715.5	3426.5
PLATE1	1	HC19-KC081	83	77	37.5	-31.5	5	309	261.5	-25	144	208	39623	25641	100	20212	11123	30647.5	37457	5564	48	59035	53971	127	180	360.5	7938.5	17920
PLATE1	1	HC19-KC082	154	5934	71	50	141	93	755.5	1082	343.5	271.5	73835	90475	218.5	571	18749	13826	60274.5	250	97	77644.5	85286	66	149	221.5	1920	21737.5
PLATE1	1	HC19-KC083	44	23.5	25	66.5	44	69	737.5	21.5	62	126	36165	51185	422	48048.5	343	8029	37328	679	81.5	42666	46840	32.5	103	155.5	32242	39666.5
PLATE1	1	HC19-KC084	140.5	1092	80.5	36.5	37	82	59	23	83	252	56732.5	42613	3208	11610	2519.5	16178	52159	3135	75	72996	68582	37	167	152.5	2634	11419
PLATE1	1	HC19-KC086	445.5	125	372	-8	148.5	116	29	-10	315	1463	77701	16002	187	1669	45026	46474	71953	3734.5	238	94820	23790	496	195	612	4101.5	812
PLATE1	1	HC19-KC087	42	267	9.5	-5	21	119.5	17.5	-18	96	613	68097	71907	627.5	3	15320.5	20960.5	34373	7637	180.5	88227.5	38455.5	563.5	161.5	254.5	37041.5	18634
PLATE1	1	HC19-KC088	101.5	2651.5	877	32	102.5	1880.5	212.5	18	130.5	162.5	90612	118520	478.5	1415.5	344.5	4080	34351	808.5	81.5	38468.5	51880.5	56.5	103.5	194	639.5	27348
PLATE1	1	HC19-KC089	38	248.5	42	17.5	31	52	7823	-2	50	317.5	24436.5	59222	1471	139	420	9330	43050	7018	73	39879	26444	162.5	107	241.5	7104.5	10835
PLATE1	1	HC19-KC090	53	72	36	68	28	53	58	-6	57	170	5900	57448	309	1834	17622.5	39166	55829	18238.5	80	81399	73005	83	124	66	129.5	323
PLATE1	1	HC19-KC091	10287	72	138.5	-319	12731	594	106	-67	6426	1037	62481	57942	6217.5	3088	1884	21150	33467	20579	-54	74092	66975	-217.5	497	531	7405	25370
PLATE1	1	HC19-KC092	475	318	124	91	322.5	291.5	92	57	871	215.5	29740	61400	3929.5	462	2801.5	7048	18266.5	1361	85	39194	41589	45.5	130	2635.5	7069.5	14692
PLATE1	1	HC19-KC093	168	74.5	12	44.5	58	26.5	428.5	-22.5	68	165	32553.5	75881	492	4736.5	251	14574.5	35826.5	362	34.5	58876.5	55158.5	65.5	236	88	5218.5	45909
PLATE1	1	HC19-KC094	72.5	188	62.5	39.5	126	91.5	84.5	68.5	104.5	76.5	14256.5	22255.5	921	110.5	201	1989.5	12030.5	10166.5	84	20373.5	10109.5	45	75.5	98	15439	4720
PLATE1	1	HC19-KC095	275.5	3162.5	230.5	145	206.5	168.5	7277.5	77.5	288.5	318.5	148358	174224.5	72856.5	2363.5	1887.5	8717.5	90580.5	9860.5	225	141070.5	137808	158.5	454.5	260.5	2111.5	3431.5
PLATE1	1	HC19-KC096	151	94	98	11	65	63.5	3889.5	-3.5	181	455	76535.5	95582	2117	6638	11805	52379	10247	1329	137.5	73251	65107	271	152	358	13908	584
PLATE1	1	HC19-KC097	2510.5	239	118	69	229.5	135	105	75	411.5	2367	138887	122486	20058	38294.5	920.5	26046	155355	5741	245.5	148318.5	146767.5	332	186	699	3840.5	38021
PLATE1	1	HC19-NM031	477	1414	331	55	65	1474	31	22.5	123	208	3112	41995	114	52829	1043.5	19127.5	42360	3747	127	78046	33349.5	122	124	123	400	26438.5
PLATE1	1	HC19-NM032	108	163	83	45	89	101.5	191	46	175.5	375	7335	25512	339	9431	1193	16730.5	102245	4802	222	101447	91969	200.5	172	152	442	159566
PLATE1	1	HC19-NM033	-13.5	8.5	0.5	-42.5	-33	23.5	218.5	-29	49	663.5	1299.5	20484	196.5	1683.5	699.5	33257.5	90762	15052.5	142	71852.5	44503.5	430.5	181.5	605.5	425.5	113640.5
PLATE1	1	HC19-NM034	122	-61.5	-143	-261.5	-139	-55	887.5	-214	159	1069.5	5446	10844	-55	4215	26153.5	112364	205007	28674	183	138892	131547.5	1231.5	500	241	928.5	175616
PLATE1	1	HC19-NM035	101.5	43.5	-14.5	-39.5	113.5	75	-28	-49	83.5	490.5	877	17139.5	175	1050.5	1072.5	31213.5	91739.5	1551.5	192.5	145411.5	133630.5	424.5	184.5	163.5	113	34429.5
PLATE1	1	HC19-NM036	313	104	203	83.5	235	351	13	8	352	1413	7494	27279	205	2054	2613	35182.5	133471	4414	203	97260	103305	569	207	113	848	119363
PLATE1	1	HC19-NM037	411	133	45	71	183	110	266	57	24747	1421	7518	153749.5	952	21942	37943	62247	155198	40771	158.5	123423.5	133984	183	184	201	298.5	160763
PLATE1	1	HC19-NM038	133	612	40.5	7.5	61	114.5	58.5	55.5	156.5	539.5	352.5	69361.5	653.5	4593	15320.5	20868	123376	10628.5	208.5	115289.5	99128.5	318	117.5	345.5	391.5	166327.5
PLATE1	1	HC19-NM039	68.5	46	33	44	51	77	64	44.5	265.5	308	1854.5	96046	1049	63611	304	8036	62470	7075.5	119.5	70373.5	71423	116	75	151.5	154	88154
PLATE1	1	HC19-NM040	141.5	490	54	32	84.5	138	9571	61.5	255.5	337.5	199	18652	255	18105	16679	47906	168856	5043	231	143993	78756	111.5	189	285	352	166256
PLATE1	1	HC19-NM041	2752	49.5	31	55	90	83	39	37	395	10455	3506	27371	228	1543	6272	9248	53511.5	3775	1034	25	2216	2499	115	164	958	15954
PLATE1	1	HC19-NM042	754	308	112	50	208	210	1573	154	259	676	560	24685	334	4309	55387	60781.5	136750	4019	398	156412.5	124843	345	201	554.5	1060.5	55797.5
PLATE1	1	HC19-NM043	331.5	57	24.5	18.5	36.5	56	3157	18.5	60	136.5	19242.5	8330	124.5	5711.5	1435.5	25378.5	37490.5	5648.5	408.5	65067.5	59844.5	49	77.5	142	90.5	29164.5
PLATE1	1	HC19-NM044	-4.5	47.5	24.5	3	-13	-14.5	128.5	-23.5	19.5	1395	2366.5	19909.5	146.5	8957.5	40985.5	24448.5	47874.5	11686.5	276.5	62495.5	45034.5	790.5	277.5	133	108.5	16761.5
PLATE1	1	HC19-NM045	132	61	139.5	88	81	124	95	56	146	89.5	437	50295	99	47033.5	2312	22775	63331.5	115	80	51607	17677	46.5	206	105	203	31956
PLATE1	1	HC19-NM046	29	72	23	75	38	35	7725	25	31	112	274	9859	108	3736.5	987	16566.5	105925	277	55	93105.5	70592	70.5	142	114	163	12562
PLATE1	1	HC19-NM047	72	35	20	27.5	17	104	361	29	81	368	233	9231	89	2908.5	8014	26113	103210	15194.5	104.5	76044	62631.5	183	96	202	127	30253
PLATE1	1	HC19-NM048	110.5	829	58	47	38.5	91	64	45	85	334	256.5	32389.5	227	15673	37818.5	55085	113387.5	21771.5	173	92129	6715	216.5	92	166	392	2265
PLATE1	1	HC19-NM049	63.5	56.5	34	12	53.5	81	53	6	85	161.5	878	9521	104.5	27319	18549	23202	84253	9225	165.5	94072	22289	78	110	106	662.5	38599
PLATE1	1	HC19-NM050	148	19	223	53	116	1430	31	-1	88	264	374	15805	114	68362	23746	27133.5	82048	5890.5	119	45666	21704.5	203.5	136	117.5	162.5	25822
PLATE1	1	HC19-NM051	204	635	43	14	63.5	90	1798	10	118	421.5	52099.5	73837.5	2175	252	3298	18968	38562	2252	123.5	88846.5	61052	266	124	350.5	3483	19561
PLATE1	1	HC19-NM052	616	66.5	195.5	159.5	203	300.5	180.5	31	442.5	240.5	69705.5	116488.5	1259.5	156	310.5	15747.5	56350	1031	76.5	88706.5	73549	131.5	161.5	676.5	745	5039.5
PLATE1	1	HC19-NM053	1377	159	1357	281.5	1442	3142.5	111	68	1466	1655.5	100222	119371	9814.5	5908	2262	24253	50187.5	27674	354	108079.5	61091	484	131	3981	2010	11846
PLATE1	1	HC19-NM054	129	56	28.5	14.5	47	80	113.5	2.5	98	318	273	26879.5	276	1692.5	16854	32046	61596.5	33528.5	156	47454	46838	192.5	139	156	486	57661.5
PLATE1	1	HC19-NM055	324.5	73.5	59	45.5	35.5	83	38.5	17.5	333	311.5	294.5	16019.5	127.5	1556.5	16281.5	15484	113931.5	20752.5	136.5	88213	63772.5	191.5	118.5	172.5	505	98729
PLATE1	1	HC19-NM056	-443	-380	-475	-502	-485	-450	-253	-490	-390	25	-97.5	9192	-401	434	15206.5	9805	72571	18135	65.5	51255	35243	821	740	482	-113	65968
PLATE1	1	HC-201K	15822.5	84	4057.5	102.5	3228.5	4020.5	-20	2.5	10317.5	9391.5	190.5	20325.5	132.5	3833.5	359.5	10697	29403.5	27191.5	77.5	8.5	236.5	3407.5	203.5	107	126.5	8917.5
PLATE1	1	HC-202K	3399.5	3608.5	1536	1630.5	1556	1741	20004	-34.5	14591	5343.5	658	8711	39	6935.5	56409	71965	99520	25296	429	52052	56454	3792.5	274	364	650	18248
PLATE1	1	HC-203K	63	52	63	63	41	80	59.5	32	87.5	247	210	10702	114	15232.5	253.5	5608	35879	4607	136.5	65510	65646	175	92	122	144	8973.5
PLATE1	1	HC-204K	67507.5	66104.5	33247	48791.5	41629.5	35641.5	12519.5	37.5	110641	47445.5	467	10482.5	150	2011.5	3269.5	35812.5	1423	1851	126.5	94628.5	86975.5	13496.5	181.5	245	342.5	296.5
PLATE1	1	HC-205K	4747.5	4066	1496	177	1513.5	1715	165	-81	18589.5	3786	299	11446	-3	16879	4244	50318	92140	88034.5	201	93748.5	93212.5	2612	206	436.5	-11	57879.5
PLATE1	1	HC-206K	1916	740	674	196.5	506.5	659	10332.5	57	3720	977	386	37816	373	16549	35353	15486	50453	31406	268	129957	132044	713	117	193	547.5	37451
PLATE1	1	HC-207K	154	105	71	170.5	59.5	102	-28.5	38	340.5	436	418	36904	417	1752	624	413	6815	685	164	393.5	701.5	236	322	181	200	3002.5
PLATE1	1	HC-208K	10755.5	533	4832.5	10392.5	4099	4357.5	9.5	0.5	52893.5	8088	562.5	20309.5	142.5	5567	2089.5	18701	60329.5	11208	312.5	38283.5	31326	4972.5	265.5	107.5	151.5	12041.5
PLATE1	1	HC-209K	269	944.5	182	538.5	130	229	500	-12	1510.5	255	124.5	17081.5	97	450	747	25179	87564	525.5	39.5	1778	93951	918	140	97.5	68	8134.5
PLATE1	1	HC-210K	1368	3226.5	362	273	572	776	723	117	2637	778	7679	21860	386	1115	1686.5	34280	138054	33413	160	106519	146242.5	878	186	272	597	59405
PLATE1	1	HC-211K	9086.5	15234.5	8861	3539.5	1866.5	9875	115.5	38.5	17323.5	6810.5	2072.5	23516.5	222	1286	11912.5	72672.5	67676.5	11374.5	111.5	86449.5	61244.5	5694.5	114.5	141.5	316.5	61780.5
PLATE1	1	HC-212K	130886	88699.5	95040	76096.5	67326	82951	605.5	-15.5	98542	104849	2689	16017	192	5566.5	1238	1696	3028	9409	674	49352	87604.5	26154	237	1091	672.5	857
PLATE1	1	HC-213K	5187.5	653.5	1751	2968.5	617.5	2274.5	170	11	7941	2779.5	807.5	26827	262.5	8248	2476.5	45645.5	140398.5	1594.5	531	106000.5	91105.5	2288	111.5	677	675.5	48804.5
PLATE1	1	HC-214K	105264.5	23673	46802.5	4419.5	57602.5	32329.5	64.5	20.5	96927.5	85157.5	228.5	26148	294.5	17229.5	720.5	44726.5	102641.5	29181.5	101	55322	40541.5	24882	83.5	224.5	144	11568.5
PLATE1	1	HC-215K	21035	307	8572.5	5116	4896	11405	3851	11	37435	13986.5	175	29657	247	3712	43080.5	39670.5	117088	841	85.5	104656	64602	7054	110	434	159	3598
PLATE1	1	HC-216K	68150	1432	18127	1848	31562	23031	58	38	57041	33957	597.5	30501.5	347	5714.5	740	770	148007	4579.5	214	95019.5	56972.5	19176.5	98	232.5	276	136808
PLATE1	1	HC-217K	24006.5	31830	14505.5	16330.5	11584	14725	1550	-2.5	41524	15659	71	7436	67	2263	3148.5	29823	42323	10515	126.5	31271	27895.5	8203	104	108	148	61597
PLATE1	1	HC-218K	11074.5	7238.5	3692.5	8571	3312.5	3678	108	29.5	33316.5	6140.5	404.5	18193.5	208.5	27431.5	5604	52716.5	149738.5	16241	292.5	133270	103365.5	6354.5	191.5	305.5	177.5	29484.5
PLATE1	1	HC-219K	964	9820	270.5	1236	249	332	198	-2	7260	1715	203	7477	79	5080.5	62698	79463	75448.5	1302	83	66587	60759	2231	98	76	61.5	2280
PLATE1	1	HC-220K	1961.5	2815.5	1454	3017	925.5	1553.5	37.5	-5.5	12960.5	1740.5	211	15374.5	142	439.5	634	17109.5	44630	143.5	90.5	40467.5	46169.5	2973	157.5	120.5	131.5	38197.5
PLATE1	1	HC-221K	6667.5	7883	1580	188	5135.5	1860.5	27	6	16293	4441	125	16989	113	63	8715	30264	47212	4568	83	30731.5	37722.5	3734	119	120	73	15225
PLATE1	1	HC-222K	39070.5	28680	23389	31953.5	25030.5	24004	13	-4	88169	30095	79	28749	305	836	33402	32364.5	79182	37280	57	54011	69556	20035	197	135	248	412
PLATE1	1	HC-223K	3411	1778.5	1547.5	205	2250.5	1465	25.5	11.5	6744	2422.5	29.5	6089	93.5	114.5	10093	18635.5	60081.5	1496.5	40.5	34397.5	61153.5	847.5	91.5	97.5	639	43623.5
PLATE1	1	HC-224K	38916	80715	25435	26244.5	21580	26644	130	23	96180.5	30225	186.5	31810.5	156	716.5	1104	25423.5	48199	178	69	56297	53560	15728	135	436	446	940.5
PLATE1	1	HC-225K	95	21.5	39	982	6.5	40	135	21.5	59.5	207	224	30543	243	2122	43169	18146.5	100867	3412.5	103	54790	43750	81	136	133	102.5	5012
PLATE1	1	HC-226K	14539.5	5505	6789.5	7844	7282.5	6902.5	1120.5	5.5	43078	7839.5	90.5	17302.5	111.5	697.5	697.5	40636.5	113264.5	6062.5	61	10302.5	65465.5	5775.5	124.5	168	533	2144.5
PLATE1	1	HC-227K	31957	2907.5	14175.5	295	19845.5	17279	13.5	-14.5	22479.5	12761	148	78022	142.5	60469.5	1368.5	16149.5	65659	17541.5	38.5	22502.5	58165.5	6835	136.5	1151.5	400.5	1730
PLATE1	1	HC-228K	18339.5	4683	19548.5	12056.5	6385	16628.5	140.5	2	59306	10077	227.5	15942.5	138.5	30337.5	11463.5	12883.5	85127.5	19936.5	108.5	49885.5	50022.5	6725.5	136.5	123.5	259	21818.5
PLATE1	1	HC-229K	3125	13549	1039	223	737	1376	975.5	-6	16519.5	2351	277.5	18827	90	31384	1341.5	5533	118940	10368	275.5	80767.5	74175.5	1673	128	124	417	6096
PLATE1	1	HC-230K	46215	6375	36361	8388	23975.5	28115.5	473	38.5	46421	35358	66	14043.5	116	4140.5	29164.5	6292.5	57563	8441	55	20417.5	30670.5	10505	89	107	84	32073
PLATE1	1	HC-231K	151	70	106.5	67	66	162	1298	19.5	529	165	215.5	20754.5	103	2720	768	18701.5	81976.5	552.5	74	62519.5	58015	94.5	105	140.5	136	1043
PLATE1	1	HC-232K	1695	3432	614	4544.5	598	978	67	21	8212.5	1305.5	27.5	18235	130	7823.5	634.5	20026	67470.5	409	66	44147	10940.5	1751	104	438.5	91.5	751
PLATE1	1	HC-233K	18954	9125	5119	291	7512	6175	51	21	17768	12902	183.5	7886.5	73	1394	37408	29070.5	70003.5	329	66	32914	86563	6107	92	121	414.5	27086
PLATE1	1	HC-234K	1341.5	311	723	749.5	227	1015	37	39	2253.5	1328.5	191	15713.5	165	3374	30244	27837.5	74358.5	449	119.5	26765	82308	1443.5	82	169	247	28818
PLATE1	1	HC-235K	8237	3037	4404	711.5	9651.5	5888	26.5	13	14745.5	6012.5	58	1677.5	77	486	1535.5	8945.5	13858	3295	53	10699	6176	3442.5	64	135	61.5	586
PLATE1	1	HC-236K	80643.5	78260	75409	40030	53705	58438.5	-70	-81	136551	72671.5	758.5	22763	193	795	33666	41570	98584	4751.5	123	105427	116945.5	23105.5	252	170.5	-12	18167
PLATE1	1	HC-237K	6393	2865	4158	6732	2882	3972	76	5	19350	5422	401	21779	146	1254	5444	17992.5	139501.5	422	350.5	84404	88396	3701	130	95	14744	7462
PLATE1	1	HC-238K	42641	27701	22341	31727	30278.5	23664	-106	-107	104160	23458	275.5	18851	-7	1543.5	1174	18258	87759.5	4483.5	89.5	138911	36220.5	10281	287	375	175	26925
PLATE1	1	HC-239K	2380	6360	1238	3317.5	671	1320.5	23	-21	16477	2745	64.5	12945	104	6529.5	14331.5	13475.5	66069.5	3370	74	50536	26163.5	1701	114	91	86	9205
PLATE1	1	HC-240K	25438	91803.5	9896	30353.5	8729	10868	1088	13.5	111192	14410	94	28665.5	284	21252	161.5	283.5	83957	7395	74.5	75198	55034	9447.5	212	62	99	694
PLATE1	1	HC-241K	86056	6778	56175	6988	59710	45933	1420	-2	90789	67602.5	370	29213	235	89569	9055	31540	108375.5	16386.5	224	39615	65299	23785	166	292.5	283.5	41462
PLATE1	1	HC-242K	160	144.5	97	55	138	138	74	54	268	420	389.5	29283.5	284	9718.5	10389	29078.5	185019	1193.5	183	83697	85590	283	107	294	483	123808
PLATE1	1	HC-243K	9620.5	7318	2657	4221	1131	2422	191.5	27	14999	7697.5	145.5	9325	92.5	970	218.5	6718.5	68507.5	10729	49.5	64322	43747	4661	139	109.5	248	3053.5
PLATE1	1	HC-245K	18705	13422	6628	180	13901	8883	1212.5	-4.5	31969	15960	64	11949	80	2830	522.5	10939	34273	29175	44	48564	35699	4626.5	113	98.5	238	290
PLATE1	1	HC-246K	56925	8648.5	28732	2645	49808	26314	5566	173.5	98188	49146.5	1423	49945	651	7601	4903.5	28549	83978	49147	226.5	138733	131058	13368	100	177.5	940	87216.5
PLATE1	1	HC-247K	15620	60094.5	5710	13731	5155	7627.5	13.5	9	24967	9058	225	16618.5	136	5618.5	935	9980.5	28069	1751	135.5	59033.5	54528.5	6381	124	155.5	178.5	29996.5
PLATE1	1	HC-248K	103255	13056.5	49879.5	6323.5	47291	48032	329	362.5	76316.5	72153.5	541.5	52970.5	1445.5	7574.5	4397	25244.5	134482	10952	311.5	103551.5	129885.5	22553.5	165.5	211	352.5	13083.5
PLATE1	1	HC-249K	198485.5	75551.5	182210.5	61740	178948.5	156960	125.5	59.5	206538	170452	456.5	43297.5	458.5	7744.5	800.5	3557.5	123452.5	17636.5	252.5	116221.5	109971.5	50756.5	132.5	521.5	495.5	81937.5
PLATE1	1	HC-250K	20079.5	511.5	10904.5	1140	16181	10823.5	176.5	5.5	34540.5	18528.5	84.5	5218	73.5	347.5	50	412.5	57943.5	59.5	2	15481	289.5	6266.5	130.5	80.5	63.5	2314
PLATE1	1	MBL-125	56	181	20	279	24	56	2571	8009	44.5	194	166	23646.5	377	62	4292	4216.5	2972	15290	96	23441	49262	113	122	217	225	32
PLATE1	1	MBL-126	13	29	29	-43.5	30	-9	-28.5	-56	20.5	178.5	4805	17407	43	23394.5	18410	17772	56366	5293	33.5	57609.5	73108.5	58.5	522	29	344	27010
PLATE1	1	MBL-127	7	2.5	0	-11.5	-9	28	1738	-18.5	43	68	58805	5308	45	342	122	772	1688	13413.5	45	97719	80338	10	136	66	829	5130
PLATE1	1	MBL-128	126	972.5	47	7	52	64.5	3067	1523	108	138.5	142	30340	188	413	267	3568	54518.5	10015	62	127385.5	108168	90.5	134	227	688.5	16631
PLATE1	1	MBL-129	-66.5	38.5	-83	-145.5	-106.5	-94	1950	-127.5	39.5	582.5	226.5	5455.5	-45.5	-78.5	9177.5	31574	75779.5	1013.5	92.5	91404.5	69734.5	430.5	337.5	249.5	564.5	15408
PLATE1	1	MBL-130	622.5	190.5	30.5	24.5	99	61.5	43.5	33.5	266.5	691.5	23109	38072.5	326.5	458	407.5	594	54712.5	1412	339.5	110938.5	90307.5	403.5	134.5	10830.5	340.5	31788
PLATE1	1	MBL-131	167.5	67	80	50.5	65	93.5	14.5	44	105	345	1680	83575	242.5	12521.5	2979.5	27405	59008.5	4398.5	545	50101	52713	198	115	338	114	2578
PLATE1	1	MBL-132	1578	132	37.5	17.5	85	109	7774.5	137.5	215	633	158	26873	319	738	613	6762	32872	19551	137	127328	119983	110	134	165	324	5633
PLATE1	1	MBL-133	42	131	11	7.5	24.5	70	456.5	9	116	464.5	434	9407.5	95	3957.5	8037.5	23530	12555	12007	245.5	94857	89508	255.5	124	181	754	63538.5
PLATE1	1	MBL-134	253	589	88	19	151	143	1076	64.5	393.5	285	99589	15008.5	274.5	47102.5	384	3893	11902	726	54	10312.5	118680.5	141	114	281	659	2360
PLATE1	1	MBL-135	259.5	119.5	63.5	494.5	111.5	216.5	106	34.5	170.5	475.5	15077	21373.5	224.5	2560	13735	16241.5	143692	39997.5	181.5	17381.5	89518	166.5	113.5	222.5	198.5	107550
PLATE1	1	MBL-136	85	72	41	48	64	66.5	8548	198	86	327.5	330	21797	226.5	8503	318.5	4849	8833	27294	147.5	123883	103331.5	246.5	78	126.5	115	3552
PLATE1	1	MBL-137	143.5	45.5	53.5	8.5	99.5	110.5	6762.5	120.5	205.5	295	205.5	16800	136.5	5862.5	242	3541.5	5846.5	22012.5	94.5	113184	99692	248.5	90.5	72.5	72.5	2234.5
PLATE1	1	MBL-138	165.5	2703	102	68	104	150	38544	72	121.5	483.5	336	3969	109	1079	18710.5	22154.5	43756	1053	1222.5	112505.5	90824	397	142	252.5	487	35738
